ID OMM station;Date;Pression au niveau mer;Variation de pression en 3 heures;Type de tendance barométrique;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Température;Point de rosée;Humidité;Visibilité horizontale;Temps présent;Temps passé 1;Temps passé 2;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Type des nuages de l'étage inférieur;Type des nuages de l'étage moyen;Type des nuages de l'étage supérieur;Pression station;Niveau barométrique;Géopotentiel;Variation de pression en 24 heures;Température minimale sur 12 heures;Température minimale sur 24 heures;Température maximale sur 12 heures;Température maximale sur 24 heures;Température minimale du sol sur 12 heures;Méthode de mesure Température du thermomètre mouillé;Température du thermomètre mouillé;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Etat du sol;Hauteur totale de la couche de neige,glace,autre au sol;Hauteur de la neige fraîche;Periode de mesure de la neige fraiche;Précipitations dans la dernière heure;Précipitations dans les 3 dernières heures;Précipitations dans les 6 dernières heures;Précipitations dans les 12 dernières heures;Précipitations dans les 24 dernières heures;Phénomène spécial 1;Phénomène spécial 2;Phénomène spécial 3;Phénomène spécial 4;Nébulosité couche nuageuse 1;Type nuage 1;Hauteur de base 1;Nébulosité couche nuageuse 2;Type nuage 2;Hauteur de base 2;Nébulosité couche nuageuse 3;Type nuage 3;Hauteur de base 3;Nébulosité couche nuageuse 4;Type nuage 4;Hauteur de base 4;Coordonnees;Nom;Type de tendance barométrique.1;Temps passé 1.1;Temps présent.1;Température (°C);Température minimale sur 12 heures (°C);Température minimale sur 24 heures (°C);Température maximale sur 12 heures (°C);Température maximale sur 24 heures (°C);Température minimale du sol sur 12 heures (en °C);Latitude;Longitude;Altitude;communes (name);communes (code);EPCI (name);EPCI (code);department (name);department (code);region (name);region (code);mois_de_l_annee,index
7149;2023-01-09T01:00:00+01:00;100030.0;160.0;1.0;220.0;5.4;279.35;277.05;85.0;25000.0;;;;10.0;0.0;7000.0;30.0;20.0;11.0;98940.0;;;-640.0;;;;;;;;9.0;9.0;-10.0;;;0.0;-60.0;0.0;0.0;1.4;2.0;3.2;;;;;1.0;0.0;7000.0;;;;;;;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,27000
7149;2023-03-26T01:00:00+01:00;100900.0;-270.0;8.0;210.0;5.5;283.35;277.75;68.0;15000.0;61.0;6.0;2.0;100.0;4.0;1250.0;35.0;23.0;;99820.0;;;-180.0;;;;;;;;10.5;10.5;-10.0;0.0;0.0;0.0;-60.0;-0.1;-0.1;-0.1;0.2;0.2;;;;;2.0;6.0;1400.0;4.0;6.0;1800.0;6.0;3.0;2500.0;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,27001
7149;2023-03-31T05:00:00+02:00;100200.0;-410.0;7.0;210.0;7.5;284.55;282.25;86.0;19570.0;0.0;;;100.0;6.0;450.0;;;;99130.0;;;-880.0;;;;;;;;12.6;13.3;-10.0;1.0;0.0;;;-0.1;1.6;2.8;3.6;4.8;;;;;5.0;;510.0;6.0;;660.0;8.0;;4860.0;;;;48.716833,2.384333;ORLY;En baisse;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;11.400000000000034;;;;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;3,"",27002
7149;2023-04-02T14:00:00+02:00;102170.0;200.0;1.0;340.0;6.5;281.85;278.45;79.0;18000.0;1.0;2.0;2.0;100.0;8.0;450.0;35.0;;;101070.0;;;1450.0;;;;;;;;10.2;12.1;-10.0;1.0;0.0;0.0;-60.0;0.0;0.0;0.2;0.8;2.2;;;;;8.0;6.0;510.0;;;;;;;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,27003
7149;2023-04-04T17:00:00+02:00;102460.0;-140.0;7.0;40.0;5.1;284.65;270.05;36.0;20000.0;2.0;0.0;0.0;0.0;0.0;;30.0;20.0;10.0;101360.0;;;-10.0;;;;;;;;8.6;9.2;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;48.716833,2.384333;ORLY;En baisse;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;État du ciel inchangé dans l’ensemble;11.5;;;;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;4,"",27004
7149;2023-04-05T23:00:00+02:00;101980.0;30.0;0.0;260.0;1.6;283.95;271.25;41.0;25000.0;3.0;2.0;2.0;90.0;7.0;3900.0;30.0;27.0;;100890.0;;;-500.0;;;;;;;;2.0;3.3;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;0.0;;;;;5.0;3.0;3900.0;5.0;3.0;4200.0;;;;;;;48.716833,2.384333;ORLY;En hausse,puis en baisse la pression atmosphérique est la même ou plus haute que trois heures auparavant;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;Nuages en formation ou en train de se développer;10.800000000000011;;;;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;4,27005
7149;2023-04-06T02:00:00+02:00;101900.0;-90.0;7.0;280.0;1.9;282.85;273.45;52.0;19870.0;0.0;2.0;2.0;100.0;8.0;3360.0;;;;100800.0;;;-520.0;;;;;;;;2.6;4.1;-10.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;8.0;;3360.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;9.700000000000044;;;;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;4,"",27006
7149;2023-01-18T16:00:00+01:00;100230.0;120.0;3.0;250.0;3.9;277.55;272.15;68.0;34430.0;3.0;1.0;1.0;75.0;2.0;800.0;32.0;23.0;11.0;99130.0;;;1600.0;;;;;;;;6.3;8.7;-10.0;1.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;2.6;;;;;2.0;8.0;870.0;3.0;3.0;2500.0;5.0;0.0;6000.0;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,27007
7149;2023-01-04T19:00:00+01:00;102430.0;40.0;1.0;230.0;5.8;286.15;284.85;92.0;20000.0;2.0;2.0;2.0;100.0;8.0;450.0;35.0;;;101340.0;;;-420.0;283.25;;286.15;;;;;9.5;10.1;-10.0;1.0;0.0;0.0;-60.0;0.0;0.2;0.6;0.8;2.0;;;;;7.0;6.0;330.0;;;;;;;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,27008
7149;2023-01-04T22:00:00+01:00;102450.0;20.0;0.0;230.0;5.8;285.85;284.75;93.0;12000.0;20.0;5.0;2.0;100.0;8.0;250.0;37.0;;;101360.0;;;-300.0;;;;;;;;10.8;10.8;-10.0;1.0;0.0;0.0;-30.0;-0.1;-0.1;0.2;0.6;1.6;;;;;7.0;7.0;270.0;;;;;;;;;;48.716833,2.384333;ORLY;En hausse,puis en baisse la pression atmosphérique est la même ou plus haute que trois heures auparavant;Bruine;Bruine (ne se congelant pas) ou neige en grains;12.700000000000044;;;;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;1,27009
