ID OMM station;Date;Pression au niveau mer;Variation de pression en 3 heures;Type de tendance barométrique;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Température;Point de rosée;Humidité;Visibilité horizontale;Temps présent;Temps passé 1;Temps passé 2;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Type des nuages de l'étage inférieur;Type des nuages de l'étage moyen;Type des nuages de l'étage supérieur;Pression station;Niveau barométrique;Géopotentiel;Variation de pression en 24 heures;Température minimale sur 12 heures;Température minimale sur 24 heures;Température maximale sur 12 heures;Température maximale sur 24 heures;Température minimale du sol sur 12 heures;Méthode de mesure Température du thermomètre mouillé;Température du thermomètre mouillé;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Etat du sol;Hauteur totale de la couche de neige,glace,autre au sol;Hauteur de la neige fraîche;Periode de mesure de la neige fraiche;Précipitations dans la dernière heure;Précipitations dans les 3 dernières heures;Précipitations dans les 6 dernières heures;Précipitations dans les 12 dernières heures;Précipitations dans les 24 dernières heures;Phénomène spécial 1;Phénomène spécial 2;Phénomène spécial 3;Phénomène spécial 4;Nébulosité couche nuageuse 1;Type nuage 1;Hauteur de base 1;Nébulosité couche nuageuse 2;Type nuage 2;Hauteur de base 2;Nébulosité couche nuageuse 3;Type nuage 3;Hauteur de base 3;Nébulosité couche nuageuse 4;Type nuage 4;Hauteur de base 4;Coordonnees;Nom;Type de tendance barométrique.1;Temps passé 1.1;Temps présent.1;Température (°C);Température minimale sur 12 heures (°C);Température minimale sur 24 heures (°C);Température maximale sur 12 heures (°C);Température maximale sur 24 heures (°C);Température minimale du sol sur 12 heures (en °C);Latitude;Longitude;Altitude;communes (name);communes (code);EPCI (name);EPCI (code);department (name);department (code);region (name);region (code);mois_de_l_annee,index
7149;2019-11-12T10:00:00+01:00;100580.0;50.0;1.0;250.0;4.9;278.85;277.05;88.0;22990.0;0.0;2.0;2.0;;5.0;450.0;;;;99480.0;;;-200.0;;;;;;;;8.0;8.2;-10.0;;0.0;;;0.0;0.0;0.2;0.2;2.8;;;;;5.0;;330.0;5.0;;630.0;5.0;;2940.0;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,15000
7149;2019-11-12T13:00:00+01:00;100500.0;-70.0;8.0;240.0;5.7;281.25;277.05;75.0;25720.0;0.0;2.0;2.0;75.0;6.0;450.0;;;;99410.0;;;-60.0;;;;;;;;8.8;8.8;-10.0;0.0;0.0;;;-0.1;-0.1;-0.1;0.2;0.6;;;;;1.0;;300.0;4.0;;690.0;6.0;;840.0;;9.0;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,15001
7149;2019-11-14T22:00:00+01:00;100010.0;40.0;1.0;60.0;3.7;278.95;277.15;88.0;30000.0;2.0;2.0;2.0;100.0;8.0;1250.0;35.0;;;98920.0;;;110.0;;;;;;;;5.0;5.4;-10.0;1.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;4.8;;;;;8.0;6.0;1030.0;;;;;;;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,15002
7149;2019-12-11T10:00:00+01:00;101130.0;-50.0;6.0;240.0;2.6;279.75;279.15;96.0;12570.0;2.0;6.0;2.0;100.0;7.0;800.0;35.0;;;100030.0;;;-1650.0;;;;;;;;3.8;4.1;-10.0;2.0;0.0;0.0;-30.0;-0.1;1.4;4.0;4.4;4.4;;;;;5.0;6.0;810.0;7.0;6.0;1200.0;;;;;;;48.716833,2.384333;ORLY;En baisse,puis stationnaire,15003
7149;2019-12-03T13:00:00+01:00;102900.0;-150.0;8.0;50.0;2.5;277.75;276.55;92.0;4800.0;1.0;2.0;2.0;90.0;7.0;250.0;36.0;;;101770.0;;;-130.0;;;;;;;;4.9;5.2;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;0.0;;;;;7.0;7.0;210.0;;;;;;;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,15004
7149;2019-12-31T16:00:00+01:00;103230.0;-60.0;5.0;80.0;1.8;277.95;274.75;80.0;4690.0;2.0;0.0;0.0;40.0;1.0;3000.0;30.0;23.0;11.0;102100.0;;;10.0;;;;;;;;2.4;2.7;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;0.0;;;;;1.0;3.0;3000.0;3.0;0.0;7800.0;;;;;;;48.716833,2.384333;ORLY;En baisse,puis en hausse,15005
7149;2019-10-19T20:00:00+02:00;100590.0;20.0;3.0;180.0;0.9;285.75;284.15;90.0;25000.0;1.0;2.0;2.0;90.0;6.0;;30.0;27.0;;99520.0;;;-350.0;285.35;;288.15;;;;;1.6;1.6;-10.0;1.0;0.0;0.0;-60.0;0.0;0.0;0.0;1.4;2.0;;;;;6.0;3.0;4300.0;7.0;0.0;6200.0;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,15006
7149;2019-11-29T13:00:00+01:00;101450.0;230.0;1.0;300.0;3.3;282.85;280.25;84.0;10000.0;80.0;8.0;6.0;90.0;7.0;450.0;35.0;;;100360.0;;;1390.0;;;;;;;;5.2;10.7;-10.0;2.0;0.0;0.0;-60.0;-0.1;-0.1;0.4;1.0;1.0;;;;;5.0;8.0;480.0;3.0;8.0;600.0;7.0;6.0;740.0;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,15007
7149;2019-11-29T16:00:00+01:00;101720.0;260.0;2.0;20.0;3.9;281.65;278.55;81.0;30000.0;1.0;2.0;2.0;90.0;7.0;450.0;35.0;;;100620.0;;;1590.0;;;;;;;;6.0;6.0;-10.0;2.0;0.0;0.0;-30.0;0.0;-0.1;-0.1;0.8;1.0;;;;;1.0;8.0;420.0;5.0;6.0;780.0;7.0;6.0;1030.0;;;;48.716833,2.384333;ORLY;En hausse;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;Dans l’ensemble,nuages se dissipant ou devenant moins épais;8.5;;;;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;11,15008
7149;2019-12-14T01:00:00+01:00;98790.0;-320.0;8.0;230.0;6.0;282.05;281.25;95.0;6480.0;60.0;6.0;2.0;90.0;7.0;450.0;35.0;;;97730.0;;;610.0;;;;;;;;10.2;17.0;-10.0;2.0;0.0;0.0;-60.0;0.2;0.6;0.6;0.6;10.3;;;;;5.0;6.0;330.0;7.0;6.0;540.0;;;;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,15009
