ID OMM station;Date;Pression au niveau mer;Variation de pression en 3 heures;Type de tendance barométrique;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Température;Point de rosée;Humidité;Visibilité horizontale;Temps présent;Temps passé 1;Temps passé 2;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Type des nuages de l'étage inférieur;Type des nuages de l'étage moyen;Type des nuages de l'étage supérieur;Pression station;Niveau barométrique;Géopotentiel;Variation de pression en 24 heures;Température minimale sur 12 heures;Température minimale sur 24 heures;Température maximale sur 12 heures;Température maximale sur 24 heures;Température minimale du sol sur 12 heures;Méthode de mesure Température du thermomètre mouillé;Température du thermomètre mouillé;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Etat du sol;Hauteur totale de la couche de neige,glace,autre au sol;Hauteur de la neige fraîche;Periode de mesure de la neige fraiche;Précipitations dans la dernière heure;Précipitations dans les 3 dernières heures;Précipitations dans les 6 dernières heures;Précipitations dans les 12 dernières heures;Précipitations dans les 24 dernières heures;Phénomène spécial 1;Phénomène spécial 2;Phénomène spécial 3;Phénomène spécial 4;Nébulosité couche nuageuse 1;Type nuage 1;Hauteur de base 1;Nébulosité couche nuageuse 2;Type nuage 2;Hauteur de base 2;Nébulosité couche nuageuse 3;Type nuage 3;Hauteur de base 3;Nébulosité couche nuageuse 4;Type nuage 4;Hauteur de base 4;Coordonnees;Nom;Type de tendance barométrique.1;Temps passé 1.1;Temps présent.1;Température (°C);Température minimale sur 12 heures (°C);Température minimale sur 24 heures (°C);Température maximale sur 12 heures (°C);Température maximale sur 24 heures (°C);Température minimale du sol sur 12 heures (en °C);Latitude;Longitude;Altitude;communes (name);communes (code);EPCI (name);EPCI (code);department (name);department (code);region (name);region (code);mois_de_l_annee,index
7149;2017-10-22T23:00:00+02:00;102190.0;80.0;1.0;260.0;3.6;283.25;281.15;87.0;20000.0;0.0;6.0;2.0;100.0;5.0;800.0;;;;101090.0;;;580.0;;;;;;;;5.6;6.4;-10.0;1.0;0.0;;;-0.1;0.4;0.6;1.0;1.0;;;;;2.0;;690.0;3.0;;1080.0;5.0;;1410.0;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,11000
7149;2017-10-24T05:00:00+02:00;102340.0;-10.0;7.0;210.0;2.5;286.65;285.85;95.0;9000.0;2.0;2.0;2.0;100.0;7.0;150.0;37.0;;;101260.0;;;80.0;;;;;;;;4.0;5.2;-10.0;2.0;0.0;0.0;-30.0;0.0;-0.1;0.2;2.2;2.8;;;;;7.0;7.0;150.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;État du ciel inchangé dans l’ensemble;13.5;;;;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;10,"",11001
7149;2017-04-12T05:00:00+02:00;102420.0;-160.0;8.0;270.0;1.6;277.75;274.95;82.0;20000.0;2.0;0.0;0.0;50.0;0.0;7500.0;30.0;20.0;11.0;101300.0;;;-290.0;;;;;;;;2.3;2.3;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;0.0;;;;;4.0;0.0;7500.0;;;;;;;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,11002
7149;2017-04-26T05:00:00+02:00;101310.0;0.0;0.0;10.0;4.3;277.25;268.55;53.0;30000.0;1.0;1.0;1.0;25.0;2.0;1750.0;35.0;20.0;10.0;100200.0;;;220.0;;;;;;;;6.4;6.6;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;0.2;;;;;2.0;6.0;1800.0;;;;;;;;;;48.716833,2.384333;ORLY;En hausse,puis en baisse la pression atmosphérique est la même ou plus haute que trois heures auparavant;Nuages couvrant plus de la moitié du ciel pendant une partie de la période considérée et couvrant la moitié du ciel,11003
7149;2017-04-27T08:00:00+02:00;101910.0;90.0;3.0;340.0;3.0;276.95;274.15;82.0;18520.0;2.0;0.0;0.0;0.0;0.0;;30.0;20.0;10.0;100790.0;;;500.0;274.15;;278.35;;;;;5.0;6.6;-10.0;1.0;0.0;0.0;-60.0;0.0;0.0;0.0;-0.1;2.4;;;;;;;;;;;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,11004
7149;2017-04-27T20:00:00+02:00;101780.0;-30.0;6.0;10.0;5.4;282.55;269.65;40.0;30000.0;2.0;2.0;2.0;60.0;2.0;1750.0;35.0;23.0;11.0;100680.0;;;190.0;277.05;;284.75;;;;;8.3;9.0;-10.0;1.0;0.0;0.0;-60.0;0.0;0.0;0.2;0.6;0.6;;;;;1.0;6.0;1900.0;2.0;3.0;2400.0;3.0;0.0;8000.0;;;;48.716833,2.384333;ORLY;En baisse,puis stationnaire,11005
7149;2017-04-15T08:00:00+02:00;101960.0;70.0;3.0;250.0;3.7;281.55;278.25;80.0;19270.0;3.0;2.0;2.0;90.0;6.0;450.0;35.0;;;100860.0;;;130.0;278.75;;287.25;;;;;4.9;4.9;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;0.0;;;;;3.0;6.0;450.0;5.0;6.0;1000.0;6.0;6.0;2200.0;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,11006
7149;2017-04-16T14:00:00+02:00;102410.0;-40.0;8.0;280.0;4.1;285.95;274.65;46.0;35000.0;2.0;2.0;2.0;60.0;4.0;1250.0;38.0;23.0;11.0;101320.0;;;340.0;;;;;;;;6.7;8.1;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;0.2;;;;;3.0;8.0;1400.0;3.0;6.0;1800.0;2.0;3.0;3600.0;5.0;0.0;8000.0;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,11007
7149;2017-04-17T08:00:00+02:00;102030.0;-60.0;6.0;260.0;3.0;281.65;278.35;80.0;20000.0;3.0;2.0;2.0;90.0;7.0;450.0;35.0;;;100930.0;;;-350.0;279.15;;285.65;;;;;4.5;4.5;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;0.0;;;;;2.0;6.0;420.0;3.0;6.0;1000.0;7.0;6.0;1800.0;;;;48.716833,2.384333;ORLY;En baisse,puis stationnaire,11008
7149;2017-04-20T17:00:00+02:00;103450.0;-160.0;8.0;60.0;4.6;285.55;268.45;30.0;25000.0;2.0;2.0;2.0;75.0;0.0;8000.0;30.0;20.0;11.0;102350.0;;;160.0;;;;;;;;9.5;9.5;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;0.0;;;;;6.0;0.0;8000.0;;;;;;;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,11009
