ID OMM station;Date;Pression au niveau mer;Variation de pression en 3 heures;Type de tendance barométrique;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Température;Point de rosée;Humidité;Visibilité horizontale;Temps présent;Temps passé 1;Temps passé 2;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Type des nuages de l'étage inférieur;Type des nuages de l'étage moyen;Type des nuages de l'étage supérieur;Pression station;Niveau barométrique;Géopotentiel;Variation de pression en 24 heures;Température minimale sur 12 heures;Température minimale sur 24 heures;Température maximale sur 12 heures;Température maximale sur 24 heures;Température minimale du sol sur 12 heures;Méthode de mesure Température du thermomètre mouillé;Température du thermomètre mouillé;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Etat du sol;Hauteur totale de la couche de neige,glace,autre au sol;Hauteur de la neige fraîche;Periode de mesure de la neige fraiche;Précipitations dans la dernière heure;Précipitations dans les 3 dernières heures;Précipitations dans les 6 dernières heures;Précipitations dans les 12 dernières heures;Précipitations dans les 24 dernières heures;Phénomène spécial 1;Phénomène spécial 2;Phénomène spécial 3;Phénomène spécial 4;Nébulosité couche nuageuse 1;Type nuage 1;Hauteur de base 1;Nébulosité couche nuageuse 2;Type nuage 2;Hauteur de base 2;Nébulosité couche nuageuse 3;Type nuage 3;Hauteur de base 3;Nébulosité couche nuageuse 4;Type nuage 4;Hauteur de base 4;Coordonnees;Nom;Type de tendance barométrique.1;Temps passé 1.1;Temps présent.1;Température (°C);Température minimale sur 12 heures (°C);Température minimale sur 24 heures (°C);Température maximale sur 12 heures (°C);Température maximale sur 24 heures (°C);Température minimale du sol sur 12 heures (en °C);Latitude;Longitude;Altitude;communes (name);communes (code);EPCI (name);EPCI (code);department (name);department (code);region (name);region (code);mois_de_l_annee,index
7149;2019-06-09T20:00:00+02:00;101710.0;-140.0;6.0;20.0;3.3;292.25;282.45;53.0;29710.0;1.0;0.0;0.0;40.0;3.0;2900.0;30.0;23.0;10.0;100650.0;;;-540.0;285.55;;293.65;;;;;4.7;5.3;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.2;0.2;;;;;3.0;3.0;2900.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse,puis stationnaire,16000
7149;2019-06-12T11:00:00+02:00;101010.0;-20.0;8.0;180.0;2.7;287.45;283.25;76.0;30000.0;1.0;2.0;2.0;90.0;7.0;450.0;38.0;;;99940.0;;;-220.0;;;;;;;;5.5;6.3;-10.0;1.0;0.0;0.0;-30.0;0.0;0.0;0.2;0.2;2.6;;;;;6.0;8.0;480.0;5.0;6.0;2000.0;;;;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,16001
7149;2019-01-16T13:00:00+01:00;101240.0;-220.0;8.0;220.0;3.2;279.35;274.45;71.0;17830.0;0.0;2.0;2.0;;2.0;6660.0;;;;100140.0;;;-1160.0;;;;;;;;5.2;6.8;-10.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;2.0;;6660.0;;;;;;;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,16002
7149;2019-01-17T16:00:00+01:00;101360.0;160.0;3.0;330.0;5.3;277.85;275.55;85.0;8000.0;80.0;8.0;6.0;90.0;7.0;450.0;39.0;;;100250.0;;;290.0;;;;;;;;9.1;10.8;-10.0;2.0;0.0;0.0;-30.0;0.6;0.8;1.0;1.0;2.8;;;;;3.0;8.0;480.0;6.0;6.0;800.0;3.0;9.0;630.0;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,16003
7149;2019-01-18T07:00:00+01:00;102080.0;20.0;1.0;260.0;1.5;271.35;270.25;92.0;25000.0;2.0;2.0;2.0;90.0;2.0;5600.0;30.0;23.0;11.0;100930.0;;;1260.0;271.35;;276.55;;;;;1.8;2.9;-10.0;4.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;1.2;;;;;2.0;3.0;5600.0;7.0;0.0;7800.0;;;;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,16004
7149;2019-01-19T16:00:00+01:00;101010.0;-190.0;6.0;130.0;2.6;274.25;273.55;95.0;3500.0;20.0;5.0;2.0;100.0;8.0;150.0;37.0;;;99890.0;;;-860.0;;;;;;;;3.9;4.5;-10.0;1.0;0.0;0.0;-30.0;-0.1;-0.1;-0.1;-0.1;-0.1;;;;;8.0;7.0;120.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse,puis stationnaire,16005
7149;2019-01-22T04:00:00+01:00;101560.0;-330.0;8.0;190.0;4.5;270.25;269.55;95.0;1820.0;10.0;2.0;2.0;100.0;8.0;150.0;36.0;;;100420.0;;;-690.0;;;;;;;;7.6;8.0;-10.0;4.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;0.0;;;;;8.0;7.0;100.0;;;;;;;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,16006
7149;2019-01-22T19:00:00+01:00;100360.0;-100.0;8.0;210.0;3.9;273.75;273.35;97.0;1480.0;10.0;2.0;2.0;100.0;8.0;80.0;;;;99240.0;;;-1800.0;270.95;;274.35;;;;;6.1;6.1;-10.0;13.0;;;;0.0;0.0;0.2;3.2;3.2;;;;;8.0;;60.0;;;;;;;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,16007
7149;2019-01-23T19:00:00+01:00;100350.0;400.0;3.0;10.0;7.0;273.95;272.35;89.0;5320.0;1.0;2.0;2.0;100.0;7.0;450.0;35.0;;;99230.0;;;-10.0;272.75;;274.75;;;;;11.0;12.8;-10.0;12.0;0.01;0.01;-60.0;0.0;0.4;0.4;1.2;3.2;;;;;7.0;6.0;360.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,16008
7149;2019-04-02T08:00:00+02:00;100910.0;-80.0;6.0;220.0;3.9;285.55;281.05;74.0;8940.0;21.0;6.0;2.0;100.0;7.0;1750.0;37.0;27.0;;99840.0;;;-860.0;285.15;;291.55;;;;;6.3;6.7;-10.0;0.0;0.0;0.0;-60.0;-0.1;3.1;3.1;3.1;3.1;;;;;2.0;8.0;1800.0;7.0;3.0;2280.0;;;;;;;48.716833,2.384333;ORLY;En baisse,puis stationnaire,16009
7149;2019-04-05T05:00:00+02:00;100350.0;30.0;3.0;130.0;1.1;276.25;272.65;77.0;20000.0;1.0;0.0;0.0;40.0;0.0;7000.0;30.0;20.0;11.0;99240.0;;;490.0;;;;;;;;2.1;3.4;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;0.0;;;;;3.0;0.0;7000.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,16010
7149;2019-04-05T08:00:00+02:00;100440.0;90.0;3.0;100.0;0.9;276.15;273.05;80.0;20000.0;3.0;0.0;0.0;50.0;1.0;3000.0;30.0;23.0;11.0;99330.0;;;520.0;275.15;;282.95;;;;;1.7;2.0;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;0.0;;;;;1.0;3.0;3000.0;4.0;0.0;7000.0;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,16011
7149;2019-04-11T08:00:00+02:00;102010.0;120.0;2.0;20.0;4.1;277.25;273.05;74.0;14000.0;2.0;0.0;0.0;0.0;0.0;;30.0;20.0;10.0;100890.0;;;860.0;276.85;;285.35;;;;;7.1;8.3;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;0.2;;;;;;;;;;;;;;;;;48.716833,2.384333;ORLY;En hausse;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;État du ciel inchangé dans l’ensemble;4.100000000000023;3.7000000000000455;;12.200000000000044;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;4,"",16012
7149;2019-04-19T05:00:00+02:00;102230.0;70.0;3.0;10.0;2.4;283.85;278.55;70.0;27310.0;2.0;0.0;0.0;0.0;0.0;;30.0;20.0;10.0;101130.0;;;340.0;;;;;;;;3.0;3.7;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,16013
7149;2019-04-19T11:00:00+02:00;102440.0;100.0;1.0;70.0;1.8;291.15;280.85;51.0;15950.0;2.0;0.0;0.0;10.0;1.0;4000.0;30.0;28.0;11.0;101370.0;;;520.0;;;;;;;;3.4;5.3;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;0.0;;;;;1.0;3.0;4000.0;1.0;0.0;7000.0;;;;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,16014
7149;2019-04-19T14:00:00+02:00;102390.0;-30.0;8.0;70.0;2.1;296.05;281.35;39.0;19040.0;2.0;0.0;0.0;10.0;1.0;4000.0;30.0;23.0;11.0;101340.0;;;520.0;;;;;;;;4.6;6.1;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;0.0;;;;;1.0;3.0;4000.0;1.0;0.0;7000.0;;;;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,16015
7149;2019-01-30T13:00:00+01:00;99920.0;70.0;1.0;240.0;6.9;276.25;272.75;78.0;18870.0;0.0;1.0;1.0;90.0;7.0;450.0;;;;98820.0;;;-400.0;;;;;;;;9.9;9.9;-10.0;13.0;;;;0.0;0.0;0.0;6.2;16.3;;;;;7.0;;450.0;7.0;;2340.0;;;;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,16016
7149;2019-03-03T13:00:00+01:00;101160.0;-150.0;8.0;220.0;7.3;285.85;282.15;78.0;19230.0;1.0;2.0;2.0;90.0;7.0;800.0;35.0;;;100080.0;;;-570.0;;;;;;;;12.3;14.2;-10.0;1.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;0.0;;;;;5.0;6.0;600.0;7.0;6.0;800.0;;;;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,16017
7149;2019-03-03T19:00:00+01:00;100590.0;-210.0;8.0;220.0;8.6;287.35;279.95;61.0;25000.0;3.0;2.0;2.0;90.0;7.0;1250.0;35.0;;;99530.0;;;-1110.0;283.55;;287.65;;;;;15.9;15.9;-10.0;1.0;0.0;0.0;-60.0;0.0;-0.1;-0.1;-0.1;-0.1;;;;;7.0;6.0;1240.0;;;;;;;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,16018
7149;2019-03-08T16:00:00+01:00;101800.0;-60.0;8.0;230.0;7.6;284.55;275.55;54.0;37290.0;1.0;2.0;2.0;90.0;2.0;1250.0;32.0;20.0;11.0;100710.0;;;1430.0;;;;;;;;11.9;12.4;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;-0.1;;;;;2.0;8.0;1200.0;7.0;0.0;7500.0;;;;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,16019
