ID OMM station;Date;Pression au niveau mer;Variation de pression en 3 heures;Type de tendance barométrique;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Température;Point de rosée;Humidité;Visibilité horizontale;Temps présent;Temps passé 1;Temps passé 2;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Type des nuages de l'étage inférieur;Type des nuages de l'étage moyen;Type des nuages de l'étage supérieur;Pression station;Niveau barométrique;Géopotentiel;Variation de pression en 24 heures;Température minimale sur 12 heures;Température minimale sur 24 heures;Température maximale sur 12 heures;Température maximale sur 24 heures;Température minimale du sol sur 12 heures;Méthode de mesure Température du thermomètre mouillé;Température du thermomètre mouillé;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Etat du sol;Hauteur totale de la couche de neige,glace,autre au sol;Hauteur de la neige fraîche;Periode de mesure de la neige fraiche;Précipitations dans la dernière heure;Précipitations dans les 3 dernières heures;Précipitations dans les 6 dernières heures;Précipitations dans les 12 dernières heures;Précipitations dans les 24 dernières heures;Phénomène spécial 1;Phénomène spécial 2;Phénomène spécial 3;Phénomène spécial 4;Nébulosité couche nuageuse 1;Type nuage 1;Hauteur de base 1;Nébulosité couche nuageuse 2;Type nuage 2;Hauteur de base 2;Nébulosité couche nuageuse 3;Type nuage 3;Hauteur de base 3;Nébulosité couche nuageuse 4;Type nuage 4;Hauteur de base 4;Coordonnees;Nom;Type de tendance barométrique.1;Temps passé 1.1;Temps présent.1;Température (°C);Température minimale sur 12 heures (°C);Température minimale sur 24 heures (°C);Température maximale sur 12 heures (°C);Température maximale sur 24 heures (°C);Température minimale du sol sur 12 heures (en °C);Latitude;Longitude;Altitude;communes (name);communes (code);EPCI (name);EPCI (code);department (name);department (code);region (name);region (code);mois_de_l_annee,index
7149;2021-11-06T01:00:00+01:00;103190.0;70.0;1.0;0.0;0.0;277.95;276.65;91.0;20000.0;2.0;0.0;0.0;10.0;1.0;1250.0;35.0;20.0;10.0;102060.0;;;1220.0;;;;;;;;0.7;3.8;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;-0.1;;;;;1.0;6.0;1320.0;;;;;;;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,23000
7149;2021-11-07T01:00:00+01:00;102670.0;-140.0;8.0;230.0;2.6;279.15;277.95;92.0;7430.0;0.0;2.0;2.0;;4.0;3240.0;;;;101550.0;;;-510.0;;;;;;;;4.9;5.2;-10.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;4.0;;3240.0;;8.0;;;;;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,23001
7149;2021-11-10T19:00:00+01:00;102530.0;60.0;1.0;0.0;0.0;276.75;276.75;100.0;90.0;47.0;4.0;1.0;101.0;9.0;;62.0;61.0;60.0;101400.0;;;-80.0;273.05;;281.15;;;;;1.1;2.6;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;0.0;;;;;9.0;59.0;;;;;;;;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,23002
7149;2021-11-19T07:00:00+01:00;103320.0;-20.0;6.0;220.0;1.7;278.75;278.75;100.0;10000.0;3.0;2.0;2.0;100.0;8.0;800.0;35.0;;;102190.0;;;160.0;278.55;;279.65;;;;;2.3;3.0;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;0.0;;;;;8.0;6.0;720.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse,puis stationnaire,23003
7149;2021-11-21T07:00:00+01:00;101580.0;-140.0;6.0;250.0;2.3;278.55;278.55;100.0;2210.0;50.0;5.0;5.0;100.0;7.0;80.0;37.0;;;100470.0;;;-1200.0;278.25;;279.05;;;;;3.5;4.4;-10.0;0.0;0.0;0.0;-60.0;0.2;0.2;0.2;0.2;0.2;;;;;7.0;7.0;80.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse,puis stationnaire,23004
7149;2021-07-07T20:00:00+02:00;101660.0;40.0;3.0;250.0;4.8;295.95;282.05;41.0;25000.0;1.0;2.0;2.0;60.0;3.0;1750.0;38.0;20.0;12.0;100620.0;;;640.0;289.15;;296.85;;;;;7.6;8.8;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;1.4;1.4;1.4;;;;;2.0;8.0;1600.0;2.0;6.0;2000.0;3.0;0.0;8000.0;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,23005
7149;2021-08-04T05:00:00+02:00;101360.0;-90.0;8.0;180.0;1.1;284.75;283.65;93.0;17590.0;2.0;0.0;0.0;25.0;2.0;4000.0;30.0;23.0;10.0;100280.0;;;-20.0;;;;;;;;1.9;2.2;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;1.6;;;;;2.0;3.0;4000.0;;;;;;;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,23006
7149;2021-07-27T17:00:00+02:00;101230.0;-150.0;7.0;190.0;5.2;291.45;290.15;92.0;8000.0;25.0;8.0;6.0;90.0;7.0;450.0;39.0;;;100180.0;;;-20.0;;;;;;;;9.7;9.9;-10.0;2.0;0.0;0.0;-30.0;0.6;6.5;7.9;7.9;12.2;;;;;3.0;8.0;330.0;5.0;6.0;1800.0;2.0;9.0;1200.0;;;;48.716833,2.384333;ORLY;En baisse;Averse(s);Averse(s) de pluie;18.30000000000001;;;;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;7,"",23007
7149;2021-07-19T11:00:00+02:00;102070.0;-20.0;8.0;60.0;4.1;298.45;287.85;52.0;17850.0;2.0;0.0;0.0;10.0;0.0;7000.0;30.0;20.0;11.0;101030.0;;;-270.0;;;;;;;;6.9;7.5;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;0.0;;;;;1.0;0.0;7000.0;;;;;;;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,23008
7149;2021-07-30T05:00:00+02:00;101100.0;-110.0;6.0;190.0;2.1;287.55;285.25;86.0;19940.0;0.0;0.0;0.0;;3.0;1250.0;;;;100030.0;;;-410.0;;;;;;;;2.9;2.9;-10.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;3.0;;1440.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse,puis stationnaire,23009
