ID OMM station;Date;Pression au niveau mer;Variation de pression en 3 heures;Type de tendance barométrique;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Température;Point de rosée;Humidité;Visibilité horizontale;Temps présent;Temps passé 1;Temps passé 2;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Type des nuages de l'étage inférieur;Type des nuages de l'étage moyen;Type des nuages de l'étage supérieur;Pression station;Niveau barométrique;Géopotentiel;Variation de pression en 24 heures;Température minimale sur 12 heures;Température minimale sur 24 heures;Température maximale sur 12 heures;Température maximale sur 24 heures;Température minimale du sol sur 12 heures;Méthode de mesure Température du thermomètre mouillé;Température du thermomètre mouillé;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Etat du sol;Hauteur totale de la couche de neige,glace,autre au sol;Hauteur de la neige fraîche;Periode de mesure de la neige fraiche;Précipitations dans la dernière heure;Précipitations dans les 3 dernières heures;Précipitations dans les 6 dernières heures;Précipitations dans les 12 dernières heures;Précipitations dans les 24 dernières heures;Phénomène spécial 1;Phénomène spécial 2;Phénomène spécial 3;Phénomène spécial 4;Nébulosité couche nuageuse 1;Type nuage 1;Hauteur de base 1;Nébulosité couche nuageuse 2;Type nuage 2;Hauteur de base 2;Nébulosité couche nuageuse 3;Type nuage 3;Hauteur de base 3;Nébulosité couche nuageuse 4;Type nuage 4;Hauteur de base 4;Coordonnees;Nom;Type de tendance barométrique.1;Temps passé 1.1;Temps présent.1;Température (°C);Température minimale sur 12 heures (°C);Température minimale sur 24 heures (°C);Température maximale sur 12 heures (°C);Température maximale sur 24 heures (°C);Température minimale du sol sur 12 heures (en °C);Latitude;Longitude;Altitude;communes (name);communes (code);EPCI (name);EPCI (code);department (name);department (code);region (name);region (code);mois_de_l_annee,index
7149;2014-11-21T19:00:00+01:00;101740.0;0.0;5.0;120.0;1.0;282.85;281.15;89.0;12000.0;2.0;1.0;1.0;90.0;2.0;3500.0;30.0;23.0;12.0;100650.0;;;;280.45;;285.55;;;;;;2.1;-10.0;;;0.0;-60.0;0.0;0.0;;0.0;;710.0;1102.0;3100.0;;2.0;3.0;4500.0;7.0;0.0;6000.0;;;;;;;48.716833,2.384333;ORLY;En baisse,puis en hausse,0
7149;2014-11-13T01:00:00+01:00;101000.0;140.0;3.0;170.0;1.5;279.35;278.15;92.0;11000.0;0.0;;;;;;;;;99900.0;;;;;;;;;;;;2.1;-10.0;;0.0;;;0.0;0.0;0.0;;;710.0;1102.0;;;;;;;;;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,1
7149;2014-12-19T22:00:00+01:00;102660.0;280.0;1.0;320.0;3.5;281.75;277.75;76.0;43940.0;1.0;2.0;2.0;90.0;7.0;;35.0;;;101550.0;;;430.0;;;;;;;;5.7;5.7;-10.0;1.0;0.0;;;0.0;0.0;1.2;2.6;2.6;;;;;7.0;6.0;1200.0;;;;;;;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,2
7149;2014-12-24T16:00:00+01:00;102200.0;-70.0;5.0;220.0;5.5;282.95;281.75;92.0;3000.0;51.0;5.0;2.0;100.0;8.0;;37.0;;;101100.0;;;-250.0;;;;;;;;9.0;10.3;-10.0;0.0;0.0;;;-0.1;-0.1;-0.1;-0.1;-0.1;;;;;5.0;7.0;210.0;6.0;7.0;270.0;8.0;6.0;400.0;;;;48.716833,2.384333;ORLY;En baisse,puis en hausse,3
7149;2014-12-28T04:00:00+01:00;101010.0;320.0;3.0;10.0;5.8;274.35;271.15;79.0;15000.0;22.0;7.0;6.0;90.0;7.0;;35.0;;;99890.0;;;510.0;;;;;;;;10.7;12.8;-10.0;1.0;0.0;;;-0.1;-0.1;-0.1;0.4;1.0;;;;;5.0;6.0;540.0;7.0;6.0;930.0;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,4
7149;2014-12-30T10:00:00+01:00;104110.0;60.0;1.0;270.0;2.7;273.45;272.75;95.0;280.0;45.0;0.0;0.0;101.0;9.0;;;;;102950.0;;;150.0;;;;;;;;3.3;3.3;-10.0;5.0;0.0;;;0.0;0.0;0.0;0.0;-0.1;;;;;0.0;0.0;;;;;;;;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,5
7149;2014-12-17T19:00:00+01:00;101330.0;270.0;2.0;290.0;3.1;284.55;283.45;93.0;20000.0;20.0;5.0;2.0;100.0;8.0;;35.0;;;100250.0;;;-490.0;279.45;;284.75;;;;;4.7;6.1;-10.0;2.0;0.0;;;0.2;0.2;1.0;6.5;11.5;;;;;6.0;7.0;290.0;7.0;6.0;470.0;;;;;;;48.716833,2.384333;ORLY;En hausse;Bruine;Bruine (ne se congelant pas) ou neige en grains;11.400000000000034;6.300000000000011;;11.600000000000025;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;12,"",6
7149;2014-04-25T11:00:00+02:00;100950.0;20.0;3.0;190.0;2.6;287.35;286.05;92.0;4000.0;10.0;6.0;2.0;100.0;6.0;250.0;35.0;27.0;60.0;99880.0;;;;;;;;;;;;3.6;-10.0;;;0.0;-30.0;0.0;2.0;;;;710.0;1104.0;3100.0;;5.0;7.0;210.0;5.0;6.0;360.0;7.0;3.0;3000.0;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,7
7149;2014-04-24T08:00:00+02:00;101980.0;-10.0;5.0;310.0;1.0;285.15;281.95;81.0;13000.0;2.0;1.0;1.0;90.0;7.0;1750.0;35.0;61.0;60.0;100890.0;;;;284.65;;289.75;;283.15;;;;3.6;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;;0.0;0.0;710.0;1104.0;3100.0;;2.0;6.0;1500.0;7.0;6.0;1800.0;;;;;;;48.716833,2.384333;ORLY;En baisse,puis en hausse,8
7149;2014-11-15T19:00:00+01:00;100160.0;10.0;2.0;150.0;2.6;282.65;281.45;92.0;35000.0;80.0;8.0;6.0;90.0;4.0;800.0;38.0;20.0;11.0;99080.0;;;;282.45;;286.15;;;;;;4.6;-10.0;;;0.0;-60.0;0.0;0.0;;0.0;;710.0;1105.0;3100.0;;3.0;8.0;660.0;4.0;6.0;930.0;7.0;0.0;7500.0;;;;48.716833,2.384333;ORLY;En hausse;Averse(s);Averse(s) de pluie,faible(s);9.5;9.300000000000011;;13.0;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;11,9
7149;2014-12-02T04:00:00+01:00;101230.0;10.0;3.0;340.0;3.6;275.75;273.65;86.0;12000.0;2.0;1.0;1.0;100.0;8.0;450.0;35.0;61.0;60.0;100110.0;;;;;;;;;;;;6.7;-10.0;;;0.0;-30.0;0.0;0.0;;;;710.0;1107.0;3100.0;;8.0;6.0;330.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,10
7149;2014-11-29T19:00:00+01:00;101200.0;90.0;3.0;100.0;3.1;278.65;277.45;92.0;8000.0;2.0;1.0;1.0;90.0;2.0;150.0;36.0;20.0;11.0;100090.0;;;;277.95;;282.35;;;;;;4.1;-10.0;;;0.0;-60.0;0.0;0.0;;0.0;;710.0;1104.0;3100.0;;2.0;7.0;180.0;7.0;0.0;7800.0;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,11
7149;2014-12-10T13:00:00+01:00;102130.0;-80.0;8.0;250.0;1.6;282.55;281.15;91.0;18000.0;1.0;2.0;2.0;100.0;8.0;;35.0;;;101030.0;;;-990.0;;;;;;;;2.3;5.3;-10.0;2.0;0.0;;;0.0;0.2;0.8;1.4;1.4;;;;;1.0;7.0;210.0;5.0;6.0;700.0;8.0;6.0;1200.0;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,12
7149;2014-12-04T19:00:00+01:00;101490.0;90.0;3.0;130.0;1.7;277.75;275.65;86.0;6930.0;3.0;2.0;2.0;100.0;8.0;;36.0;;;100380.0;;;-310.0;275.65;;277.85;;;;;3.1;3.1;-10.0;1.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;8.0;7.0;300.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,13
7149;2014-12-11T22:00:00+01:00;101720.0;-80.0;6.0;210.0;3.9;280.65;277.45;80.0;20000.0;2.0;2.0;2.0;75.0;3.0;;35.0;20.0;11.0;100620.0;;;-400.0;;;;;;;;6.5;10.2;-10.0;1.0;0.0;;;0.0;0.0;0.4;0.6;0.6;;;;;3.0;6.0;1560.0;6.0;0.0;7000.0;;;;;;;48.716833,2.384333;ORLY;En baisse,puis stationnaire,14
7149;2014-12-13T07:00:00+01:00;100790.0;100.0;3.0;30.0;5.1;279.25;278.35;94.0;9810.0;61.0;6.0;6.0;100.0;8.0;;37.0;;;99690.0;;;10.0;279.25;;284.05;;;;;6.5;8.7;-10.0;2.0;0.0;;;0.4;2.0;6.2;22.2;23.6;;;;;7.0;7.0;180.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,15
7149;2014-03-06T04:00:00+01:00;102800.0;40.0;2.0;0.0;0.0;274.05;273.05;93.0;15000.0;2.0;1.0;1.0;0.0;;;;;;101660.0;;;;;;;;;;;;1.5;-10.0;;;0.0;-30.0;0.0;0.0;;;;710.0;1102.0;3100.0;;;;;;;;;;;;;;48.716833,2.384333;ORLY;En hausse;Nuages couvrant plus de la moitié du ciel pendant une partie de la période considérée et couvrant la moitié du ciel,ou moins,16
7149;2014-03-20T10:00:00+01:00;101690.0;-200.0;6.0;180.0;4.6;284.65;278.25;65.0;18000.0;2.0;1.0;1.0;10.0;0.0;8000.0;30.0;20.0;11.0;100600.0;;;;;;;;;;;;6.7;-10.0;;;0.0;-30.0;0.0;0.0;;;;710.0;1107.0;3100.0;;1.0;0.0;7500.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse,puis stationnaire,17
7149;2014-03-21T13:00:00+01:00;101330.0;250.0;1.0;290.0;6.7;285.55;276.75;55.0;30000.0;1.0;6.0;2.0;90.0;6.0;800.0;38.0;61.0;60.0;100250.0;;;;;;;;;;;;10.3;-10.0;;;0.0;-60.0;0.0;0.0;0.0;;;710.0;1110.0;3100.0;;4.0;8.0;990.0;4.0;6.0;1200.0;;;;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,18
7149;2014-02-26T13:00:00+01:00;101870.0;150.0;1.0;250.0;1.5;282.15;277.15;71.0;25000.0;2.0;1.0;1.0;90.0;7.0;800.0;38.0;61.0;60.0;100770.0;;;;;;;;;;;;4.6;-10.0;;;0.0;-60.0;0.0;0.0;0.0;;;710.0;1105.0;3100.0;;6.0;8.0;600.0;3.0;6.0;1200.0;;;;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,19
7149;2014-03-17T16:00:00+01:00;102270.0;-120.0;6.0;10.0;3.6;285.45;279.95;69.0;19000.0;2.0;1.0;1.0;10.0;1.0;450.0;35.0;20.0;10.0;101180.0;;;;;;;;;;;;7.2;-10.0;;;0.0;-30.0;0.0;0.0;;;;710.0;1107.0;3100.0;;1.0;6.0;510.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse,puis stationnaire,20
7149;2014-03-18T19:00:00+01:00;102120.0;150.0;1.0;260.0;4.6;284.65;278.25;65.0;25000.0;2.0;1.0;1.0;90.0;7.0;1250.0;35.0;61.0;60.0;101030.0;;;;280.65;;287.65;;;;;;7.7;-10.0;;;0.0;-60.0;0.0;0.0;;0.0;;710.0;1108.0;3100.0;;7.0;6.0;1200.0;;;;;;;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,21
7149;2014-04-01T14:00:00+02:00;101060.0;-150.0;8.0;100.0;2.1;292.45;280.85;47.0;30000.0;2.0;1.0;1.0;90.0;0.0;8000.0;30.0;20.0;11.0;100010.0;;;;;;;;;;;;5.1;-10.0;;;0.0;-60.0;0.0;0.0;0.0;;;710.0;1105.0;3100.0;;7.0;0.0;6900.0;;;;;;;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,22
7149;2014-04-01T17:00:00+02:00;100880.0;-180.0;6.0;150.0;3.1;293.05;280.45;44.0;30000.0;2.0;1.0;1.0;90.0;1.0;1750.0;31.0;20.0;11.0;99830.0;;;;;;;;;;;;9.3;-10.0;;;0.0;-30.0;0.0;0.0;;;;710.0;1109.0;3100.0;;1.0;8.0;1500.0;7.0;0.0;6900.0;;;;;;;48.716833,2.384333;ORLY;En baisse,puis stationnaire,23
7149;2014-04-07T08:00:00+02:00;101720.0;-80.0;6.0;180.0;2.1;284.65;284.15;97.0;500.0;41.0;4.0;2.0;100.0;7.0;80.0;36.0;61.0;60.0;100630.0;;;;284.45;;290.25;;282.15;;;;3.1;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;;0.0;0.0;710.0;1103.0;3100.0;;7.0;7.0;30.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse,puis stationnaire,24
7149;2014-04-08T02:00:00+02:00;101620.0;320.0;3.0;300.0;6.2;283.45;279.55;77.0;25000.0;1.0;8.0;6.0;75.0;6.0;800.0;35.0;20.0;10.0;100530.0;;;;;;;;;;;;14.9;-10.0;;;0.0;-60.0;0.0;0.2;0.2;;;710.0;1115.0;3100.0;;2.0;6.0;900.0;6.0;6.0;1500.0;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,25
7149;2014-04-08T11:00:00+02:00;102260.0;210.0;1.0;280.0;6.7;284.45;276.75;59.0;30000.0;2.0;1.0;1.0;25.0;2.0;800.0;32.0;20.0;10.0;101170.0;;;;;;;;;;;;10.8;-10.0;;;0.0;-30.0;0.0;0.0;;;;710.0;1111.0;3100.0;;2.0;8.0;900.0;;;;;;;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,26
7149;2014-04-08T20:00:00+02:00;102510.0;140.0;3.0;300.0;5.1;285.25;276.25;54.0;35000.0;2.0;1.0;1.0;75.0;6.0;1250.0;38.0;20.0;10.0;101420.0;;;;280.35;;287.35;;;;;;8.2;-10.0;;;0.0;-60.0;0.0;0.0;;0.0;;710.0;1108.0;3100.0;;3.0;8.0;1320.0;4.0;6.0;1800.0;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,27
