ID OMM station;Date;Pression au niveau mer;Variation de pression en 3 heures;Type de tendance barométrique;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Température;Point de rosée;Humidité;Visibilité horizontale;Temps présent;Temps passé 1;Temps passé 2;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Type des nuages de l'étage inférieur;Type des nuages de l'étage moyen;Type des nuages de l'étage supérieur;Pression station;Niveau barométrique;Géopotentiel;Variation de pression en 24 heures;Température minimale sur 12 heures;Température minimale sur 24 heures;Température maximale sur 12 heures;Température maximale sur 24 heures;Température minimale du sol sur 12 heures;Méthode de mesure Température du thermomètre mouillé;Température du thermomètre mouillé;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Etat du sol;Hauteur totale de la couche de neige,glace,autre au sol;Hauteur de la neige fraîche;Periode de mesure de la neige fraiche;Précipitations dans la dernière heure;Précipitations dans les 3 dernières heures;Précipitations dans les 6 dernières heures;Précipitations dans les 12 dernières heures;Précipitations dans les 24 dernières heures;Phénomène spécial 1;Phénomène spécial 2;Phénomène spécial 3;Phénomène spécial 4;Nébulosité couche nuageuse 1;Type nuage 1;Hauteur de base 1;Nébulosité couche nuageuse 2;Type nuage 2;Hauteur de base 2;Nébulosité couche nuageuse 3;Type nuage 3;Hauteur de base 3;Nébulosité couche nuageuse 4;Type nuage 4;Hauteur de base 4;Coordonnees;Nom;Type de tendance barométrique.1;Temps passé 1.1;Temps présent.1;Température (°C);Température minimale sur 12 heures (°C);Température minimale sur 24 heures (°C);Température maximale sur 12 heures (°C);Température maximale sur 24 heures (°C);Température minimale du sol sur 12 heures (en °C);Latitude;Longitude;Altitude;communes (name);communes (code);EPCI (name);EPCI (code);department (name);department (code);region (name);region (code);mois_de_l_annee,index
7149;2022-08-27T08:00:00+02:00;101690.0;0.0;5.0;40.0;4.0;290.35;286.45;78.0;24100.0;1.0;1.0;1.0;50.0;2.0;1750.0;35.0;20.0;11.0;100630.0;;;-170.0;289.55;;297.75;;;;;6.3;6.3;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;0.0;;;;;2.0;6.0;1800.0;3.0;0.0;9000.0;;;;;;;48.716833,2.384333;ORLY;En baisse,puis en hausse,26000
7149;2022-08-28T20:00:00+02:00;101640.0;-20.0;8.0;40.0;3.6;297.95;285.85;47.0;49160.0;0.0;;;;2.0;1750.0;;;;100600.0;;;50.0;289.15;;300.35;;;;;5.5;7.3;-10.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;2.0;;1860.0;;;;;;;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,26001
7149;2022-08-30T08:00:00+02:00;101800.0;-50.0;5.0;20.0;3.3;289.95;285.45;75.0;25000.0;3.0;2.0;2.0;90.0;5.0;2900.0;30.0;27.0;11.0;100730.0;;;-50.0;289.35;;300.25;;;;;6.4;6.7;-10.0;1.0;0.0;0.0;-60.0;0.0;0.2;1.2;1.2;1.2;;;;;3.0;3.0;2900.0;5.0;3.0;4900.0;4.0;0.0;8000.0;;;;48.716833,2.384333;ORLY;En baisse,puis en hausse,26002
7149;2022-08-31T14:00:00+02:00;101830.0;-100.0;6.0;350.0;3.6;298.95;286.75;47.0;25000.0;2.0;1.0;1.0;25.0;0.0;8000.0;30.0;20.0;11.0;100800.0;;;;;;;;;;;;9.3;-10.0;;;;;;0.0;0.0;;;;;;;2.0;0.0;6900.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse,puis stationnaire,26003
7149;2022-09-01T20:00:00+02:00;101380.0;-80.0;6.0;80.0;4.0;298.75;284.85;42.0;50090.0;0.0;2.0;;;2.0;2820.0;;;;100350.0;;;-290.0;290.65;;301.75;;;;;6.4;7.8;-10.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;1.0;;2820.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse,puis stationnaire,26004
7149;2022-09-02T02:00:00+02:00;101370.0;-60.0;8.0;90.0;2.9;294.35;283.25;49.0;43950.0;0.0;;;90.0;7.0;2250.0;;;;100320.0;;;-310.0;;;;;;;;4.4;6.5;-10.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;6.0;;2400.0;7.0;;3180.0;;;;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,26005
7149;2022-09-02T17:00:00+02:00;101070.0;-100.0;8.0;190.0;2.5;296.45;287.95;59.0;28760.0;3.0;2.0;2.0;75.0;1.0;800.0;32.0;23.0;12.0;100040.0;;;-390.0;;;;;;;;4.4;5.2;-10.0;0.0;0.0;0.0;-30.0;0.0;-0.1;0.6;0.6;0.6;;;;;1.0;8.0;920.0;1.0;8.0;1700.0;5.0;3.0;3600.0;3.0;0.0;7800.0;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,26006
7149;2022-11-15T13:00:00+01:00;100340.0;-210.0;8.0;190.0;5.5;284.55;283.95;96.0;10470.0;61.0;6.0;6.0;100.0;7.0;250.0;35.0;;;99270.0;;;-840.0;;;;;;;;9.4;9.4;-10.0;2.0;0.0;0.0;-60.0;1.0;2.0;2.0;2.2;2.2;;;;;2.0;7.0;240.0;5.0;6.0;390.0;7.0;6.0;1200.0;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,26007
7149;2022-11-15T19:00:00+01:00;99960.0;-120.0;6.0;190.0;3.1;286.05;285.45;96.0;25000.0;1.0;6.0;2.0;100.0;8.0;250.0;35.0;;;98900.0;;;-1100.0;281.05;;286.05;;;;;5.7;6.3;-10.0;2.0;0.0;0.0;-60.0;-0.1;1.2;2.0;4.0;4.2;;;;;3.0;7.0;270.0;5.0;6.0;470.0;7.0;6.0;600.0;;;;48.716833,2.384333;ORLY;En baisse,puis stationnaire,26008
7149;2022-09-15T20:00:00+02:00;101190.0;80.0;3.0;330.0;5.4;292.35;286.05;67.0;35990.0;0.0;;;;3.0;1250.0;;;;100140.0;;;640.0;288.05;;296.05;;;;;8.1;9.3;-10.0;0.0;0.0;;;0.0;0.0;0.0;0.0;1.2;;;;;3.0;;1050.0;3.0;;1740.0;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,26009
7149;2022-09-16T02:00:00+02:00;101420.0;30.0;1.0;310.0;2.9;286.75;282.15;74.0;52770.0;0.0;;;;2.0;1750.0;;;;100340.0;;;590.0;;;;;;;;4.3;4.3;-10.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.2;;;;;2.0;;1740.0;;;;;;;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,26010
7149;2022-09-20T17:00:00+02:00;102460.0;-110.0;8.0;310.0;1.6;291.65;281.35;51.0;25150.0;0.0;2.0;2.0;75.0;4.0;1250.0;;;;101390.0;;;160.0;;;;;;;;3.2;6.2;-10.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;4.0;;1350.0;5.0;;1560.0;6.0;;1860.0;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,26011
7149;2022-09-20T20:00:00+02:00;102500.0;30.0;3.0;30.0;2.8;288.95;281.65;62.0;49970.0;0.0;;;90.0;1.0;1250.0;;;;101420.0;;;170.0;280.95;;291.75;;;;;4.0;5.7;-10.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;1.0;;1380.0;7.0;;1740.0;7.0;;7440.0;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,26012
