ID OMM station;Date;Pression au niveau mer;Variation de pression en 3 heures;Type de tendance barométrique;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Température;Point de rosée;Humidité;Visibilité horizontale;Temps présent;Temps passé 1;Temps passé 2;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Type des nuages de l'étage inférieur;Type des nuages de l'étage moyen;Type des nuages de l'étage supérieur;Pression station;Niveau barométrique;Géopotentiel;Variation de pression en 24 heures;Température minimale sur 12 heures;Température minimale sur 24 heures;Température maximale sur 12 heures;Température maximale sur 24 heures;Température minimale du sol sur 12 heures;Méthode de mesure Température du thermomètre mouillé;Température du thermomètre mouillé;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Etat du sol;Hauteur totale de la couche de neige,glace,autre au sol;Hauteur de la neige fraîche;Periode de mesure de la neige fraiche;Précipitations dans la dernière heure;Précipitations dans les 3 dernières heures;Précipitations dans les 6 dernières heures;Précipitations dans les 12 dernières heures;Précipitations dans les 24 dernières heures;Phénomène spécial 1;Phénomène spécial 2;Phénomène spécial 3;Phénomène spécial 4;Nébulosité couche nuageuse 1;Type nuage 1;Hauteur de base 1;Nébulosité couche nuageuse 2;Type nuage 2;Hauteur de base 2;Nébulosité couche nuageuse 3;Type nuage 3;Hauteur de base 3;Nébulosité couche nuageuse 4;Type nuage 4;Hauteur de base 4;Coordonnees;Nom;Type de tendance barométrique.1;Temps passé 1.1;Temps présent.1;Température (°C);Température minimale sur 12 heures (°C);Température minimale sur 24 heures (°C);Température maximale sur 12 heures (°C);Température maximale sur 24 heures (°C);Température minimale du sol sur 12 heures (en °C);Latitude;Longitude;Altitude;communes (name);communes (code);EPCI (name);EPCI (code);department (name);department (code);region (name);region (code);mois_de_l_annee,index
7149;2020-03-25T01:00:00+01:00;102470.0;-20.0;8.0;80.0;4.6;278.05;265.85;41.0;22600.0;0.0;;;;0.0;;;;;101350.0;;;-250.0;;;;;;;;6.2;7.7;-10.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,18000
7149;2020-03-25T16:00:00+01:00;101960.0;-240.0;6.0;60.0;7.7;284.85;266.45;27.0;15850.0;0.0;;;;0.0;;;;;100870.0;;;-490.0;;;;;;;;10.9;11.6;-10.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;48.716833,2.384333;ORLY;En baisse,puis stationnaire,18001
7149;2020-03-21T10:00:00+01:00;102100.0;40.0;3.0;40.0;7.2;279.85;278.05;88.0;11110.0;0.0;;;100.0;8.0;450.0;;;;100990.0;;;-140.0;;;;;;;;10.2;10.2;-10.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;8.0;;300.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,18002
7149;2020-05-23T08:00:00+02:00;102640.0;190.0;1.0;320.0;3.4;284.85;282.55;86.0;11460.0;61.0;;;100.0;8.0;2250.0;;;;101540.0;;;750.0;284.85;;292.45;;;;;5.4;7.3;-10.0;2.0;0.0;;;1.0;3.0;3.2;3.2;3.2;;;;;8.0;;2040.0;;8.0;;;;;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,18003
7149;2020-05-15T08:00:00+02:00;101990.0;210.0;3.0;10.0;5.9;280.35;274.85;68.0;17050.0;0.0;;;;0.0;;;;;100880.0;;;250.0;278.95;;287.15;;;;;8.8;9.1;-10.0;0.0;0.0;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,18004
7149;2020-05-15T17:00:00+02:00;102090.0;-10.0;5.0;30.0;4.7;290.25;275.45;37.0;15160.0;0.0;;;;0.0;;;;;101020.0;;;570.0;;;;;;;;10.0;10.9;-10.0;0.0;0.0;;;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;48.716833,2.384333;ORLY;En baisse,puis en hausse,18005
7149;2020-03-07T04:00:00+01:00;101770.0;140.0;1.0;270.0;2.4;276.65;274.55;86.0;20000.0;1.0;0.0;0.0;0.0;0.0;;30.0;20.0;10.0;100650.0;;;1980.0;;;;;;;;2.8;3.1;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;-0.1;;;;;;;;;;;;;;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,18006
7149;2020-03-16T13:00:00+01:00;102140.0;160.0;1.0;360.0;3.5;283.25;280.35;82.0;18000.0;2.0;2.0;2.0;100.0;7.0;450.0;38.0;;;101040.0;;;810.0;;;;;;;;5.5;5.5;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;0.0;;;;;1.0;8.0;480.0;7.0;6.0;1900.0;;;;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,18007
7149;2020-03-09T13:00:00+01:00;101910.0;70.0;1.0;300.0;5.5;283.95;277.45;64.0;14360.0;3.0;2.0;2.0;90.0;5.0;800.0;32.0;20.0;11.0;100820.0;;;450.0;;;;;;;;11.1;11.4;-10.0;1.0;0.0;0.0;-60.0;0.0;0.0;-0.1;-0.1;5.8;;;;;1.0;8.0;930.0;4.0;8.0;1300.0;4.0;0.0;8000.0;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,18008
7149;2020-03-14T16:00:00+01:00;101890.0;-90.0;8.0;210.0;5.2;284.25;281.15;81.0;20000.0;25.0;8.0;6.0;90.0;7.0;450.0;38.0;;;100800.0;;;-370.0;;;;;;;;9.3;9.3;-10.0;1.0;0.0;0.0;-30.0;0.2;0.2;0.4;0.4;0.4;;;;;4.0;8.0;500.0;4.0;6.0;660.0;7.0;6.0;1000.0;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,18009
7149;2020-03-18T07:00:00+01:00;102950.0;0.0;0.0;240.0;0.7;283.05;281.85;92.0;8000.0;2.0;2.0;2.0;90.0;7.0;800.0;35.0;;;101840.0;;;-100.0;283.05;;286.75;;;;;2.0;2.0;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;0.0;;;;;1.0;6.0;870.0;7.0;6.0;1680.0;;;;;;;48.716833,2.384333;ORLY;En hausse,puis en baisse la pression atmosphérique est la même ou plus haute que trois heures auparavant;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;État du ciel inchangé dans l’ensemble;9.900000000000034;9.900000000000034;;13.600000000000025;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;3,18010
7149;2020-04-27T20:00:00+02:00;100450.0;-90.0;7.0;100.0;3.1;291.75;283.85;60.0;34280.0;0.0;;;;1.0;250.0;;;;99400.0;;;-490.0;283.25;;298.45;;;;;4.8;10.3;-10.0;;;;;0.2;0.2;0.2;0.2;0.2;;;;;1.0;;270.0;3.0;;3120.0;;8.0;;;;;48.716833,2.384333;ORLY;En baisse;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;18.600000000000023;10.100000000000025;;25.30000000000001;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;4,"",18011
7149;2020-04-20T14:00:00+02:00;101000.0;-100.0;7.0;60.0;6.1;292.25;282.45;53.0;16640.0;0.0;;;;0.0;;;;;99950.0;;;-500.0;;;;;;;;9.2;9.8;-10.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;48.716833,2.384333;ORLY;En baisse;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;19.100000000000023;;;;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;4,"",18012
7149;2020-04-18T20:00:00+02:00;101600.0;80.0;3.0;340.0;3.2;291.55;285.05;66.0;27240.0;0.0;;;90.0;7.0;2250.0;;;;100540.0;;;370.0;287.35;;296.95;;;;;5.2;7.1;-10.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.2;;;;;7.0;;2220.0;;9.0;;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,18013
7149;2020-05-01T14:00:00+02:00;100340.0;-80.0;8.0;250.0;6.6;288.55;282.45;67.0;17340.0;0.0;;;90.0;7.0;800.0;;;;99280.0;;;130.0;;;;;;;;10.2;10.2;-10.0;0.0;0.0;;;0.0;0.2;0.4;4.2;8.8;;;;;5.0;;810.0;6.0;;1050.0;7.0;;1440.0;;9.0;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,18014
7149;2020-04-11T08:00:00+02:00;102230.0;30.0;3.0;10.0;0.8;285.85;281.35;74.0;15090.0;0.0;;;90.0;7.0;2820.0;;;;101140.0;;;-110.0;285.15;;295.35;;;;;1.1;2.3;-10.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;7.0;;2820.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,18015
7149;2020-01-16T22:00:00+01:00;101820.0;-80.0;8.0;180.0;4.3;283.65;278.85;72.0;30000.0;2.0;0.0;0.0;25.0;0.0;8000.0;30.0;20.0;11.0;100730.0;;;-480.0;;;;;;;;8.6;8.8;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;0.2;;;;;2.0;0.0;8000.0;;;;;;;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,18016
7149;2020-02-08T01:00:00+01:00;102110.0;30.0;0.0;180.0;2.9;281.25;277.65;78.0;25000.0;2.0;2.0;2.0;90.0;7.0;1750.0;35.0;;;101010.0;;;-540.0;;;;;;;;4.2;4.4;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;0.0;;;;;7.0;6.0;1900.0;;;;;;;;;;48.716833,2.384333;ORLY;En hausse,puis en baisse la pression atmosphérique est la même ou plus haute que trois heures auparavant;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;État du ciel inchangé dans l’ensemble;8.100000000000023;;;;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;2,18017
7149;2020-02-08T16:00:00+01:00;102140.0;-10.0;5.0;220.0;3.1;283.45;280.15;80.0;25000.0;3.0;2.0;2.0;100.0;7.0;1250.0;35.0;;;101040.0;;;50.0;;;;;;;;5.1;6.1;-10.0;0.0;0.0;0.0;-30.0;-0.1;-0.1;-0.1;-0.1;-0.1;;;;;6.0;6.0;1400.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse,puis en hausse,18018
7149;2020-02-04T19:00:00+01:00;102820.0;300.0;1.0;310.0;6.0;280.85;275.55;69.0;24100.0;0.0;2.0;2.0;100.0;3.0;800.0;;;;101710.0;;;1490.0;278.05;;282.65;;;;;9.3;12.5;-10.0;0.0;0.0;;;0.0;-0.1;-0.1;0.8;7.1;;;;;3.0;;990.0;3.0;;1290.0;8.0;;1620.0;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,18019
7149;2020-01-29T10:00:00+01:00;101430.0;210.0;2.0;240.0;3.8;279.55;277.05;84.0;29900.0;1.0;2.0;2.0;60.0;3.0;800.0;31.0;20.0;11.0;100330.0;;;1150.0;;;;;;;;5.9;8.0;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;1.0;;;;;3.0;8.0;600.0;5.0;0.0;7000.0;;;;;;;48.716833,2.384333;ORLY;En hausse;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;Dans l’ensemble,nuages se dissipant ou devenant moins épais;6.400000000000034;;;;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;1,18020
7149;2020-02-01T16:00:00+01:00;101220.0;70.0;1.0;240.0;6.2;286.85;282.05;73.0;28000.0;2.0;1.0;1.0;90.0;7.0;800.0;38.0;61.0;60.0;100150.0;;;;;;;;;;;;14.4;-10.0;;;;;;;;;;;;;;3.0;8.0;810.0;7.0;6.0;1380.0;;;;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,18021
7149;2020-02-19T19:00:00+01:00;102560.0;-40.0;8.0;200.0;3.4;280.95;279.75;92.0;8000.0;21.0;6.0;2.0;100.0;8.0;800.0;38.0;;;101450.0;;;-30.0;278.05;;283.35;;;;;5.5;6.1;-10.0;1.0;0.0;0.0;-60.0;0.4;0.6;0.6;0.6;5.2;;;;;2.0;8.0;800.0;3.0;6.0;990.0;7.0;6.0;1200.0;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,18022
7149;2020-02-12T04:00:00+01:00;101990.0;-50.0;8.0;240.0;5.4;277.55;274.35;80.0;21460.0;3.0;2.0;2.0;60.0;2.0;4400.0;30.0;23.0;11.0;100870.0;;;630.0;;;;;;;;8.9;13.1;-10.0;1.0;;;;0.0;0.0;0.0;-0.1;0.6;;;;;2.0;3.0;4400.0;5.0;0.0;5800.0;;;;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,18023
7149;2020-02-14T13:00:00+01:00;102430.0;100.0;0.0;240.0;3.9;283.85;278.85;71.0;25000.0;3.0;2.0;2.0;90.0;7.0;800.0;38.0;;;101330.0;;;2170.0;;;;;;;;6.1;7.9;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.2;0.8;;;;;2.0;8.0;750.0;7.0;6.0;1050.0;;;;;;;48.716833,2.384333;ORLY;En hausse,puis en baisse la pression atmosphérique est la même ou plus haute que trois heures auparavant;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;Nuages en formation ou en train de se développer;10.700000000000044;;;;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;2,18024
7149;2020-01-27T22:00:00+01:00;100170.0;-20.0;7.0;230.0;7.8;281.65;279.05;84.0;35030.0;3.0;2.0;2.0;90.0;7.0;450.0;38.0;;;99090.0;;;-1380.0;;;;;;;;12.6;13.6;-10.0;2.0;0.0;0.0;-30.0;0.0;-0.1;1.8;3.4;6.6;;;;;5.0;8.0;500.0;5.0;6.0;800.0;7.0;6.0;1400.0;;;;48.716833,2.384333;ORLY;En baisse;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;Nuages en formation ou en train de se développer;8.5;;;;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;1,"",18025
7149;2020-09-22T08:00:00+02:00;101310.0;-30.0;6.0;280.0;1.6;284.15;282.25;88.0;4620.0;2.0;0.0;0.0;0.0;0.0;;30.0;20.0;10.0;100230.0;;;-290.0;283.75;;294.65;;;;;2.1;2.5;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;48.716833,2.384333;ORLY;En baisse,puis stationnaire,18026
7149;2020-10-23T02:00:00+02:00;101280.0;-30.0;8.0;200.0;3.1;287.85;286.85;94.0;20000.0;25.0;8.0;6.0;90.0;5.0;250.0;38.0;23.0;10.0;100210.0;;;180.0;;;;;;;;5.0;5.7;-10.0;0.0;0.0;0.0;-60.0;0.2;0.2;0.2;0.2;0.6;;;;;3.0;8.0;250.0;2.0;6.0;1100.0;6.0;3.0;2600.0;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,18027
