ID OMM station;Date;Pression au niveau mer;Variation de pression en 3 heures;Type de tendance barométrique;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Température;Point de rosée;Humidité;Visibilité horizontale;Temps présent;Temps passé 1;Temps passé 2;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Type des nuages de l'étage inférieur;Type des nuages de l'étage moyen;Type des nuages de l'étage supérieur;Pression station;Niveau barométrique;Géopotentiel;Variation de pression en 24 heures;Température minimale sur 12 heures;Température minimale sur 24 heures;Température maximale sur 12 heures;Température maximale sur 24 heures;Température minimale du sol sur 12 heures;Méthode de mesure Température du thermomètre mouillé;Température du thermomètre mouillé;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Etat du sol;Hauteur totale de la couche de neige,glace,autre au sol;Hauteur de la neige fraîche;Periode de mesure de la neige fraiche;Précipitations dans la dernière heure;Précipitations dans les 3 dernières heures;Précipitations dans les 6 dernières heures;Précipitations dans les 12 dernières heures;Précipitations dans les 24 dernières heures;Phénomène spécial 1;Phénomène spécial 2;Phénomène spécial 3;Phénomène spécial 4;Nébulosité couche nuageuse 1;Type nuage 1;Hauteur de base 1;Nébulosité couche nuageuse 2;Type nuage 2;Hauteur de base 2;Nébulosité couche nuageuse 3;Type nuage 3;Hauteur de base 3;Nébulosité couche nuageuse 4;Type nuage 4;Hauteur de base 4;Coordonnees;Nom;Type de tendance barométrique.1;Temps passé 1.1;Temps présent.1;Température (°C);Température minimale sur 12 heures (°C);Température minimale sur 24 heures (°C);Température maximale sur 12 heures (°C);Température maximale sur 24 heures (°C);Température minimale du sol sur 12 heures (en °C);Latitude;Longitude;Altitude;communes (name);communes (code);EPCI (name);EPCI (code);department (name);department (code);region (name);region (code);mois_de_l_annee,index
7149;2021-11-01T16:00:00+01:00;100150.0;-100.0;6.0;240.0;2.1;284.05;280.55;79.0;10000.0;25.0;8.0;6.0;100.0;7.0;800.0;39.0;26.0;;99080.0;;;390.0;;;;;;;;3.2;11.7;-10.0;0.0;0.0;0.0;-30.0;0.6;0.6;0.6;0.6;4.3;;;;;5.0;8.0;1100.0;4.0;3.0;4100.0;1.0;9.0;900.0;;;;48.716833,2.384333;ORLY;En baisse,puis stationnaire,21000
7149;2021-11-03T13:00:00+01:00;100240.0;120.0;1.0;350.0;3.1;283.95;280.05;77.0;18840.0;1.0;2.0;2.0;60.0;5.0;800.0;31.0;20.0;10.0;99170.0;;;20.0;;;;;;;;5.2;6.8;-10.0;1.0;0.0;0.0;-60.0;0.0;0.0;-0.1;2.4;6.4;;;;;5.0;8.0;650.0;;;;;;;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,21001
7149;2021-11-08T22:00:00+01:00;102650.0;80.0;1.0;250.0;1.1;279.35;277.95;91.0;6510.0;3.0;1.0;1.0;60.0;5.0;1250.0;35.0;20.0;10.0;101530.0;;;260.0;;;;;;;;1.6;1.6;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;0.0;;;;;5.0;6.0;1110.0;;;;;;;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,21002
7149;2021-11-12T10:00:00+01:00;102060.0;10.0;3.0;210.0;1.1;275.25;275.25;100.0;250.0;45.0;4.0;4.0;101.0;9.0;;62.0;61.0;60.0;100930.0;;;-590.0;;;;;;;;2.0;3.5;-10.0;1.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.2;0.2;;;;;9.0;59.0;;;;;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,21003
7149;2021-08-31T05:00:00+02:00;102330.0;10.0;3.0;360.0;4.0;289.15;286.45;84.0;10000.0;1.0;2.0;2.0;90.0;7.0;450.0;35.0;;;101260.0;;;320.0;;;;;;;;6.3;9.6;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;0.2;;;;;7.0;6.0;550.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,21004
7149;2021-09-13T05:00:00+02:00;101740.0;-60.0;6.0;30.0;2.1;288.25;284.65;79.0;33630.0;3.0;1.0;1.0;60.0;5.0;1250.0;35.0;20.0;10.0;100670.0;;;-230.0;;;;;;;;2.6;2.6;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;0.0;;;;;5.0;6.0;1340.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse,puis stationnaire,21005
7149;2021-09-14T05:00:00+02:00;101180.0;-50.0;8.0;20.0;2.9;290.35;289.05;92.0;15000.0;80.0;8.0;8.0;90.0;1.0;1750.0;39.0;25.0;;100120.0;;;-550.0;;;;;;;;4.5;4.6;-10.0;1.0;0.0;0.0;-30.0;0.8;0.8;0.8;0.8;0.8;;;;;5.0;3.0;3600.0;7.0;3.0;4200.0;1.0;9.0;1800.0;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,21006
7149;2021-09-15T23:00:00+02:00;101630.0;180.0;1.0;10.0;4.3;291.45;288.35;82.0;25000.0;2.0;2.0;2.0;90.0;7.0;800.0;35.0;;;100570.0;;;500.0;;;;;;;;6.7;6.7;-10.0;2.0;0.0;0.0;-30.0;0.0;0.0;-0.1;10.9;21.2;;;;;7.0;6.0;800.0;;;;;;;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,21007
7149;2021-09-16T17:00:00+02:00;101800.0;-100.0;7.0;30.0;1.4;294.15;283.65;51.0;32820.0;1.0;2.0;2.0;75.0;5.0;1250.0;38.0;20.0;11.0;100750.0;;;480.0;;;;;;;;3.5;6.4;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;-0.1;;;;;1.0;8.0;1250.0;5.0;6.0;1450.0;4.0;0.0;7000.0;;;;48.716833,2.384333;ORLY;En baisse;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;Dans l’ensemble,nuages se dissipant ou devenant moins épais;21.0;;;;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;9,21008
7149;2021-09-18T08:00:00+02:00;101490.0;30.0;3.0;100.0;2.2;287.25;284.75;85.0;25000.0;3.0;2.0;2.0;90.0;7.0;2570.0;30.0;27.0;;100420.0;;;-230.0;285.95;;292.35;;;;;3.2;3.4;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;0.0;;;;;7.0;3.0;2570.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,21009
