ID OMM station;Date;Pression au niveau mer;Variation de pression en 3 heures;Type de tendance barométrique;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Température;Point de rosée;Humidité;Visibilité horizontale;Temps présent;Temps passé 1;Temps passé 2;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Type des nuages de l'étage inférieur;Type des nuages de l'étage moyen;Type des nuages de l'étage supérieur;Pression station;Niveau barométrique;Géopotentiel;Variation de pression en 24 heures;Température minimale sur 12 heures;Température minimale sur 24 heures;Température maximale sur 12 heures;Température maximale sur 24 heures;Température minimale du sol sur 12 heures;Méthode de mesure Température du thermomètre mouillé;Température du thermomètre mouillé;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Etat du sol;Hauteur totale de la couche de neige,glace,autre au sol;Hauteur de la neige fraîche;Periode de mesure de la neige fraiche;Précipitations dans la dernière heure;Précipitations dans les 3 dernières heures;Précipitations dans les 6 dernières heures;Précipitations dans les 12 dernières heures;Précipitations dans les 24 dernières heures;Phénomène spécial 1;Phénomène spécial 2;Phénomène spécial 3;Phénomène spécial 4;Nébulosité couche nuageuse 1;Type nuage 1;Hauteur de base 1;Nébulosité couche nuageuse 2;Type nuage 2;Hauteur de base 2;Nébulosité couche nuageuse 3;Type nuage 3;Hauteur de base 3;Nébulosité couche nuageuse 4;Type nuage 4;Hauteur de base 4;Coordonnees;Nom;Type de tendance barométrique.1;Temps passé 1.1;Temps présent.1;Température (°C);Température minimale sur 12 heures (°C);Température minimale sur 24 heures (°C);Température maximale sur 12 heures (°C);Température maximale sur 24 heures (°C);Température minimale du sol sur 12 heures (en °C);Latitude;Longitude;Altitude;communes (name);communes (code);EPCI (name);EPCI (code);department (name);department (code);region (name);region (code);mois_de_l_annee,index
7149;2016-10-23T17:00:00+02:00;100770.0;0.0;5.0;80.0;3.0;283.85;282.45;91.0;4150.0;63.0;6.0;6.0;90.0;7.0;1250.0;35.0;;;99690.0;;;-620.0;;;;;;;;4.4;4.7;-10.0;1.0;0.0;0.0;-30.0;2.4;2.4;2.4;2.4;2.4;;;;;2.0;6.0;1000.0;7.0;6.0;1800.0;;;;;;;48.716833,2.384333;ORLY;En baisse,puis en hausse,8000
7149;2016-10-25T11:00:00+02:00;102210.0;140.0;1.0;140.0;1.0;285.15;285.15;100.0;1670.0;10.0;4.0;2.0;100.0;8.0;80.0;36.0;;;101120.0;;;1110.0;;;;;;;;1.6;2.6;-10.0;1.0;0.0;0.0;-30.0;0.0;0.0;0.2;0.2;0.8;;;;;8.0;7.0;80.0;;;;;;;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,8001
7149;2016-12-05T22:00:00+01:00;102710.0;100.0;1.0;80.0;0.7;274.45;273.55;94.0;18000.0;2.0;0.0;0.0;0.0;0.0;;30.0;20.0;10.0;101570.0;;;410.0;;;;;;;;1.0;1.0;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,8002
7149;2016-12-06T04:00:00+01:00;102820.0;30.0;2.0;0.0;0.0;272.95;272.65;98.0;1320.0;10.0;2.0;2.0;60.0;0.0;8500.0;30.0;20.0;11.0;101670.0;;;440.0;;;;;;;;0.0;0.6;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;0.0;;;;;5.0;0.0;8500.0;;;;;;;;;;48.716833,2.384333;ORLY;En hausse;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;Brume;-0.1999999999999886;;;;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;12,"",8003
7149;2016-12-20T16:00:00+01:00;102280.0;90.0;3.0;240.0;2.1;278.35;274.45;76.0;14970.0;3.0;2.0;2.0;90.0;7.0;450.0;35.0;;;101160.0;;;-100.0;;;;;;;;3.6;5.2;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;-0.1;;;;;7.0;6.0;430.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,8004
7149;2016-12-21T07:00:00+01:00;102800.0;130.0;3.0;210.0;3.9;274.45;272.65;88.0;10000.0;3.0;2.0;2.0;90.0;1.0;250.0;36.0;20.0;12.0;101660.0;;;640.0;274.45;;277.75;;;;;5.7;5.7;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;0.0;;;;;1.0;7.0;270.0;7.0;0.0;6700.0;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,8005
7149;2016-12-26T07:00:00+01:00;103040.0;20.0;3.0;220.0;3.2;282.75;281.85;94.0;4820.0;51.0;5.0;2.0;100.0;8.0;150.0;37.0;;;101930.0;;;-130.0;282.75;;283.75;;;;;5.0;5.7;-10.0;1.0;0.0;0.0;-60.0;-0.1;-0.1;-0.1;-0.1;-0.1;;;;;4.0;7.0;180.0;6.0;6.0;330.0;7.0;6.0;600.0;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,8006
7149;2016-12-30T10:00:00+01:00;103950.0;50.0;1.0;180.0;1.0;271.15;270.55;96.0;100.0;49.0;4.0;4.0;101.0;9.0;30.0;;;;102780.0;;;50.0;;;;;;;;1.8;1.9;-10.0;5.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;0.0;0.0;;;;;;;;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,8007
7149;2016-08-07T23:00:00+02:00;102440.0;50.0;3.0;340.0;3.6;296.55;290.35;68.0;30000.0;2.0;1.0;1.0;0.0;;;;;;101390.0;;;;;;;;;;;;7.7;-10.0;;;;;0.0;0.0;;;;;;;;;;;;;;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,8008
7149;2016-08-14T02:00:00+02:00;102350.0;20.0;0.0;360.0;1.4;291.15;286.25;73.0;25000.0;1.0;0.0;0.0;0.0;0.0;;30.0;20.0;10.0;101280.0;;;-110.0;;;;;;;;2.0;4.2;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;48.716833,2.384333;ORLY;En hausse,puis en baisse la pression atmosphérique est la même ou plus haute que trois heures auparavant;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;Dans l’ensemble,8009
