ID OMM station;Date;Pression au niveau mer;Variation de pression en 3 heures;Type de tendance barométrique;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Température;Point de rosée;Humidité;Visibilité horizontale;Temps présent;Temps passé 1;Temps passé 2;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Type des nuages de l'étage inférieur;Type des nuages de l'étage moyen;Type des nuages de l'étage supérieur;Pression station;Niveau barométrique;Géopotentiel;Variation de pression en 24 heures;Température minimale sur 12 heures;Température minimale sur 24 heures;Température maximale sur 12 heures;Température maximale sur 24 heures;Température minimale du sol sur 12 heures;Méthode de mesure Température du thermomètre mouillé;Température du thermomètre mouillé;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Etat du sol;Hauteur totale de la couche de neige,glace,autre au sol;Hauteur de la neige fraîche;Periode de mesure de la neige fraiche;Précipitations dans la dernière heure;Précipitations dans les 3 dernières heures;Précipitations dans les 6 dernières heures;Précipitations dans les 12 dernières heures;Précipitations dans les 24 dernières heures;Phénomène spécial 1;Phénomène spécial 2;Phénomène spécial 3;Phénomène spécial 4;Nébulosité couche nuageuse 1;Type nuage 1;Hauteur de base 1;Nébulosité couche nuageuse 2;Type nuage 2;Hauteur de base 2;Nébulosité couche nuageuse 3;Type nuage 3;Hauteur de base 3;Nébulosité couche nuageuse 4;Type nuage 4;Hauteur de base 4;Coordonnees;Nom;Type de tendance barométrique.1;Temps passé 1.1;Temps présent.1;Température (°C);Température minimale sur 12 heures (°C);Température minimale sur 24 heures (°C);Température maximale sur 12 heures (°C);Température maximale sur 24 heures (°C);Température minimale du sol sur 12 heures (en °C);Latitude;Longitude;Altitude;communes (name);communes (code);EPCI (name);EPCI (code);department (name);department (code);region (name);region (code);mois_de_l_annee,index
7149;2015-12-05T10:00:00+01:00;103290.0;10.0;3.0;190.0;3.2;276.55;275.35;92.0;18000.0;2.0;2.0;2.0;60.0;0.0;7500.0;30.0;20.0;11.0;102150.0;;;50.0;;;;;;;;5.3;5.4;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;0.0;;;;;5.0;0.0;7500.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,3000
7149;2015-12-21T10:00:00+01:00;102590.0;190.0;2.0;230.0;5.5;282.95;281.05;88.0;30000.0;3.0;2.0;2.0;60.0;5.0;450.0;31.0;;;101490.0;;;740.0;;;;;;;;10.1;11.9;-10.0;1.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.4;0.4;;;;;5.0;8.0;420.0;;;;;;;;;;48.716833,2.384333;ORLY;En hausse;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;Nuages en formation ou en train de se développer;9.800000000000011;;;;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;12,"",3001
7149;2015-11-13T16:00:00+01:00;102710.0;60.0;3.0;290.0;5.4;287.85;281.35;65.0;30000.0;1.0;1.0;1.0;10.0;1.0;1250.0;31.0;23.0;10.0;101620.0;;;230.0;;;;;;;;9.1;10.3;-10.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;;;;;1.0;8.0;1050.0;1.0;3.0;5000.0;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,3002
7149;2015-11-18T01:00:00+01:00;101820.0;240.0;1.0;250.0;7.2;286.75;282.35;75.0;25000.0;1.0;6.0;1.0;10.0;1.0;800.0;35.0;20.0;10.0;100740.0;;;;;;;;;;;;12.9;-10.0;;;;;;0.0;0.6;;;;;;;1.0;6.0;690.0;;;;;;;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,3003
7149;2015-11-18T10:00:00+01:00;102300.0;140.0;1.0;210.0;3.5;284.95;282.85;87.0;15000.0;3.0;1.0;1.0;40.0;3.0;800.0;35.0;20.0;10.0;101210.0;;;800.0;;;;;;;;5.6;6.8;-10.0;1.0;0.0;0.0;;0.0;0.0;0.0;0.0;1.4;;;;;3.0;6.0;600.0;;;;;;;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,3004
7149;2015-11-22T16:00:00+01:00;101490.0;80.0;3.0;310.0;3.7;279.35;270.95;55.0;35000.0;3.0;0.0;0.0;50.0;1.0;1250.0;31.0;23.0;10.0;100380.0;;;1190.0;;;;;;;;5.9;6.7;-10.0;0.0;0.0;0.0;30.0;0.0;0.0;0.0;0.0;4.7;;;;;1.0;8.0;1080.0;4.0;3.0;4800.0;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,3005
7149;2015-11-22T22:00:00+01:00;101780.0;120.0;2.0;290.0;2.1;275.95;271.35;72.0;19440.0;3.0;2.0;2.0;60.0;5.0;3200.0;30.0;23.0;10.0;100660.0;;;880.0;;;;;;;;3.2;6.6;-10.0;0.0;0.0;0.0;30.0;0.0;0.0;0.0;0.0;0.0;;;;;2.0;3.0;3200.0;5.0;3.0;4000.0;;;;;;;48.716833,2.384333;ORLY;En hausse;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;Nuages en formation ou en train de se développer;2.800000000000012;;;;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;11,"",3006
7149;2015-11-23T13:00:00+01:00;102640.0;40.0;1.0;70.0;0.7;278.65;272.55;65.0;15270.0;2.0;0.0;0.0;10.0;1.0;800.0;31.0;20.0;10.0;101520.0;;;1220.0;;;;;;;;2.0;3.7;-10.0;0.0;0.0;0.0;60.0;0.0;0.0;0.0;0.0;0.0;;;;;1.0;8.0;700.0;;;;;;;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,3007
7149;2015-12-31T07:00:00+01:00;101980.0;290.0;3.0;240.0;3.9;281.45;279.55;88.0;48090.0;1.0;0.0;0.0;50.0;4.0;3800.0;30.0;23.0;10.0;100880.0;;;-540.0;281.15;;283.05;;;;;6.2;6.7;-10.0;2.0;0.0;0.0;-60.0;0.0;0.0;-0.1;-0.1;-0.1;;;;;4.0;3.0;3800.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,3008
7149;2015-12-31T19:00:00+01:00;102340.0;20.0;3.0;190.0;3.0;281.35;278.25;81.0;25000.0;1.0;0.0;0.0;10.0;1.0;1250.0;35.0;20.0;10.0;101230.0;;;800.0;280.55;;284.95;;;;;4.1;4.3;-10.0;1.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;-0.1;;;;;1.0;6.0;1200.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,3009
7149;2015-12-22T22:00:00+01:00;102380.0;-20.0;5.0;210.0;5.5;284.75;279.85;72.0;31840.0;2.0;2.0;2.0;90.0;7.0;1250.0;35.0;;;101290.0;;;-300.0;;;;;;;;8.3;11.2;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;-0.1;;;;;7.0;6.0;1150.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse,puis en hausse,3010
7149;2015-12-26T01:00:00+01:00;102990.0;20.0;2.0;190.0;3.0;283.55;281.35;86.0;18440.0;3.0;1.0;1.0;90.0;0.0;8000.0;30.0;20.0;11.0;101890.0;;;320.0;;;;;;;;3.8;4.3;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;1.2;;;;;7.0;0.0;8000.0;;;;;;;;;;48.716833,2.384333;ORLY;En hausse;Nuages couvrant plus de la moitié du ciel pendant une partie de la période considérée et couvrant la moitié du ciel,ou moins,3011
7149;2015-12-23T13:00:00+01:00;102840.0;40.0;0.0;240.0;5.1;285.85;281.35;74.0;19940.0;1.0;2.0;2.0;75.0;2.0;800.0;31.0;20.0;11.0;101750.0;;;240.0;;;;;;;;7.9;8.2;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;-0.1;-0.1;;;;;2.0;8.0;630.0;6.0;0.0;8000.0;;;;;;;48.716833,2.384333;ORLY;En hausse,puis en baisse la pression atmosphérique est la même ou plus haute que trois heures auparavant;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;Dans l’ensemble,3012
7149;2015-11-11T07:00:00+01:00;102730.0;0.0;5.0;150.0;1.0;282.85;282.75;99.0;100.0;45.0;4.0;2.0;101.0;9.0;30.0;;;;101630.0;;;-210.0;281.75;;284.25;;;;;1.3;1.7;-10.0;2.0;0.0;;;0.0;0.0;0.0;0.2;0.2;;;;;0.0;0.0;;;;;;;;;;;48.716833,2.384333;ORLY;En baisse,puis en hausse,3013
7149;2015-11-11T19:00:00+01:00;102590.0;0.0;5.0;200.0;2.2;286.85;285.75;93.0;8000.0;1.0;2.0;2.0;90.0;7.0;450.0;35.0;;;101500.0;;;-190.0;282.75;;287.25;;;;;3.6;3.6;-10.0;0.0;0.0;0.0;;0.0;0.0;-0.1;-0.1;0.2;;;;;1.0;6.0;300.0;3.0;6.0;1110.0;7.0;6.0;1640.0;;;;48.716833,2.384333;ORLY;En baisse,puis en hausse,3014
7149;2015-11-12T04:00:00+01:00;102680.0;50.0;0.0;240.0;0.9;285.95;285.15;95.0;7040.0;1.0;2.0;2.0;90.0;7.0;1250.0;35.0;;;101590.0;;;-40.0;;;;;;;;1.3;1.7;-10.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;-0.1;;;;;1.0;6.0;1050.0;7.0;6.0;1600.0;;;;;;;48.716833,2.384333;ORLY;En hausse,puis en baisse la pression atmosphérique est la même ou plus haute que trois heures auparavant;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;Dans l’ensemble,3015
7149;2015-11-12T16:00:00+01:00;102470.0;-150.0;6.0;180.0;1.9;287.35;285.05;86.0;12000.0;1.0;2.0;2.0;90.0;7.0;1250.0;35.0;;;101390.0;;;-110.0;;;;;;;;3.3;3.3;-10.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.2;0.2;;;;;7.0;6.0;1350.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse,puis stationnaire,3016
7149;2015-11-17T10:00:00+01:00;101480.0;160.0;3.0;240.0;6.6;288.75;286.55;87.0;51920.0;20.0;5.0;2.0;90.0;7.0;450.0;37.0;20.0;;100410.0;;;-400.0;;;;;;;;10.7;14.0;-10.0;2.0;0.0;0.0;;-0.1;0.4;0.6;1.0;1.2;;;;;7.0;8.0;520.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,3017
7149;2015-11-20T01:00:00+01:00;101700.0;-70.0;8.0;240.0;7.3;288.05;285.15;83.0;53510.0;0.0;2.0;2.0;100.0;7.0;800.0;;;;100630.0;;;-360.0;;;;;;;;10.8;14.2;-10.0;2.0;0.0;;;0.0;0.2;0.4;0.6;1.6;;;;;7.0;;660.0;7.0;;3000.0;8.0;;4500.0;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,3018
7149;2015-11-01T13:00:00+01:00;102920.0;-100.0;8.0;170.0;1.0;289.85;284.55;71.0;14490.0;2.0;0.0;0.0;0.0;0.0;;30.0;20.0;10.0;101840.0;;;610.0;;;;;;;;1.8;1.9;-10.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.2;0.2;;;;;;;;;;;;;;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,3019
7149;2015-12-01T19:00:00+01:00;103050.0;30.0;3.0;230.0;2.6;285.05;280.75;75.0;20000.0;1.0;2.0;2.0;100.0;7.0;1250.0;35.0;;;101950.0;;;530.0;284.15;;285.95;;;;;4.2;4.7;-10.0;0.0;0.0;0.0;60.0;0.0;0.0;0.0;0.0;0.0;;;;;7.0;6.0;1350.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,3020
7149;2015-12-06T04:00:00+01:00;102520.0;-70.0;8.0;210.0;4.6;280.75;279.55;92.0;15000.0;3.0;2.0;2.0;100.0;7.0;250.0;36.0;;;101410.0;;;-830.0;;;;;;;;7.6;7.6;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;0.0;;;;;7.0;7.0;270.0;;;;;;;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,3021
7149;2015-12-06T19:00:00+01:00;102750.0;120.0;3.0;180.0;2.5;283.75;280.85;82.0;19150.0;2.0;2.0;2.0;60.0;4.0;2570.0;30.0;23.0;11.0;101650.0;;;-10.0;281.05;;285.85;;;;;3.8;4.2;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;0.0;;;;;4.0;3.0;2570.0;2.0;0.0;7500.0;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,3022
7149;2015-11-23T22:00:00+01:00;102740.0;0.0;0.0;240.0;1.2;274.25;272.65;89.0;4990.0;10.0;1.0;1.0;100.0;1.0;250.0;;;;101600.0;;;940.0;;;;;;;;1.8;1.8;-10.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;1.0;;210.0;8.0;;5520.0;;;;;;;48.716833,2.384333;ORLY;En hausse,puis en baisse la pression atmosphérique est la même ou plus haute que trois heures auparavant;Nuages couvrant plus de la moitié du ciel pendant une partie de la période considérée et couvrant la moitié du ciel,3023
7149;2015-11-24T04:00:00+01:00;102530.0;-160.0;8.0;190.0;3.0;273.75;272.25;90.0;10400.0;1.0;2.0;2.0;90.0;0.0;6000.0;30.0;20.0;12.0;101390.0;;;360.0;;;;;;;;4.2;4.3;-10.0;0.0;0.0;0.0;30.0;0.0;0.0;0.0;0.0;0.0;;;;;7.0;0.0;6000.0;;;;;;;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,3024
7149;2015-11-25T04:00:00+01:00;101120.0;-90.0;7.0;260.0;3.5;280.65;280.05;96.0;12000.0;3.0;2.0;2.0;90.0;7.0;250.0;36.0;;;100020.0;;;-1370.0;;;;;;;;5.1;5.1;-10.0;1.0;0.0;0.0;30.0;-0.1;-0.1;1.4;2.4;4.4;;;;;2.0;7.0;270.0;3.0;6.0;600.0;6.0;6.0;1100.0;;;;48.716833,2.384333;ORLY;En baisse;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;Nuages en formation ou en train de se développer;7.5;;;;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;11,"",3025
7149;2015-11-26T01:00:00+01:00;101540.0;130.0;1.0;330.0;2.8;279.05;275.85;80.0;37150.0;2.0;0.0;0.0;0.0;0.0;;30.0;20.0;10.0;100430.0;;;320.0;;;;;;;;4.3;5.6;-10.0;1.0;0.0;0.0;60.0;0.0;0.0;0.0;1.8;3.0;;;;;;;;;;;;;;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,3026
7149;2015-11-26T10:00:00+01:00;101980.0;180.0;3.0;280.0;1.7;278.45;276.65;88.0;17560.0;0.0;0.0;0.0;;5.0;800.0;;;;100870.0;;;780.0;;;;;;;;2.3;2.3;-10.0;2.0;0.0;;;0.0;0.0;0.0;0.0;1.8;;;;;5.0;;810.0;5.0;;1080.0;5.0;;1380.0;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,3027
7149;2015-11-29T04:00:00+01:00;101770.0;-80.0;6.0;230.0;6.4;281.55;280.15;91.0;15000.0;60.0;6.0;2.0;90.0;7.0;450.0;35.0;;;100670.0;;;370.0;;;;;;;;10.5;11.8;-10.0;1.0;0.0;0.0;30.0;-0.1;-0.1;-0.1;-0.1;-0.1;;;;;7.0;6.0;360.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse,puis stationnaire,3028
7149;2015-12-17T13:00:00+01:00;102330.0;-190.0;8.0;190.0;3.2;287.95;283.55;75.0;25000.0;1.0;2.0;2.0;90.0;0.0;7000.0;30.0;20.0;12.0;101250.0;;;-320.0;;;;;;;;4.8;6.2;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;-0.1;-0.1;;;;;7.0;0.0;7000.0;;;;;;;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,3029
7149;2015-12-19T04:00:00+01:00;102250.0;-110.0;8.0;210.0;2.3;282.95;282.35;96.0;8000.0;2.0;0.0;0.0;25.0;0.0;6360.0;30.0;20.0;11.0;101150.0;;;-90.0;;;;;;;;3.8;4.4;-10.0;1.0;0.0;0.0;-30.0;0.2;0.2;0.2;0.2;0.4;;;;;2.0;0.0;6360.0;;;;;;;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,3030
7149;2015-12-27T16:00:00+01:00;102870.0;-30.0;6.0;200.0;2.5;285.45;280.75;73.0;28180.0;2.0;2.0;2.0;75.0;0.0;7500.0;30.0;20.0;11.0;101770.0;;;160.0;;;;;;;;4.4;5.9;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;0.0;;;;;6.0;0.0;7500.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse,puis stationnaire,3031
7149;2015-01-13T04:00:00+01:00;101490.0;-210.0;8.0;200.0;6.0;282.25;279.55;83.0;32880.0;2.0;2.0;2.0;90.0;7.0;;35.0;;;100400.0;;;-1280.0;;;;;;;;9.6;12.5;-10.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;7.0;6.0;390.0;;;;;;;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,3032
7149;2015-02-02T04:00:00+01:00;100580.0;70.0;1.0;270.0;1.4;275.25;273.95;91.0;20000.0;26.0;8.0;7.0;100.0;7.0;;35.0;;;99470.0;;;1210.0;;;;;;;;2.0;8.2;-10.0;1.0;0.0;;;0.6;0.8;1.0;1.2;1.4;;;;;3.0;7.0;300.0;7.0;6.0;630.0;;;;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,3033
7149;2015-02-04T13:00:00+01:00;101540.0;120.0;1.0;50.0;8.2;276.75;269.05;57.0;30000.0;1.0;2.0;2.0;75.0;1.0;;31.0;20.0;12.0;100420.0;;;1040.0;;;;;;;;11.5;13.6;-10.0;4.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;1.0;8.0;1000.0;6.0;0.0;6500.0;;;;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,3034
7149;2015-02-09T10:00:00+01:00;103420.0;-120.0;8.0;230.0;2.4;274.95;274.35;96.0;9000.0;3.0;1.0;1.0;75.0;6.0;;35.0;20.0;10.0;102270.0;;;50.0;;;;;;;;3.6;3.9;-10.0;0.0;0.0;;;0.0;0.0;0.0;0.0;-0.1;;;;;6.0;6.0;450.0;;;;;;;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,3035
7149;2015-02-20T19:00:00+01:00;100470.0;-290.0;7.0;210.0;7.8;280.05;278.55;90.0;10000.0;61.0;6.0;6.0;100.0;7.0;;35.0;;;99380.0;;;-2080.0;278.35;;281.65;;;;;13.6;13.6;-10.0;2.0;0.0;;;1.4;3.0;4.4;6.0;6.2;;;;;7.0;6.0;410.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse;Pluie;Pluie,sans congélation,3036
7149;2015-02-21T16:00:00+01:00;100230.0;0.0;5.0;350.0;5.1;277.65;274.85;82.0;20000.0;80.0;8.0;6.0;90.0;7.0;;38.0;;;99130.0;;;-540.0;;;;;;;;7.6;9.9;-10.0;1.0;0.0;;;-0.1;-0.1;1.2;1.2;9.8;;;;;4.0;8.0;500.0;2.0;8.0;800.0;7.0;6.0;900.0;;;;48.716833,2.384333;ORLY;En baisse,puis en hausse,3037
7149;2015-02-23T22:00:00+01:00;100250.0;120.0;1.0;230.0;4.2;276.65;274.35;85.0;58650.0;1.0;1.0;1.0;25.0;2.0;;35.0;23.0;;99150.0;;;-380.0;;;;;;;;6.4;7.7;-10.0;2.0;0.0;;;0.0;-0.1;0.4;3.6;11.2;;;;;1.0;6.0;2040.0;1.0;3.0;4100.0;;;;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,3038
7149;2015-02-28T22:00:00+01:00;101130.0;-310.0;8.0;200.0;6.4;280.25;278.75;90.0;19760.0;3.0;2.0;2.0;100.0;8.0;;37.0;;;100030.0;;;-1290.0;;;;;;;;10.6;12.4;-10.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;8.0;7.0;270.0;;;;;;;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,3039
7149;2015-03-03T07:00:00+01:00;102180.0;-60.0;7.0;200.0;3.8;275.85;274.25;89.0;19810.0;3.0;2.0;2.0;100.0;0.0;;30.0;20.0;12.0;101050.0;;;1240.0;275.85;;279.55;;;;;5.0;5.0;-10.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.4;;;;;8.0;0.0;5400.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;Nuages en formation ou en train de se développer;2.700000000000045;2.700000000000045;;6.400000000000034;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;3,"",3040
7149;2015-03-08T01:00:00+01:00;102780.0;-60.0;8.0;250.0;0.5;275.85;272.75;80.0;20000.0;1.0;1.0;1.0;90.0;0.0;;30.0;20.0;11.0;101650.0;;;-660.0;;;;;;;;0.7;1.0;-10.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;7.0;0.0;8000.0;;;;;;;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,3041
7149;2015-03-08T13:00:00+01:00;102500.0;-90.0;8.0;170.0;1.2;289.75;276.05;40.0;18740.0;3.0;1.0;1.0;75.0;0.0;;30.0;20.0;11.0;101420.0;;;-560.0;;;;;;;;2.3;2.6;-10.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;6.0;0.0;8000.0;;;;;;;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,3042
7149;2015-03-09T22:00:00+01:00;102630.0;20.0;1.0;230.0;1.3;281.25;279.75;90.0;9000.0;3.0;2.0;2.0;90.0;5.0;;30.0;23.0;12.0;101520.0;;;70.0;;;;;;;;1.7;1.7;-10.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;5.0;3.0;4400.0;7.0;0.0;6500.0;;;;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,3043
7149;2015-01-21T19:00:00+01:00;100900.0;100.0;1.0;70.0;3.7;274.95;271.55;78.0;19990.0;0.0;2.0;2.0;90.0;7.0;;;;;99780.0;;;-390.0;272.65;;276.55;;;;;5.5;6.3;-10.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;7.0;;540.0;7.0;;6900.0;;;;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,3044
7149;2015-01-22T04:00:00+01:00;101200.0;80.0;3.0;360.0;1.8;271.65;269.95;88.0;10000.0;1.0;0.0;0.0;25.0;2.0;;30.0;23.0;10.0;100070.0;;;270.0;;;;;;;;2.4;5.4;-10.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;2.0;3.0;3000.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,3045
7149;2015-01-29T19:00:00+01:00;98070.0;-400.0;6.0;260.0;5.1;278.55;276.75;88.0;18000.0;21.0;6.0;2.0;90.0;7.0;;35.0;23.0;;97000.0;;;-2640.0;276.85;;279.15;;;;;8.6;8.9;-10.0;2.0;0.0;;;0.2;0.6;1.4;1.8;2.2;;;;;4.0;6.0;480.0;7.0;3.0;2100.0;;;;;;;48.716833,2.384333;ORLY;En baisse,puis stationnaire,3046
7149;2015-01-02T19:00:00+01:00;103740.0;210.0;1.0;280.0;2.1;275.75;273.95;88.0;30000.0;1.0;0.0;0.0;25.0;0.0;;30.0;20.0;11.0;102590.0;;;200.0;275.75;;281.85;;;;;2.7;3.1;-10.0;1.0;0.0;;;0.0;0.0;0.0;-0.1;0.2;;;;;2.0;0.0;8000.0;;;;;;;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,3047
7149;2015-01-03T13:00:00+01:00;102310.0;-330.0;6.0;230.0;6.4;282.95;282.05;94.0;30710.0;21.0;6.0;2.0;100.0;7.0;;37.0;;;101210.0;;;-1090.0;;;;;;;;10.5;13.5;-10.0;2.0;0.0;;;-0.1;0.4;1.8;1.8;1.8;;;;;7.0;7.0;180.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse,puis stationnaire,3048
