ID OMM station;Date;Pression au niveau mer;Variation de pression en 3 heures;Type de tendance barométrique;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Température;Point de rosée;Humidité;Visibilité horizontale;Temps présent;Temps passé 1;Temps passé 2;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Type des nuages de l'étage inférieur;Type des nuages de l'étage moyen;Type des nuages de l'étage supérieur;Pression station;Niveau barométrique;Géopotentiel;Variation de pression en 24 heures;Température minimale sur 12 heures;Température minimale sur 24 heures;Température maximale sur 12 heures;Température maximale sur 24 heures;Température minimale du sol sur 12 heures;Méthode de mesure Température du thermomètre mouillé;Température du thermomètre mouillé;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Etat du sol;Hauteur totale de la couche de neige,glace,autre au sol;Hauteur de la neige fraîche;Periode de mesure de la neige fraiche;Précipitations dans la dernière heure;Précipitations dans les 3 dernières heures;Précipitations dans les 6 dernières heures;Précipitations dans les 12 dernières heures;Précipitations dans les 24 dernières heures;Phénomène spécial 1;Phénomène spécial 2;Phénomène spécial 3;Phénomène spécial 4;Nébulosité couche nuageuse 1;Type nuage 1;Hauteur de base 1;Nébulosité couche nuageuse 2;Type nuage 2;Hauteur de base 2;Nébulosité couche nuageuse 3;Type nuage 3;Hauteur de base 3;Nébulosité couche nuageuse 4;Type nuage 4;Hauteur de base 4;Coordonnees;Nom;Type de tendance barométrique.1;Temps passé 1.1;Temps présent.1;Température (°C);Température minimale sur 12 heures (°C);Température minimale sur 24 heures (°C);Température maximale sur 12 heures (°C);Température maximale sur 24 heures (°C);Température minimale du sol sur 12 heures (en °C);Latitude;Longitude;Altitude;communes (name);communes (code);EPCI (name);EPCI (code);department (name);department (code);region (name);region (code);mois_de_l_annee,index
7149;2015-11-09T01:00:00+01:00;102360.0;90.0;2.0;240.0;3.9;289.25;286.95;86.0;36100.0;2.0;1.0;1.0;75.0;1.0;1750.0;35.0;20.0;11.0;101290.0;;;-490.0;;;;;;;;6.5;10.6;-10.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.2;;;;;1.0;6.0;1560.0;6.0;0.0;7000.0;;;;;;;48.716833,2.384333;ORLY;En hausse;Nuages couvrant plus de la moitié du ciel pendant une partie de la période considérée et couvrant la moitié du ciel,ou moins,4000
7149;2015-11-09T13:00:00+01:00;102910.0;10.0;0.0;240.0;7.5;289.85;282.05;60.0;20000.0;1.0;1.0;1.0;40.0;2.0;800.0;35.0;20.0;11.0;101830.0;;;440.0;;;;;;;;11.2;11.9;-10.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;;;;;2.0;6.0;940.0;3.0;0.0;7000.0;;;;;;;48.716833,2.384333;ORLY;En hausse,puis en baisse la pression atmosphérique est la même ou plus haute que trois heures auparavant;Nuages couvrant plus de la moitié du ciel pendant une partie de la période considérée et couvrant la moitié du ciel,4001
7149;2015-11-12T01:00:00+01:00;102630.0;40.0;1.0;250.0;1.7;286.35;285.45;94.0;15000.0;3.0;2.0;2.0;90.0;7.0;1250.0;35.0;;;101540.0;;;-150.0;;;;;;;;2.6;2.6;-10.0;0.0;0.0;0.0;;0.0;0.0;0.0;-0.1;-0.1;;;;;7.0;6.0;1430.0;;;;;;;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,4002
7149;2015-11-13T19:00:00+01:00;102960.0;240.0;3.0;280.0;5.4;284.75;279.45;70.0;58520.0;3.0;2.0;2.0;75.0;6.0;1250.0;38.0;20.0;10.0;101860.0;;;510.0;284.65;;288.55;;;;;7.9;9.0;-10.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;;;;;4.0;8.0;1000.0;6.0;6.0;1600.0;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,4003
7149;2015-11-13T22:00:00+01:00;103160.0;190.0;1.0;260.0;4.2;282.65;278.45;75.0;30000.0;1.0;2.0;2.0;75.0;1.0;2250.0;35.0;20.0;11.0;102050.0;;;740.0;;;;;;;;6.7;10.0;-10.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;;;;;1.0;6.0;2000.0;6.0;0.0;8000.0;;;;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,4004
7149;2015-11-14T07:00:00+01:00;103270.0;20.0;2.0;240.0;2.1;279.65;277.65;87.0;20000.0;1.0;2.0;2.0;90.0;0.0;;30.0;20.0;11.0;102150.0;;;720.0;279.55;;285.05;;;;;2.7;3.2;-10.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;;;;;7.0;0.0;8000.0;;;;;;;;;;48.716833,2.384333;ORLY;En hausse;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;Dans l’ensemble,nuages se dissipant ou devenant moins épais;6.5;6.400000000000034;;11.900000000000034;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;11,4005
7149;2015-10-23T08:00:00+02:00;102430.0;40.0;3.0;230.0;1.5;283.75;282.55;92.0;25000.0;1.0;2.0;2.0;90.0;7.0;1250.0;35.0;;;101330.0;;;670.0;283.65;;286.45;;;;;2.9;2.9;-10.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.2;0.8;;;;;7.0;6.0;1130.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,4006
7149;2015-10-23T20:00:00+02:00;102190.0;-30.0;8.0;130.0;2.5;285.15;280.25;72.0;30000.0;2.0;2.0;2.0;100.0;8.0;1250.0;35.0;;;101100.0;;;20.0;283.75;;287.35;;;;;3.8;4.1;-10.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.2;;;;;8.0;6.0;1130.0;;;;;;;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,4007
7149;2015-10-23T23:00:00+02:00;102130.0;-60.0;5.0;210.0;1.2;284.65;280.15;74.0;25000.0;2.0;2.0;2.0;100.0;8.0;1250.0;35.0;;;101040.0;;;-190.0;;;;;;;;2.1;2.6;-10.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;;;;;8.0;6.0;1180.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse,puis en hausse,4008
7149;2015-10-30T07:00:00+01:00;102120.0;40.0;1.0;150.0;1.0;280.65;280.25;97.0;17810.0;2.0;2.0;2.0;60.0;0.0;8000.0;30.0;20.0;12.0;101010.0;;;470.0;280.65;;284.85;;;;;1.7;2.7;-10.0;0.0;0.0;0.0;;0.0;0.2;0.2;0.2;0.2;;;;;5.0;0.0;8000.0;;;;;;;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,4009
7149;2015-12-17T19:00:00+01:00;102130.0;-10.0;6.0;190.0;2.6;287.15;283.55;79.0;18940.0;1.0;2.0;2.0;100.0;8.0;4800.0;30.0;27.0;;101050.0;;;-570.0;283.65;;289.25;;;;;4.1;4.6;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;-0.1;;;;;8.0;3.0;4800.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse,puis stationnaire,4010
7149;2015-12-19T19:00:00+01:00;101850.0;-80.0;6.0;170.0;3.0;284.95;281.25;78.0;20000.0;1.0;2.0;2.0;90.0;0.0;7050.0;30.0;20.0;12.0;100760.0;;;-550.0;281.65;;287.75;;;;;5.0;5.0;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.2;0.4;;;;;7.0;0.0;7050.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse,puis stationnaire,4011
7149;2015-10-20T11:00:00+02:00;102540.0;140.0;1.0;50.0;0.7;282.45;281.65;95.0;2840.0;10.0;2.0;2.0;90.0;7.0;1750.0;35.0;;;101440.0;;;280.0;;;;;;;;1.2;2.2;-10.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;;;;;7.0;6.0;1600.0;;;;;;;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,4012
7149;2015-11-30T19:00:00+01:00;102510.0;30.0;3.0;240.0;7.2;284.95;280.85;76.0;30000.0;1.0;2.0;2.0;90.0;5.0;1250.0;35.0;20.0;12.0;101420.0;;;310.0;282.55;;285.65;;;;;11.8;14.5;-10.0;0.0;0.0;0.0;60.0;0.0;0.0;0.0;-0.1;-0.1;;;;;5.0;6.0;1400.0;7.0;0.0;7000.0;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,4013
7149;2015-12-01T07:00:00+01:00;102840.0;70.0;3.0;250.0;4.7;284.65;280.95;78.0;30000.0;2.0;2.0;2.0;100.0;8.0;800.0;35.0;;;101740.0;;;160.0;283.95;;284.95;;;;;7.0;9.8;-10.0;0.0;0.0;0.0;60.0;0.0;0.0;0.0;0.0;-0.1;;;;;8.0;6.0;900.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,4014
