ID OMM station;Date;Pression au niveau mer;Variation de pression en 3 heures;Type de tendance barométrique;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Température;Point de rosée;Humidité;Visibilité horizontale;Temps présent;Temps passé 1;Temps passé 2;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Type des nuages de l'étage inférieur;Type des nuages de l'étage moyen;Type des nuages de l'étage supérieur;Pression station;Niveau barométrique;Géopotentiel;Variation de pression en 24 heures;Température minimale sur 12 heures;Température minimale sur 24 heures;Température maximale sur 12 heures;Température maximale sur 24 heures;Température minimale du sol sur 12 heures;Méthode de mesure Température du thermomètre mouillé;Température du thermomètre mouillé;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Etat du sol;Hauteur totale de la couche de neige,glace,autre au sol;Hauteur de la neige fraîche;Periode de mesure de la neige fraiche;Précipitations dans la dernière heure;Précipitations dans les 3 dernières heures;Précipitations dans les 6 dernières heures;Précipitations dans les 12 dernières heures;Précipitations dans les 24 dernières heures;Phénomène spécial 1;Phénomène spécial 2;Phénomène spécial 3;Phénomène spécial 4;Nébulosité couche nuageuse 1;Type nuage 1;Hauteur de base 1;Nébulosité couche nuageuse 2;Type nuage 2;Hauteur de base 2;Nébulosité couche nuageuse 3;Type nuage 3;Hauteur de base 3;Nébulosité couche nuageuse 4;Type nuage 4;Hauteur de base 4;Coordonnees;Nom;Type de tendance barométrique.1;Temps passé 1.1;Temps présent.1;Température (°C);Température minimale sur 12 heures (°C);Température minimale sur 24 heures (°C);Température maximale sur 12 heures (°C);Température maximale sur 24 heures (°C);Température minimale du sol sur 12 heures (en °C);Latitude;Longitude;Altitude;communes (name);communes (code);EPCI (name);EPCI (code);department (name);department (code);region (name);region (code);mois_de_l_annee,index
7149;2014-01-03T19:00:00+01:00;100930.0;300.0;1.0;230.0;10.3;283.25;276.75;64.0;30000.0;1.0;8.0;6.0;0.0;;;;;;99850.0;;;;283.25;;286.75;;;;;15.9;17.0;-10.0;;;0.0;-60.0;0.0;0.0;;0.0;;1016.0;710.0;1117.0;3100.0;;;;;;;;;;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,2000
7149;2014-01-15T04:00:00+01:00;101120.0;-120.0;8.0;190.0;2.1;276.75;274.75;87.0;15000.0;2.0;1.0;1.0;100.0;7.0;1250.0;35.0;61.0;60.0;100010.0;;;;;;;;;;;;5.1;-10.0;;;0.0;-30.0;0.0;0.0;;;;710.0;1105.0;3100.0;;7.0;6.0;1290.0;;;;;;;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,2001
7149;2014-01-15T19:00:00+01:00;100550.0;-80.0;6.0;200.0;5.1;281.25;280.45;95.0;14000.0;1.0;6.0;5.0;100.0;8.0;150.0;36.0;61.0;60.0;99460.0;;;;276.65;;281.25;;;;;;9.3;-10.0;;;0.0;-60.0;0.0;0.0;;1.0;;710.0;1109.0;3100.0;;8.0;7.0;150.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse,puis stationnaire,2002
7149;2014-02-21T16:00:00+01:00;101170.0;-10.0;8.0;240.0;5.7;282.95;273.85;53.0;30000.0;2.0;1.0;1.0;40.0;3.0;1250.0;32.0;20.0;10.0;100080.0;;;;;;;;;;;;11.3;-10.0;;;0.0;-30.0;0.0;0.0;;;;710.0;1111.0;3100.0;;3.0;8.0;1200.0;;;;;;;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,2003
7149;2014-02-21T19:00:00+01:00;101250.0;70.0;3.0;210.0;3.6;280.65;274.75;66.0;30000.0;2.0;1.0;1.0;10.0;1.0;1250.0;38.0;20.0;10.0;100150.0;;;;278.75;;283.85;;;;;;8.7;-10.0;;;0.0;-60.0;0.0;0.0;;0.0;;710.0;1109.0;3100.0;;1.0;8.0;1200.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,2004
7149;2014-01-01T01:00:00+01:00;101140.0;50.0;1.0;220.0;3.6;279.85;278.15;89.0;35000.0;3.0;6.0;2.0;90.0;7.0;450.0;35.0;61.0;60.0;100040.0;;;;;;;;;;;;7.7;-10.0;;;0.0;-60.0;0.0;0.0;0.6;;;710.0;1108.0;3100.0;;7.0;6.0;300.0;;;;;;;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,2005
7149;2014-02-21T07:00:00+01:00;100830.0;100.0;3.0;240.0;4.1;279.35;276.85;84.0;25000.0;80.0;8.0;6.0;75.0;6.0;450.0;38.0;20.0;10.0;99730.0;;;;279.35;;284.15;;278.15;;;;8.7;-10.0;1.0;0.0;0.0;-60.0;0.0;0.0;;0.0;3.8;710.0;1109.0;3100.0;;4.0;8.0;540.0;5.0;6.0;1200.0;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,2006
7149;2014-04-11T05:00:00+02:00;101810.0;-70.0;5.0;340.0;2.1;281.45;278.35;81.0;18000.0;2.0;1.0;1.0;0.0;;;;;;100710.0;;;;;;;;;;;;5.1;-10.0;;;0.0;-30.0;0.0;0.0;;;;710.0;1105.0;3100.0;;;;;;;;;;;;;;48.716833,2.384333;ORLY;En baisse,puis en hausse,2007
7149;2014-04-17T14:00:00+02:00;102120.0;-180.0;8.0;350.0;1.5;290.45;272.65;30.0;25000.0;2.0;1.0;1.0;40.0;0.0;8000.0;30.0;20.0;11.0;101050.0;;;;;;;;;;;;5.1;-10.0;;;0.0;-60.0;0.0;0.0;0.0;;;710.0;1105.0;3100.0;;3.0;0.0;5700.0;;;;;;;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,2008
7149;2014-04-18T08:00:00+02:00;101620.0;50.0;3.0;20.0;5.1;283.95;278.65;70.0;20000.0;2.0;1.0;1.0;90.0;7.0;800.0;35.0;61.0;60.0;100530.0;;;;283.75;;291.25;;283.15;;;;8.2;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;;0.0;0.0;710.0;1108.0;3100.0;;5.0;6.0;780.0;7.0;6.0;1500.0;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,2009
