ID OMM station;Date;Pression au niveau mer;Variation de pression en 3 heures;Type de tendance barométrique;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Température;Point de rosée;Humidité;Visibilité horizontale;Temps présent;Temps passé 1;Temps passé 2;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Type des nuages de l'étage inférieur;Type des nuages de l'étage moyen;Type des nuages de l'étage supérieur;Pression station;Niveau barométrique;Géopotentiel;Variation de pression en 24 heures;Température minimale sur 12 heures;Température minimale sur 24 heures;Température maximale sur 12 heures;Température maximale sur 24 heures;Température minimale du sol sur 12 heures;Méthode de mesure Température du thermomètre mouillé;Température du thermomètre mouillé;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Etat du sol;Hauteur totale de la couche de neige,glace,autre au sol;Hauteur de la neige fraîche;Periode de mesure de la neige fraiche;Précipitations dans la dernière heure;Précipitations dans les 3 dernières heures;Précipitations dans les 6 dernières heures;Précipitations dans les 12 dernières heures;Précipitations dans les 24 dernières heures;Phénomène spécial 1;Phénomène spécial 2;Phénomène spécial 3;Phénomène spécial 4;Nébulosité couche nuageuse 1;Type nuage 1;Hauteur de base 1;Nébulosité couche nuageuse 2;Type nuage 2;Hauteur de base 2;Nébulosité couche nuageuse 3;Type nuage 3;Hauteur de base 3;Nébulosité couche nuageuse 4;Type nuage 4;Hauteur de base 4;Coordonnees;Nom;Type de tendance barométrique.1;Temps passé 1.1;Temps présent.1;Température (°C);Température minimale sur 12 heures (°C);Température minimale sur 24 heures (°C);Température maximale sur 12 heures (°C);Température maximale sur 24 heures (°C);Température minimale du sol sur 12 heures (en °C);Latitude;Longitude;Altitude;communes (name);communes (code);EPCI (name);EPCI (code);department (name);department (code);region (name);region (code);mois_de_l_annee,index
7149;2020-03-10T19:00:00+01:00;101550.0;120.0;3.0;230.0;6.2;287.35;284.65;84.0;20000.0;3.0;2.0;2.0;100.0;8.0;450.0;35.0;;;100480.0;;;-430.0;283.15;;288.15;;;;;9.8;11.0;-10.0;1.0;0.0;0.0;-60.0;0.0;0.0;0.0;-0.1;2.6;;;;;7.0;6.0;470.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,19000
7149;2020-03-11T22:00:00+01:00;101600.0;-70.0;6.0;230.0;7.4;286.15;280.55;69.0;43990.0;1.0;0.0;0.0;10.0;1.0;1750.0;35.0;20.0;10.0;100520.0;;;-80.0;;;;;;;;12.2;13.8;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;-0.1;;;;;1.0;6.0;1700.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse,puis stationnaire,19001
7149;2020-10-02T05:00:00+02:00;98830.0;-510.0;8.0;130.0;6.7;284.15;283.35;95.0;3980.0;63.0;6.0;6.0;100.0;6.0;450.0;;;;97770.0;;;-1480.0;;;;;;;;10.8;10.8;-10.0;2.0;0.0;;;1.4;3.6;3.6;3.6;10.3;;;;;2.0;;330.0;3.0;;510.0;6.0;;1350.0;;8.0;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,19002
7149;2020-09-28T17:00:00+02:00;101360.0;40.0;1.0;300.0;4.9;287.65;282.65;72.0;20000.0;1.0;2.0;2.0;90.0;7.0;800.0;38.0;;;100290.0;;;800.0;;;;;;;;8.0;9.2;-10.0;1.0;0.0;0.0;-30.0;0.0;0.0;0.2;2.9;7.1;;;;;1.0;8.0;720.0;7.0;6.0;1500.0;;;;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,19003
7149;2020-09-24T02:00:00+02:00;100650.0;260.0;1.0;230.0;3.1;285.65;283.35;86.0;30000.0;1.0;0.0;0.0;10.0;1.0;1250.0;35.0;20.0;10.0;99580.0;;;-290.0;;;;;;;;5.1;6.3;-10.0;2.0;0.0;0.0;-60.0;0.0;0.4;1.4;6.4;6.4;;;;;1.0;6.0;1400.0;;;;;;;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,19004
7149;2020-09-28T05:00:00+02:00;100980.0;-20.0;8.0;310.0;4.5;285.45;284.85;96.0;7610.0;61.0;6.0;6.0;100.0;8.0;250.0;37.0;;;99910.0;;;380.0;;;;;;;;7.1;8.9;-10.0;2.0;0.0;0.0;-30.0;0.6;2.4;3.8;4.2;9.6;;;;;6.0;7.0;210.0;8.0;6.0;390.0;;;;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,19005
7149;2020-10-14T05:00:00+02:00;101190.0;50.0;1.0;40.0;2.9;281.15;280.85;98.0;3500.0;10.0;2.0;2.0;100.0;8.0;80.0;36.0;;;100100.0;;;-60.0;;;;;;;;5.5;5.5;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;-0.1;3.0;;;;;7.0;7.0;60.0;;;;;;;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,19006
7149;2020-09-09T02:00:00+02:00;102560.0;-40.0;8.0;330.0;1.8;290.65;288.65;88.0;25000.0;3.0;0.0;0.0;40.0;3.0;1750.0;35.0;20.0;10.0;101490.0;;;-140.0;;;;;;;;3.0;3.5;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;0.0;;;;;3.0;6.0;1550.0;;;;;;;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,19007
7149;2020-08-24T20:00:00+02:00;101690.0;-110.0;8.0;300.0;2.0;294.15;283.95;52.0;57970.0;1.0;2.0;2.0;90.0;1.0;1250.0;38.0;23.0;11.0;100640.0;;;-290.0;287.05;;295.85;;;;;3.4;5.1;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;0.0;;;;;1.0;8.0;1450.0;1.0;6.0;1600.0;2.0;3.0;6200.0;7.0;0.0;9000.0;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,19008
7149;2020-08-25T17:00:00+02:00;100650.0;-140.0;6.0;240.0;10.3;301.35;285.25;37.0;9680.0;0.0;2.0;2.0;100.0;8.0;2250.0;;;;99640.0;;;-1110.0;;;;;;;;16.2;18.2;-10.0;0.0;0.0;;;0.0;0.0;0.0;0.4;0.4;;;;;7.0;;2040.0;7.0;;2340.0;8.0;;2700.0;;;;48.716833,2.384333;ORLY;En baisse,puis stationnaire,19009
