ID OMM station;Date;Pression au niveau mer;Variation de pression en 3 heures;Type de tendance barométrique;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Température;Point de rosée;Humidité;Visibilité horizontale;Temps présent;Temps passé 1;Temps passé 2;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Type des nuages de l'étage inférieur;Type des nuages de l'étage moyen;Type des nuages de l'étage supérieur;Pression station;Niveau barométrique;Géopotentiel;Variation de pression en 24 heures;Température minimale sur 12 heures;Température minimale sur 24 heures;Température maximale sur 12 heures;Température maximale sur 24 heures;Température minimale du sol sur 12 heures;Méthode de mesure Température du thermomètre mouillé;Température du thermomètre mouillé;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Etat du sol;Hauteur totale de la couche de neige,glace,autre au sol;Hauteur de la neige fraîche;Periode de mesure de la neige fraiche;Précipitations dans la dernière heure;Précipitations dans les 3 dernières heures;Précipitations dans les 6 dernières heures;Précipitations dans les 12 dernières heures;Précipitations dans les 24 dernières heures;Phénomène spécial 1;Phénomène spécial 2;Phénomène spécial 3;Phénomène spécial 4;Nébulosité couche nuageuse 1;Type nuage 1;Hauteur de base 1;Nébulosité couche nuageuse 2;Type nuage 2;Hauteur de base 2;Nébulosité couche nuageuse 3;Type nuage 3;Hauteur de base 3;Nébulosité couche nuageuse 4;Type nuage 4;Hauteur de base 4;Coordonnees;Nom;Type de tendance barométrique.1;Temps passé 1.1;Temps présent.1;Température (°C);Température minimale sur 12 heures (°C);Température minimale sur 24 heures (°C);Température maximale sur 12 heures (°C);Température maximale sur 24 heures (°C);Température minimale du sol sur 12 heures (en °C);Latitude;Longitude;Altitude;communes (name);communes (code);EPCI (name);EPCI (code);department (name);department (code);region (name);region (code);mois_de_l_annee,index
7149;2018-12-24T19:00:00+01:00;103440.0;120.0;2.0;60.0;1.9;280.15;278.15;87.0;25000.0;1.0;2.0;2.0;60.0;5.0;800.0;35.0;20.0;10.0;102320.0;;;1270.0;279.95;;282.15;;;;;2.5;3.8;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;-0.1;4.4;;;;;5.0;6.0;840.0;;;;;;;;;;48.716833,2.384333;ORLY;En hausse;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;Dans l’ensemble,nuages se dissipant ou devenant moins épais;7.0;6.800000000000011;;9.0;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;12,13000
7149;2018-12-25T22:00:00+01:00;103530.0;10.0;2.0;70.0;0.7;273.15;272.05;92.0;8340.0;2.0;0.0;0.0;25.0;0.0;8000.0;30.0;20.0;11.0;102380.0;;;-90.0;;;;;;;;1.1;1.8;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;0.0;;;;;2.0;0.0;8000.0;;;;;;;;;;48.716833,2.384333;ORLY;En hausse;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;État du ciel inchangé dans l’ensemble;0.0;;;;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;12,"",13001
7149;2018-12-26T07:00:00+01:00;103320.0;-60.0;6.0;80.0;1.1;271.45;270.85;96.0;5070.0;2.0;0.0;0.0;0.0;0.0;;30.0;20.0;10.0;102160.0;;;-340.0;270.75;;274.85;;;;;1.5;1.5;-10.0;4.0;0.0;0.0;-60.0;;;;;;;;;;;;;;;;;;;;;;48.716833,2.384333;ORLY;En baisse,puis stationnaire,13002
7149;2018-12-28T19:00:00+01:00;103500.0;250.0;1.0;10.0;1.4;273.75;272.15;89.0;2630.0;10.0;2.0;2.0;100.0;8.0;250.0;36.0;;;102350.0;;;780.0;272.45;;274.75;;;;;3.6;4.8;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;0.0;;;;;4.0;7.0;200.0;8.0;7.0;260.0;;;;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,13003
7149;2018-12-29T16:00:00+01:00;103590.0;-90.0;5.0;200.0;2.7;278.45;276.15;85.0;6000.0;2.0;2.0;2.0;100.0;8.0;;35.0;;;102460.0;;;360.0;;;;;;;;4.0;4.0;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;0.0;;;;;8.0;6.0;780.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse,puis en hausse,13004
7149;2018-10-01T14:00:00+02:00;102510.0;80.0;1.0;350.0;6.1;287.65;276.75;48.0;19910.0;2.0;2.0;2.0;75.0;5.0;1250.0;38.0;20.0;12.0;101430.0;;;630.0;;;;;;;;10.3;10.3;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;;;;;;;;5.0;8.0;1320.0;2.0;6.0;1620.0;3.0;0.0;7500.0;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,13005
7149;2018-10-03T17:00:00+02:00;102810.0;-60.0;7.0;300.0;4.6;291.85;283.45;58.0;34020.0;0.0;2.0;2.0;90.0;7.0;800.0;;;;101740.0;;;420.0;;;;;;;;6.5;7.3;-10.0;0.0;0.0;;;0.0;0.0;0.0;0.4;0.4;;;;;2.0;;990.0;7.0;;1260.0;;;;;;;48.716833,2.384333;ORLY;En baisse;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;18.700000000000045;;;;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;10,"",13006
7149;2018-10-04T11:00:00+02:00;102760.0;-10.0;8.0;80.0;2.3;289.55;281.75;60.0;20000.0;2.0;0.0;0.0;0.0;0.0;;30.0;20.0;10.0;101680.0;;;-60.0;;;;;;;;4.3;4.3;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,13007
7149;2018-09-03T08:00:00+02:00;101880.0;40.0;2.0;350.0;2.2;289.15;284.75;75.0;25000.0;3.0;1.0;1.0;75.0;6.0;2250.0;35.0;20.0;10.0;100810.0;;;-510.0;286.15;;294.35;;;;;3.8;5.3;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;0.0;;;;;6.0;6.0;2450.0;;;;;;;;;;48.716833,2.384333;ORLY;En hausse;Nuages couvrant plus de la moitié du ciel pendant une partie de la période considérée et couvrant la moitié du ciel,ou moins,13008
7149;2018-09-03T14:00:00+02:00;101740.0;-110.0;8.0;20.0;5.9;296.85;283.85;44.0;14790.0;0.0;1.0;1.0;;1.0;1250.0;;;;100700.0;;;-480.0;;;;;;;;11.4;11.4;-10.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;1.0;;1410.0;5.0;;3420.0;;;;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,13009
