ID OMM station;Date;Pression au niveau mer;Variation de pression en 3 heures;Type de tendance barométrique;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Température;Point de rosée;Humidité;Visibilité horizontale;Temps présent;Temps passé 1;Temps passé 2;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Type des nuages de l'étage inférieur;Type des nuages de l'étage moyen;Type des nuages de l'étage supérieur;Pression station;Niveau barométrique;Géopotentiel;Variation de pression en 24 heures;Température minimale sur 12 heures;Température minimale sur 24 heures;Température maximale sur 12 heures;Température maximale sur 24 heures;Température minimale du sol sur 12 heures;Méthode de mesure Température du thermomètre mouillé;Température du thermomètre mouillé;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Etat du sol;Hauteur totale de la couche de neige,glace,autre au sol;Hauteur de la neige fraîche;Periode de mesure de la neige fraiche;Précipitations dans la dernière heure;Précipitations dans les 3 dernières heures;Précipitations dans les 6 dernières heures;Précipitations dans les 12 dernières heures;Précipitations dans les 24 dernières heures;Phénomène spécial 1;Phénomène spécial 2;Phénomène spécial 3;Phénomène spécial 4;Nébulosité couche nuageuse 1;Type nuage 1;Hauteur de base 1;Nébulosité couche nuageuse 2;Type nuage 2;Hauteur de base 2;Nébulosité couche nuageuse 3;Type nuage 3;Hauteur de base 3;Nébulosité couche nuageuse 4;Type nuage 4;Hauteur de base 4;Coordonnees;Nom;Type de tendance barométrique.1;Temps passé 1.1;Temps présent.1;Température (°C);Température minimale sur 12 heures (°C);Température minimale sur 24 heures (°C);Température maximale sur 12 heures (°C);Température maximale sur 24 heures (°C);Température minimale du sol sur 12 heures (en °C);Latitude;Longitude;Altitude;communes (name);communes (code);EPCI (name);EPCI (code);department (name);department (code);region (name);region (code);mois_de_l_annee,index
7149;2018-05-28T05:00:00+02:00;101630.0;0.0;0.0;150.0;1.1;291.35;288.25;82.0;40000.0;1.0;2.0;2.0;75.0;6.0;4200.0;30.0;23.0;10.0;100570.0;;;90.0;;;;;;;;2.0;2.7;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;48.716833,2.384333;ORLY;En hausse,puis en baisse la pression atmosphérique est la même ou plus haute que trois heures auparavant;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;Dans l’ensemble,12000
7149;2018-05-31T20:00:00+02:00;101480.0;30.0;3.0;240.0;4.0;295.75;288.85;65.0;13750.0;1.0;2.0;2.0;90.0;1.0;1250.0;31.0;23.0;12.0;100440.0;;;210.0;289.45;;298.25;;;;;7.0;7.6;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;0.2;;;;;1.0;3.0;;7.0;0.0;;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,12001
7149;2018-05-27T14:00:00+02:00;101580.0;-60.0;8.0;120.0;1.7;298.95;290.05;58.0;19500.0;3.0;1.0;1.0;60.0;1.0;1250.0;31.0;20.0;11.0;100550.0;;;70.0;;;;;;;;4.0;4.5;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;0.0;;;;;5.0;0.0;;;;;;;;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,12002
7149;2018-05-22T08:00:00+02:00;101290.0;90.0;3.0;330.0;1.8;288.15;287.05;93.0;12000.0;2.0;0.0;0.0;40.0;0.0;7400.0;30.0;20.0;11.0;100220.0;;;-150.0;283.45;;295.35;;;;;4.7;4.7;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;-0.1;-0.1;;;;;;;;;;;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,12003
7149;2018-05-23T02:00:00+02:00;101630.0;20.0;1.0;310.0;2.3;286.45;285.65;95.0;6480.0;2.0;0.0;0.0;40.0;3.0;3300.0;30.0;23.0;10.0;100550.0;;;410.0;;;;;;;;2.8;4.1;-10.0;2.0;0.0;0.0;-60.0;0.0;0.0;0.4;2.2;2.2;;;;;;;;;;;;;;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,12004
7149;2018-04-22T11:00:00+02:00;101330.0;90.0;1.0;200.0;2.3;293.05;287.85;72.0;18870.0;2.0;2.0;2.0;90.0;1.0;2700.0;30.0;28.0;11.0;100280.0;;;-780.0;;;;;;;;3.7;5.8;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;1.4;1.4;;;;;;7.0;0.0;;;;;;;;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,12005
7149;2018-04-22T17:00:00+02:00;101180.0;-60.0;8.0;220.0;6.0;299.05;284.75;41.0;16820.0;2.0;2.0;2.0;75.0;1.0;1750.0;31.0;20.0;12.0;100150.0;;;-540.0;;;;;;;;9.8;12.7;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;1.4;1.4;;;;;5.0;0.0;;;;;;;;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,12006
7149;2018-01-13T07:00:00+01:00;102250.0;-90.0;8.0;120.0;0.5;276.95;276.65;98.0;2890.0;10.0;4.0;2.0;100.0;8.0;250.0;36.0;;;101130.0;;;-310.0;274.75;;279.75;;;;;1.2;2.1;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;0.0;;;;;8.0;7.0;210.0;;;;;;;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,12007
7149;2018-01-14T10:00:00+01:00;101770.0;130.0;3.0;70.0;1.4;275.55;274.35;92.0;4570.0;10.0;2.0;2.0;90.0;7.0;4860.0;;;;100650.0;;;-420.0;;;;;;;;1.7;3.8;-10.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;5.0;;4860.0;7.0;;6720.0;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,12008
7149;2018-01-02T10:00:00+01:00;101780.0;130.0;0.0;220.0;3.3;278.65;276.15;84.0;14830.0;2.0;2.0;2.0;90.0;7.0;3800.0;30.0;23.0;;100670.0;;;1090.0;;;;;;;;5.5;5.5;-10.0;2.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.6;10.7;;;;;7.0;3.0;3800.0;;;;;;;;;;48.716833,2.384333;ORLY;En hausse,puis en baisse la pression atmosphérique est la même ou plus haute que trois heures auparavant;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;État du ciel inchangé dans l’ensemble;5.5;;;;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;1,12009
