ID OMM station;Date;Pression au niveau mer;Variation de pression en 3 heures;Type de tendance barométrique;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Température;Point de rosée;Humidité;Visibilité horizontale;Temps présent;Temps passé 1;Temps passé 2;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Type des nuages de l'étage inférieur;Type des nuages de l'étage moyen;Type des nuages de l'étage supérieur;Pression station;Niveau barométrique;Géopotentiel;Variation de pression en 24 heures;Température minimale sur 12 heures;Température minimale sur 24 heures;Température maximale sur 12 heures;Température maximale sur 24 heures;Température minimale du sol sur 12 heures;Méthode de mesure Température du thermomètre mouillé;Température du thermomètre mouillé;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Etat du sol;Hauteur totale de la couche de neige,glace,autre au sol;Hauteur de la neige fraîche;Periode de mesure de la neige fraiche;Précipitations dans la dernière heure;Précipitations dans les 3 dernières heures;Précipitations dans les 6 dernières heures;Précipitations dans les 12 dernières heures;Précipitations dans les 24 dernières heures;Phénomène spécial 1;Phénomène spécial 2;Phénomène spécial 3;Phénomène spécial 4;Nébulosité couche nuageuse 1;Type nuage 1;Hauteur de base 1;Nébulosité couche nuageuse 2;Type nuage 2;Hauteur de base 2;Nébulosité couche nuageuse 3;Type nuage 3;Hauteur de base 3;Nébulosité couche nuageuse 4;Type nuage 4;Hauteur de base 4;Coordonnees;Nom;Type de tendance barométrique.1;Temps passé 1.1;Temps présent.1;Température (°C);Température minimale sur 12 heures (°C);Température minimale sur 24 heures (°C);Température maximale sur 12 heures (°C);Température maximale sur 24 heures (°C);Température minimale du sol sur 12 heures (en °C);Latitude;Longitude;Altitude;communes (name);communes (code);EPCI (name);EPCI (code);department (name);department (code);region (name);region (code);mois_de_l_annee,index
7149;2021-05-21T02:00:00+02:00;101200.0;-180.0;8.0;220.0;5.7;285.45;279.25;66.0;30000.0;1.0;0.0;0.0;50.0;1.0;1250.0;35.0;20.0;11.0;100120.0;;;-1160.0;;;;;;;;9.7;10.9;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;0.0;;;;;1.0;6.0;1200.0;4.0;0.0;7500.0;;;;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,22000
7149;2021-05-31T20:00:00+02:00;101610.0;-150.0;6.0;90.0;5.7;295.65;279.45;35.0;25000.0;2.0;0.0;0.0;0.0;0.0;;30.0;20.0;10.0;100560.0;;;-480.0;289.55;;296.85;;;;;9.1;9.1;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;48.716833,2.384333;ORLY;En baisse,puis stationnaire,22001
7149;2021-10-26T14:00:00+02:00;102460.0;-20.0;8.0;230.0;4.2;287.55;283.35;76.0;36710.0;1.0;2.0;2.0;90.0;5.0;450.0;38.0;;;101380.0;;;430.0;;;;;;;;6.2;8.2;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.2;0.2;0.4;;;;;5.0;8.0;550.0;4.0;6.0;1800.0;;;;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,22002
7149;2021-05-14T20:00:00+02:00;101000.0;80.0;1.0;280.0;4.3;287.25;281.25;67.0;25000.0;1.0;2.0;2.0;60.0;5.0;800.0;38.0;20.0;10.0;99930.0;;;290.0;282.55;;287.95;;;;;6.6;8.2;-10.0;1.0;0.0;0.0;-60.0;0.0;0.8;1.8;3.8;3.8;;;;;1.0;8.0;700.0;2.0;8.0;800.0;4.0;6.0;2200.0;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,22003
7149;2021-10-26T17:00:00+02:00;102450.0;-10.0;5.0;230.0;4.8;288.15;283.95;76.0;27920.0;0.0;2.0;2.0;100.0;2.0;800.0;;;;101370.0;;;510.0;;;;;;;;6.8;7.2;-10.0;0.0;0.0;;;0.0;0.0;0.0;0.2;0.4;;;;;2.0;;630.0;3.0;;1740.0;8.0;;2520.0;;;;48.716833,2.384333;ORLY;En baisse,puis en hausse,22004
7149;2021-11-26T13:00:00+01:00;100070.0;-450.0;8.0;230.0;6.6;279.35;274.85;73.0;18000.0;2.0;2.0;2.0;90.0;5.0;800.0;35.0;27.0;;98980.0;;;-1340.0;;;;;;;;11.2;12.8;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;-0.1;;;;;1.0;6.0;690.0;5.0;6.0;1500.0;7.0;3.0;3400.0;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,22005
7149;2021-11-29T22:00:00+01:00;102080.0;190.0;2.0;240.0;2.8;274.45;272.65;88.0;20000.0;1.0;0.0;0.0;25.0;0.0;6000.0;30.0;20.0;11.0;100950.0;;;1420.0;;;;;;;;3.5;3.5;-10.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;2.0;0.0;6000.0;;;;;;;;;;48.716833,2.384333;ORLY;En hausse;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;Dans l’ensemble,nuages se dissipant ou devenant moins épais;1.3000000000000114;;;;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;11,22006
7149;2021-12-02T10:00:00+01:00;100940.0;200.0;3.0;320.0;3.1;276.95;273.95;81.0;28110.0;1.0;2.0;2.0;90.0;1.0;800.0;35.0;23.0;;99830.0;;;820.0;;;;;;;;5.3;7.6;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;-0.1;-0.1;0.2;;;;;1.0;6.0;600.0;7.0;3.0;3800.0;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,22007
7149;2021-12-06T19:00:00+01:00;101090.0;-80.0;8.0;230.0;7.3;279.25;277.25;87.0;9010.0;63.0;6.0;2.0;90.0;7.0;450.0;35.0;;;99990.0;;;310.0;277.85;;280.45;;;;;12.8;12.8;-10.0;1.0;0.0;0.0;-60.0;0.2;0.8;0.8;0.8;2.0;;;;;5.0;6.0;480.0;5.0;6.0;800.0;5.0;6.0;1000.0;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,22008
7149;2021-08-30T11:00:00+02:00;102100.0;80.0;3.0;30.0;6.1;291.45;286.75;74.0;25000.0;1.0;2.0;2.0;90.0;7.0;800.0;35.0;;;101040.0;;;-150.0;;;;;;;;9.3;10.0;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.2;0.2;0.2;;;;;5.0;6.0;620.0;7.0;6.0;1400.0;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,22009
