ID OMM station;Date;Pression au niveau mer;Variation de pression en 3 heures;Type de tendance barométrique;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Température;Point de rosée;Humidité;Visibilité horizontale;Temps présent;Temps passé 1;Temps passé 2;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Type des nuages de l'étage inférieur;Type des nuages de l'étage moyen;Type des nuages de l'étage supérieur;Pression station;Niveau barométrique;Géopotentiel;Variation de pression en 24 heures;Température minimale sur 12 heures;Température minimale sur 24 heures;Température maximale sur 12 heures;Température maximale sur 24 heures;Température minimale du sol sur 12 heures;Méthode de mesure Température du thermomètre mouillé;Température du thermomètre mouillé;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Etat du sol;Hauteur totale de la couche de neige,glace,autre au sol;Hauteur de la neige fraîche;Periode de mesure de la neige fraiche;Précipitations dans la dernière heure;Précipitations dans les 3 dernières heures;Précipitations dans les 6 dernières heures;Précipitations dans les 12 dernières heures;Précipitations dans les 24 dernières heures;Phénomène spécial 1;Phénomène spécial 2;Phénomène spécial 3;Phénomène spécial 4;Nébulosité couche nuageuse 1;Type nuage 1;Hauteur de base 1;Nébulosité couche nuageuse 2;Type nuage 2;Hauteur de base 2;Nébulosité couche nuageuse 3;Type nuage 3;Hauteur de base 3;Nébulosité couche nuageuse 4;Type nuage 4;Hauteur de base 4;Coordonnees;Nom;Type de tendance barométrique.1;Temps passé 1.1;Temps présent.1;Température (°C);Température minimale sur 12 heures (°C);Température minimale sur 24 heures (°C);Température maximale sur 12 heures (°C);Température maximale sur 24 heures (°C);Température minimale du sol sur 12 heures (en °C);Latitude;Longitude;Altitude;communes (name);communes (code);EPCI (name);EPCI (code);department (name);department (code);region (name);region (code);mois_de_l_annee,index
7149;2022-02-24T16:00:00+01:00;101670.0;150.0;3.0;290.0;6.8;280.15;277.25;82.0;25000.0;61.0;6.0;2.0;90.0;7.0;800.0;39.0;;;100570.0;;;-730.0;;;;;;;;10.1;14.7;-10.0;2.0;0.0;0.0;-30.0;0.2;1.8;1.8;2.0;2.2;;;;;5.0;8.0;720.0;7.0;6.0;1680.0;1.0;9.0;1000.0;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,25000
7149;2022-02-25T07:00:00+01:00;102680.0;130.0;3.0;240.0;3.4;274.85;273.05;88.0;28820.0;2.0;0.0;0.0;0.0;0.0;;30.0;20.0;10.0;101540.0;;;980.0;274.55;;279.45;;;;;4.9;5.9;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;2.0;;;;;;;;;;;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,25001
7149;2022-02-27T04:00:00+01:00;102710.0;-60.0;8.0;110.0;2.9;274.55;270.75;76.0;27260.0;2.0;0.0;0.0;0.0;0.0;;30.0;20.0;10.0;101570.0;;;-680.0;;;;;;;;4.7;6.2;-10.0;0.0;;0.0;-30.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,25002
7149;2022-03-01T16:00:00+01:00;102540.0;-140.0;6.0;120.0;1.3;285.75;273.45;43.0;21420.0;3.0;2.0;2.0;90.0;3.0;2250.0;35.0;27.0;;101450.0;;;-220.0;;;;;;;;2.2;3.7;-10.0;0.0;;0.0;-30.0;0.0;0.0;0.0;0.0;0.0;;;;;3.0;6.0;2100.0;7.0;3.0;2450.0;;;;;;;48.716833,2.384333;ORLY;En baisse,puis stationnaire,25003
7149;2022-03-02T01:00:00+01:00;102400.0;-80.0;8.0;90.0;1.9;279.95;274.05;66.0;25000.0;3.0;2.0;2.0;90.0;7.0;3150.0;30.0;27.0;;101290.0;;;-380.0;;;;;;;;3.1;3.5;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;-0.1;-0.1;-0.1;;;;;7.0;3.0;3150.0;;;;;;;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,25004
7149;2022-01-14T04:00:00+01:00;103800.0;-80.0;8.0;70.0;0.9;273.55;273.45;99.0;8000.0;2.0;0.0;0.0;0.0;0.0;;30.0;20.0;10.0;102640.0;;;-380.0;;;;;;;;1.2;1.8;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,25005
7149;2022-01-19T07:00:00+01:00;102900.0;-70.0;6.0;240.0;2.9;276.65;275.15;90.0;15000.0;1.0;2.0;2.0;90.0;7.0;1250.0;35.0;;;101770.0;;;-900.0;276.35;;279.95;;;;;4.5;4.5;-10.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;7.0;6.0;1020.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse,puis stationnaire,25006
7149;2022-01-19T16:00:00+01:00;102740.0;-150.0;8.0;230.0;3.5;278.75;277.55;92.0;12000.0;20.0;5.0;2.0;90.0;7.0;250.0;35.0;;;101620.0;;;-660.0;;;;;;;;5.8;7.1;-10.0;0.0;0.0;0.0;-30.0;-0.1;-0.1;-0.1;-0.1;-0.1;;;;;1.0;7.0;280.0;6.0;6.0;730.0;7.0;6.0;1290.0;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,25007
7149;2022-01-24T01:00:00+01:00;103320.0;-30.0;6.0;60.0;3.3;275.05;273.25;88.0;8000.0;2.0;0.0;0.0;0.0;0.0;;30.0;20.0;10.0;102180.0;;;-390.0;;;;;;;;4.0;4.4;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;48.716833,2.384333;ORLY;En baisse,puis stationnaire,25008
7149;2022-03-15T07:00:00+01:00;102290.0;-80.0;6.0;50.0;1.1;281.95;281.35;96.0;7000.0;61.0;6.0;6.0;100.0;7.0;450.0;35.0;;;101190.0;;;-180.0;281.55;;285.15;;;;;1.6;1.7;-10.0;2.0;0.0;0.0;-60.0;0.6;0.8;1.0;1.0;1.0;;;;;7.0;6.0;330.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse,puis stationnaire,25009
