ID OMM station;Date;Pression au niveau mer;Variation de pression en 3 heures;Type de tendance barométrique;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Température;Point de rosée;Humidité;Visibilité horizontale;Temps présent;Temps passé 1;Temps passé 2;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Type des nuages de l'étage inférieur;Type des nuages de l'étage moyen;Type des nuages de l'étage supérieur;Pression station;Niveau barométrique;Géopotentiel;Variation de pression en 24 heures;Température minimale sur 12 heures;Température minimale sur 24 heures;Température maximale sur 12 heures;Température maximale sur 24 heures;Température minimale du sol sur 12 heures;Méthode de mesure Température du thermomètre mouillé;Température du thermomètre mouillé;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Etat du sol;Hauteur totale de la couche de neige,glace,autre au sol;Hauteur de la neige fraîche;Periode de mesure de la neige fraiche;Précipitations dans la dernière heure;Précipitations dans les 3 dernières heures;Précipitations dans les 6 dernières heures;Précipitations dans les 12 dernières heures;Précipitations dans les 24 dernières heures;Phénomène spécial 1;Phénomène spécial 2;Phénomène spécial 3;Phénomène spécial 4;Nébulosité couche nuageuse 1;Type nuage 1;Hauteur de base 1;Nébulosité couche nuageuse 2;Type nuage 2;Hauteur de base 2;Nébulosité couche nuageuse 3;Type nuage 3;Hauteur de base 3;Nébulosité couche nuageuse 4;Type nuage 4;Hauteur de base 4;Coordonnees;Nom;Type de tendance barométrique.1;Temps passé 1.1;Temps présent.1;Température (°C);Température minimale sur 12 heures (°C);Température minimale sur 24 heures (°C);Température maximale sur 12 heures (°C);Température maximale sur 24 heures (°C);Température minimale du sol sur 12 heures (en °C);Latitude;Longitude;Altitude;communes (name);communes (code);EPCI (name);EPCI (code);department (name);department (code);region (name);region (code);mois_de_l_annee,index
7149;2017-05-16T14:00:00+02:00;102600.0;-140.0;8.0;170.0;2.4;299.05;284.75;41.0;46640.0;0.0;2.0;2.0;;3.0;4740.0;;;;101560.0;;;-270.0;;;;;;;;3.9;5.2;-10.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;3.0;;4740.0;;;;;;;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,10000
7149;2017-05-16T23:00:00+02:00;102430.0;20.0;1.0;140.0;1.7;293.85;285.55;59.0;35000.0;2.0;0.0;0.0;50.0;2.0;4000.0;30.0;23.0;11.0;101370.0;;;-390.0;;;;;;;;2.8;2.8;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;0.0;;;;;2.0;3.0;4000.0;3.0;0.0;6800.0;;;;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,10001
7149;2017-05-26T02:00:00+02:00;101880.0;-10.0;4.0;70.0;3.2;291.95;283.75;59.0;30000.0;2.0;0.0;0.0;0.0;0.0;;30.0;20.0;10.0;100820.0;;;-480.0;;;;;;;;5.3;6.2;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;48.716833,2.384333;ORLY;Stationnaire,la pression atmosphérique est la même que trois heures auparavant;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;État du ciel inchangé dans l’ensemble;18.80000000000001;;;;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;5,10002
7149;2017-05-29T02:00:00+02:00;101300.0;-50.0;8.0;170.0;1.0;296.15;288.45;62.0;25000.0;3.0;2.0;2.0;90.0;1.0;4000.0;30.0;21.0;11.0;100260.0;;;-450.0;;;;;;;;1.4;3.0;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;2.6;;;;;1.0;3.0;4000.0;7.0;0.0;7000.0;;;;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,10003
7149;2017-05-31T02:00:00+02:00;102210.0;60.0;1.0;330.0;2.6;288.95;283.05;68.0;30000.0;2.0;0.0;0.0;40.0;0.0;8000.0;30.0;20.0;11.0;101130.0;;;680.0;;;;;;;;3.9;5.0;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;0.0;;;;;3.0;0.0;8000.0;;;;;;;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,10004
7149;2017-06-01T17:00:00+02:00;101840.0;-150.0;7.0;230.0;1.0;300.25;285.05;39.0;15400.0;3.0;0.0;0.0;40.0;3.0;1750.0;31.0;20.0;10.0;100810.0;;;-250.0;;;;;;;;2.9;4.2;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;0.0;;;;;2.0;8.0;1800.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;Nuages en formation ou en train de se développer;27.100000000000023;;;;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;6,"",10005
7149;2017-06-13T05:00:00+02:00;102060.0;-70.0;6.0;70.0;1.0;284.85;281.35;79.0;30000.0;2.0;0.0;0.0;0.0;0.0;;30.0;20.0;10.0;100970.0;;;100.0;;;;;;;;1.4;2.1;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;48.716833,2.384333;ORLY;En baisse,puis stationnaire,10006
7149;2017-06-15T14:00:00+02:00;101550.0;20.0;0.0;310.0;4.4;301.95;289.55;47.0;25000.0;1.0;1.0;1.0;50.0;1.0;1250.0;31.0;20.0;11.0;100530.0;;;-20.0;;;;;;;;7.0;9.1;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;0.0;;;;;1.0;8.0;1400.0;3.0;0.0;8000.0;;;;;;;48.716833,2.384333;ORLY;En hausse,puis en baisse la pression atmosphérique est la même ou plus haute que trois heures auparavant;Nuages couvrant plus de la moitié du ciel pendant une partie de la période considérée et couvrant la moitié du ciel,10007
7149;2017-06-23T08:00:00+02:00;101960.0;130.0;3.0;280.0;4.2;290.05;284.95;72.0;25000.0;3.0;2.0;2.0;90.0;7.0;450.0;35.0;;;100890.0;;;650.0;289.45;;301.25;;;;;6.1;6.7;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;0.0;;;;;7.0;6.0;540.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,10008
7149;2017-07-19T05:00:00+02:00;100790.0;-50.0;7.0;190.0;2.0;296.75;288.55;60.0;20000.0;2.0;0.0;0.0;25.0;0.0;8000.0;30.0;20.0;12.0;99760.0;;;-840.0;;;;;;;;3.5;4.5;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;0.0;;;;;2.0;0.0;8000.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;État du ciel inchangé dans l’ensemble;23.600000000000023;;;;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;7,"",10009
