ID OMM station;Date;Pression au niveau mer;Variation de pression en 3 heures;Type de tendance barométrique;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Température;Point de rosée;Humidité;Visibilité horizontale;Temps présent;Temps passé 1;Temps passé 2;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Type des nuages de l'étage inférieur;Type des nuages de l'étage moyen;Type des nuages de l'étage supérieur;Pression station;Niveau barométrique;Géopotentiel;Variation de pression en 24 heures;Température minimale sur 12 heures;Température minimale sur 24 heures;Température maximale sur 12 heures;Température maximale sur 24 heures;Température minimale du sol sur 12 heures;Méthode de mesure Température du thermomètre mouillé;Température du thermomètre mouillé;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Etat du sol;Hauteur totale de la couche de neige,glace,autre au sol;Hauteur de la neige fraîche;Periode de mesure de la neige fraiche;Précipitations dans la dernière heure;Précipitations dans les 3 dernières heures;Précipitations dans les 6 dernières heures;Précipitations dans les 12 dernières heures;Précipitations dans les 24 dernières heures;Phénomène spécial 1;Phénomène spécial 2;Phénomène spécial 3;Phénomène spécial 4;Nébulosité couche nuageuse 1;Type nuage 1;Hauteur de base 1;Nébulosité couche nuageuse 2;Type nuage 2;Hauteur de base 2;Nébulosité couche nuageuse 3;Type nuage 3;Hauteur de base 3;Nébulosité couche nuageuse 4;Type nuage 4;Hauteur de base 4;Coordonnees;Nom;Type de tendance barométrique.1;Temps passé 1.1;Temps présent.1;Température (°C);Température minimale sur 12 heures (°C);Température minimale sur 24 heures (°C);Température maximale sur 12 heures (°C);Température maximale sur 24 heures (°C);Température minimale du sol sur 12 heures (en °C);Latitude;Longitude;Altitude;communes (name);communes (code);EPCI (name);EPCI (code);department (name);department (code);region (name);region (code);mois_de_l_annee,index
7149;2020-02-06T01:00:00+01:00;103550.0;-120.0;6.0;40.0;1.5;274.75;273.25;90.0;11600.0;1.0;2.0;2.0;90.0;0.0;7500.0;30.0;20.0;11.0;102400.0;;;250.0;;;;;;;;2.0;2.3;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;0.0;;;;;7.0;0.0;7500.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse,puis stationnaire,20000
7149;2020-02-03T22:00:00+01:00;101050.0;-250.0;5.0;310.0;12.4;283.65;281.05;84.0;1040.0;65.0;6.0;2.0;100.0;7.0;450.0;39.0;;;99970.0;;;-590.0;;;;;;;;20.2;20.7;-10.0;2.0;0.0;0.0;-30.0;2.4;2.4;2.4;2.4;11.3;;;;;3.0;8.0;300.0;7.0;6.0;600.0;5.0;9.0;900.0;;;;48.716833,2.384333;ORLY;En baisse,puis en hausse,20001
7149;2020-02-05T16:00:00+01:00;103640.0;-120.0;6.0;100.0;2.2;282.75;276.25;64.0;25000.0;1.0;2.0;2.0;75.0;4.0;800.0;38.0;20.0;11.0;102520.0;;;1110.0;;;;;;;;3.4;3.7;-10.0;1.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;-0.1;;;;;1.0;8.0;990.0;3.0;6.0;1190.0;5.0;0.0;7500.0;;;;48.716833,2.384333;ORLY;En baisse,puis stationnaire,20002
7149;2020-02-25T22:00:00+01:00;100300.0;-50.0;6.0;250.0;6.4;277.75;274.95;82.0;35660.0;0.0;2.0;2.0;75.0;5.0;800.0;;;;99200.0;;;-1090.0;;;;;;;;9.3;13.7;-10.0;1.0;;;;0.0;1.0;1.4;1.6;6.4;;;;;2.0;;690.0;5.0;;840.0;6.0;;5100.0;;;;48.716833,2.384333;ORLY;En baisse,puis stationnaire,20003
7149;2020-02-26T19:00:00+01:00;101210.0;180.0;3.0;270.0;5.4;279.35;273.65;67.0;20000.0;3.0;1.0;1.0;60.0;5.0;1250.0;35.0;20.0;10.0;100110.0;;;860.0;275.45;;280.25;;;;;11.0;11.0;-10.0;1.0;0.0;0.0;-60.0;0.0;-0.1;4.2;4.4;5.6;;;;;5.0;8.0;1350.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,20004
7149;2020-05-22T08:00:00+02:00;101850.0;20.0;3.0;190.0;2.8;291.15;287.45;79.0;30370.0;0.0;;;90.0;7.0;4560.0;;;;100790.0;;;-230.0;290.25;;300.65;;;;;4.0;4.7;-10.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;7.0;;4560.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,20005
7149;2020-02-09T16:00:00+01:00;100870.0;-300.0;6.0;210.0;12.2;284.85;281.15;78.0;25000.0;3.0;2.0;2.0;100.0;7.0;450.0;35.0;;;99790.0;;;-1250.0;;;;;;;;23.7;28.0;-10.0;0.0;0.0;0.0;-30.0;0.0;-0.1;-0.1;-0.1;1.4;;;;;7.0;6.0;570.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse,puis stationnaire,20006
7149;2020-02-10T04:00:00+01:00;100340.0;210.0;3.0;240.0;9.5;284.95;280.85;76.0;20000.0;80.0;8.0;6.0;90.0;5.0;800.0;32.0;23.0;10.0;99270.0;;;-1560.0;;;;;;;;15.6;23.9;-10.0;2.0;0.0;0.0;-30.0;-0.1;-0.1;0.4;1.2;1.2;;;;;1.0;8.0;900.0;4.0;8.0;1000.0;3.0;3.0;2500.0;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,20007
7149;2020-02-10T22:00:00+01:00;100890.0;200.0;3.0;260.0;9.1;281.55;277.35;75.0;30490.0;0.0;6.0;2.0;75.0;6.0;2250.0;;;;99800.0;;;640.0;;;;;;;;14.6;20.2;-10.0;2.0;;;;0.6;4.4;4.4;4.6;6.6;;;;;4.0;;2340.0;6.0;;2700.0;6.0;;7380.0;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,20008
7149;2020-12-07T10:00:00+01:00;100040.0;50.0;2.0;100.0;1.3;274.65;274.55;99.0;2160.0;10.0;4.0;2.0;100.0;8.0;80.0;;;;98930.0;;;120.0;;;;;;;;1.9;2.7;-10.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;5.0;;90.0;8.0;;420.0;;;;;;;48.716833,2.384333;ORLY;En hausse;Brouillard ou brouillard glacé ou brume sèche épaisse;Brume;1.5;;;;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;12,"",20009
