ID OMM station;Date;Pression au niveau mer;Variation de pression en 3 heures;Type de tendance barométrique;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Température;Point de rosée;Humidité;Visibilité horizontale;Temps présent;Temps passé 1;Temps passé 2;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Type des nuages de l'étage inférieur;Type des nuages de l'étage moyen;Type des nuages de l'étage supérieur;Pression station;Niveau barométrique;Géopotentiel;Variation de pression en 24 heures;Température minimale sur 12 heures;Température minimale sur 24 heures;Température maximale sur 12 heures;Température maximale sur 24 heures;Température minimale du sol sur 12 heures;Méthode de mesure Température du thermomètre mouillé;Température du thermomètre mouillé;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Etat du sol;Hauteur totale de la couche de neige,glace,autre au sol;Hauteur de la neige fraîche;Periode de mesure de la neige fraiche;Précipitations dans la dernière heure;Précipitations dans les 3 dernières heures;Précipitations dans les 6 dernières heures;Précipitations dans les 12 dernières heures;Précipitations dans les 24 dernières heures;Phénomène spécial 1;Phénomène spécial 2;Phénomène spécial 3;Phénomène spécial 4;Nébulosité couche nuageuse 1;Type nuage 1;Hauteur de base 1;Nébulosité couche nuageuse 2;Type nuage 2;Hauteur de base 2;Nébulosité couche nuageuse 3;Type nuage 3;Hauteur de base 3;Nébulosité couche nuageuse 4;Type nuage 4;Hauteur de base 4;Coordonnees;Nom;Type de tendance barométrique.1;Temps passé 1.1;Temps présent.1;Température (°C);Température minimale sur 12 heures (°C);Température minimale sur 24 heures (°C);Température maximale sur 12 heures (°C);Température maximale sur 24 heures (°C);Température minimale du sol sur 12 heures (en °C);Latitude;Longitude;Altitude;communes (name);communes (code);EPCI (name);EPCI (code);department (name);department (code);region (name);region (code);mois_de_l_annee,index
7149;2017-02-06T10:00:00+01:00;101940.0;190.0;1.0;330.0;4.1;279.05;276.05;81.0;14000.0;3.0;2.0;2.0;100.0;7.0;450.0;35.0;;;100830.0;;;2320.0;;;;;;;;5.9;7.3;-10.0;1.0;0.0;0.0;-30.0;0.0;0.0;0.4;0.8;0.8;;;;;7.0;6.0;450.0;;;;;;;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,9000
7149;2017-02-09T22:00:00+01:00;102170.0;-40.0;8.0;70.0;3.2;275.55;271.15;73.0;13000.0;2.0;1.0;1.0;40.0;0.0;5600.0;30.0;20.0;11.0;101040.0;;;-510.0;;;;;;;;3.9;6.2;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;0.0;;;;;3.0;0.0;5600.0;;;;;;;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,9001
7149;2017-03-13T01:00:00+01:00;101950.0;240.0;3.0;330.0;3.7;281.85;279.65;86.0;8000.0;2.0;0.0;0.0;0.0;0.0;;30.0;20.0;10.0;100850.0;;;470.0;;;;;;;;5.2;7.5;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,9002
7149;2017-03-13T13:00:00+01:00;102820.0;170.0;1.0;30.0;6.6;286.75;279.85;63.0;13000.0;3.0;1.0;1.0;75.0;2.0;800.0;31.0;20.0;11.0;101730.0;;;1560.0;;;;;;;;8.9;11.6;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;0.0;;;;;2.0;8.0;770.0;6.0;0.0;8000.0;;;;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,9003
7149;2017-03-15T04:00:00+01:00;103360.0;-110.0;8.0;340.0;1.5;282.85;278.85;76.0;14630.0;2.0;2.0;2.0;100.0;8.0;450.0;35.0;;;102250.0;;;-30.0;;;;;;;;2.4;3.4;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;0.0;;;;;8.0;6.0;480.0;;;;;;;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,9004
7149;2017-03-15T13:00:00+01:00;103360.0;-50.0;8.0;60.0;4.0;286.05;280.95;71.0;15100.0;2.0;2.0;2.0;90.0;7.0;800.0;35.0;;;102260.0;;;-120.0;;;;;;;;6.3;6.3;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;0.0;;;;;7.0;6.0;630.0;;;;;;;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,9005
7149;2017-03-17T13:00:00+01:00;102160.0;20.0;0.0;290.0;3.0;284.95;278.15;63.0;28000.0;1.0;2.0;2.0;90.0;7.0;800.0;38.0;;;101070.0;;;-190.0;;;;;;;;4.9;8.9;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;0.0;;;;;2.0;6.0;830.0;7.0;6.0;1110.0;;;;;;;48.716833,2.384333;ORLY;En hausse,puis en baisse la pression atmosphérique est la même ou plus haute que trois heures auparavant;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;Dans l’ensemble,9006
7149;2017-03-19T01:00:00+01:00;101740.0;0.0;0.0;260.0;5.5;285.65;282.65;82.0;25000.0;1.0;2.0;2.0;100.0;8.0;450.0;35.0;;;100660.0;;;-60.0;;;;;;;;9.1;9.5;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;-0.1;-0.1;0.6;;;;;8.0;6.0;420.0;;;;;;;;;;48.716833,2.384333;ORLY;En hausse,puis en baisse la pression atmosphérique est la même ou plus haute que trois heures auparavant;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;Dans l’ensemble,9007
7149;2017-03-25T10:00:00+01:00;102200.0;-110.0;8.0;50.0;7.9;283.45;276.75;63.0;14000.0;1.0;0.0;0.0;40.0;0.0;8000.0;30.0;20.0;12.0;101100.0;;;-130.0;;;;;;;;12.7;12.7;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;-0.1;;;;;3.0;0.0;8000.0;;;;;;;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,9008
7149;2017-03-27T11:00:00+02:00;102070.0;40.0;0.0;90.0;1.1;285.55;276.45;54.0;18000.0;2.0;2.0;2.0;75.0;0.0;8000.0;30.0;20.0;11.0;100980.0;;;20.0;;;;;;;;2.2;4.2;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;0.0;;;;;6.0;0.0;8000.0;;;;;;;;;;48.716833,2.384333;ORLY;En hausse,puis en baisse la pression atmosphérique est la même ou plus haute que trois heures auparavant;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;État du ciel inchangé dans l’ensemble;12.400000000000034;;;;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;3,9009
7149;2017-03-27T23:00:00+02:00;101990.0;100.0;3.0;0.0;0.0;286.05;278.45;60.0;11150.0;2.0;0.0;0.0;0.0;0.0;;30.0;20.0;10.0;100910.0;;;-120.0;;;;;;;;0.7;2.8;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,9010
7149;2017-03-28T17:00:00+02:00;102380.0;-20.0;8.0;240.0;5.5;291.25;281.25;52.0;38880.0;0.0;2.0;2.0;;2.0;1250.0;;;;101310.0;;;510.0;;;;;;;;8.1;9.7;-10.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;1.0;;1080.0;;;;;;;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,9011
7149;2017-03-29T23:00:00+02:00;102650.0;90.0;2.0;180.0;0.7;285.85;279.85;67.0;30000.0;3.0;2.0;2.0;90.0;3.0;5600.0;30.0;23.0;12.0;101560.0;;;30.0;;;;;;;;0.9;1.7;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;0.0;;;;;3.0;3.0;5600.0;6.0;0.0;8000.0;;;;;;;48.716833,2.384333;ORLY;En hausse;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;Nuages en formation ou en train de se développer;12.700000000000044;;;;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;3,"",9012
7149;2017-02-26T07:00:00+01:00;101550.0;-100.0;6.0;210.0;3.0;278.75;273.35;68.0;36850.0;3.0;2.0;2.0;90.0;5.0;800.0;35.0;23.0;;100440.0;;;-670.0;278.25;;282.55;;;;;4.7;5.4;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;0.0;;;;;5.0;6.0;600.0;7.0;3.0;2600.0;;;;;;;48.716833,2.384333;ORLY;En baisse,puis stationnaire,9013
7149;2017-02-28T01:00:00+01:00;99590.0;0.0;0.0;220.0;7.1;277.45;274.15;79.0;60000.0;2.0;0.0;0.0;10.0;1.0;800.0;38.0;20.0;10.0;98500.0;;;-1510.0;;;;;;;;12.9;14.9;-10.0;2.0;0.0;0.0;-60.0;0.0;0.2;0.2;8.5;9.1;;;;;1.0;8.0;600.0;1.0;6.0;1800.0;;;;;;;48.716833,2.384333;ORLY;En hausse,puis en baisse la pression atmosphérique est la même ou plus haute que trois heures auparavant;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;État du ciel inchangé dans l’ensemble;4.300000000000011;;;;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;2,9014
7149;2017-02-28T10:00:00+01:00;99250.0;-200.0;8.0;200.0;5.0;278.35;275.65;83.0;30000.0;63.0;6.0;2.0;100.0;8.0;450.0;39.0;;;98160.0;;;-1030.0;;;;;;;;12.3;12.3;-10.0;2.0;0.0;0.0;-30.0;0.2;0.2;0.2;0.4;9.3;;;;;7.0;6.0;420.0;1.0;9.0;500.0;;;;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,9015
