ID OMM station;Date;Pression au niveau mer;Variation de pression en 3 heures;Type de tendance barométrique;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Température;Point de rosée;Humidité;Visibilité horizontale;Temps présent;Temps passé 1;Temps passé 2;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Type des nuages de l'étage inférieur;Type des nuages de l'étage moyen;Type des nuages de l'étage supérieur;Pression station;Niveau barométrique;Géopotentiel;Variation de pression en 24 heures;Température minimale sur 12 heures;Température minimale sur 24 heures;Température maximale sur 12 heures;Température maximale sur 24 heures;Température minimale du sol sur 12 heures;Méthode de mesure Température du thermomètre mouillé;Température du thermomètre mouillé;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Etat du sol;Hauteur totale de la couche de neige,glace,autre au sol;Hauteur de la neige fraîche;Periode de mesure de la neige fraiche;Précipitations dans la dernière heure;Précipitations dans les 3 dernières heures;Précipitations dans les 6 dernières heures;Précipitations dans les 12 dernières heures;Précipitations dans les 24 dernières heures;Phénomène spécial 1;Phénomène spécial 2;Phénomène spécial 3;Phénomène spécial 4;Nébulosité couche nuageuse 1;Type nuage 1;Hauteur de base 1;Nébulosité couche nuageuse 2;Type nuage 2;Hauteur de base 2;Nébulosité couche nuageuse 3;Type nuage 3;Hauteur de base 3;Nébulosité couche nuageuse 4;Type nuage 4;Hauteur de base 4;Coordonnees;Nom;Type de tendance barométrique.1;Temps passé 1.1;Temps présent.1;Température (°C);Température minimale sur 12 heures (°C);Température minimale sur 24 heures (°C);Température maximale sur 12 heures (°C);Température maximale sur 24 heures (°C);Température minimale du sol sur 12 heures (en °C);Latitude;Longitude;Altitude;communes (name);communes (code);EPCI (name);EPCI (code);department (name);department (code);region (name);region (code);mois_de_l_annee,index
7149;2018-07-19T05:00:00+02:00;101770.0;-30.0;6.0;20.0;1.7;291.85;283.15;57.0;52860.0;0.0;0.0;0.0;;0.0;;;;;100710.0;;;-90.0;;;;;;;;2.6;4.0;-10.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;48.716833,2.384333;ORLY;En baisse,puis stationnaire,14000
7149;2018-07-28T08:00:00+02:00;100970.0;100.0;3.0;220.0;2.8;292.25;289.65;85.0;25000.0;3.0;2.0;2.0;75.0;4.0;450.0;38.0;28.0;10.0;99920.0;;;-130.0;291.05;;298.05;;;;;4.7;7.3;-10.0;1.0;0.0;0.0;-60.0;0.0;0.0;0.8;0.8;9.5;;;;;1.0;8.0;520.0;4.0;6.0;1800.0;5.0;3.0;3500.0;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,14001
7149;2018-07-29T20:00:00+02:00;101260.0;80.0;3.0;230.0;6.7;298.95;287.45;49.0;30000.0;2.0;1.0;1.0;90.0;4.0;1750.0;35.0;27.0;60.0;100230.0;;;;291.25;;301.75;;;;;;11.8;-10.0;;;;;;0.0;;0.0;;;;;;4.0;6.0;1500.0;5.0;3.0;2700.0;5.0;3.0;5400.0;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,14002
7149;2018-07-10T20:00:00+02:00;102000.0;0.0;5.0;10.0;4.8;292.95;281.35;47.0;6790.0;2.0;0.0;0.0;25.0;2.0;1750.0;35.0;20.0;10.0;100940.0;;;-130.0;290.35;;296.05;;;;;8.0;11.8;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;0.0;;;;;2.0;6.0;1600.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse,puis en hausse,14003
7149;2018-07-10T23:00:00+02:00;102070.0;60.0;2.0;20.0;4.1;290.65;282.25;58.0;20000.0;3.0;1.0;1.0;60.0;5.0;1250.0;35.0;20.0;10.0;101000.0;;;-110.0;;;;;;;;7.0;7.5;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;0.0;;;;;5.0;6.0;1200.0;;;;;;;;;;48.716833,2.384333;ORLY;En hausse;Nuages couvrant plus de la moitié du ciel pendant une partie de la période considérée et couvrant la moitié du ciel,ou moins,14004
7149;2018-08-13T11:00:00+02:00;101010.0;90.0;2.0;240.0;7.2;293.15;288.15;73.0;22630.0;2.0;2.0;2.0;90.0;7.0;800.0;38.0;23.0;;99960.0;;;-550.0;;;;;;;;11.6;11.6;-10.0;1.0;0.0;0.0;-30.0;0.0;0.0;0.0;5.2;5.8;;;;;4.0;8.0;700.0;7.0;6.0;870.0;6.0;3.0;2200.0;;;;48.716833,2.384333;ORLY;En hausse;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;État du ciel inchangé dans l’ensemble;20.0;;;;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;8,"",14005
7149;2018-08-19T14:00:00+02:00;102210.0;-120.0;8.0;250.0;2.9;299.85;287.25;46.0;30000.0;1.0;0.0;0.0;25.0;0.0;8000.0;30.0;20.0;11.0;101180.0;;;-160.0;;;;;;;;5.8;8.0;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;0.0;;;;;2.0;0.0;8000.0;;;;;;;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,14006
7149;2018-08-20T20:00:00+02:00;102050.0;-60.0;7.0;40.0;0.5;296.75;288.25;59.0;44290.0;3.0;2.0;2.0;90.0;7.0;1250.0;35.0;;;101010.0;;;40.0;292.35;;297.85;;;;;2.4;4.3;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;-0.1;-0.1;;;;;3.0;6.0;1180.0;7.0;6.0;1400.0;;;;;;;48.716833,2.384333;ORLY;En baisse;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;Nuages en formation ou en train de se développer;23.600000000000023;19.200000000000045;;24.700000000000045;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;8,"",14007
7149;2018-08-22T02:00:00+02:00;101890.0;-50.0;8.0;280.0;1.3;290.75;288.55;87.0;30000.0;2.0;0.0;0.0;0.0;0.0;;30.0;20.0;10.0;100830.0;;;-260.0;;;;;;;;1.6;2.0;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,14008
7149;2018-08-22T08:00:00+02:00;101850.0;10.0;3.0;80.0;1.0;291.85;289.95;89.0;11670.0;1.0;0.0;0.0;10.0;1.0;2500.0;35.0;20.0;11.0;100790.0;;;-280.0;288.95;;298.45;;;;;1.2;3.0;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;0.0;;;;;1.0;6.0;2500.0;1.0;0.0;8000.0;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,14009
