ID OMM station;Date;Pression au niveau mer;Variation de pression en 3 heures;Type de tendance barométrique;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Température;Point de rosée;Humidité;Visibilité horizontale;Temps présent;Temps passé 1;Temps passé 2;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Type des nuages de l'étage inférieur;Type des nuages de l'étage moyen;Type des nuages de l'étage supérieur;Pression station;Niveau barométrique;Géopotentiel;Variation de pression en 24 heures;Température minimale sur 12 heures;Température minimale sur 24 heures;Température maximale sur 12 heures;Température maximale sur 24 heures;Température minimale du sol sur 12 heures;Méthode de mesure Température du thermomètre mouillé;Température du thermomètre mouillé;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Etat du sol;Hauteur totale de la couche de neige,glace,autre au sol;Hauteur de la neige fraîche;Periode de mesure de la neige fraiche;Précipitations dans la dernière heure;Précipitations dans les 3 dernières heures;Précipitations dans les 6 dernières heures;Précipitations dans les 12 dernières heures;Précipitations dans les 24 dernières heures;Phénomène spécial 1;Phénomène spécial 2;Phénomène spécial 3;Phénomène spécial 4;Nébulosité couche nuageuse 1;Type nuage 1;Hauteur de base 1;Nébulosité couche nuageuse 2;Type nuage 2;Hauteur de base 2;Nébulosité couche nuageuse 3;Type nuage 3;Hauteur de base 3;Nébulosité couche nuageuse 4;Type nuage 4;Hauteur de base 4;Coordonnees;Nom;Type de tendance barométrique.1;Temps passé 1.1;Temps présent.1;Température (°C);Température minimale sur 12 heures (°C);Température minimale sur 24 heures (°C);Température maximale sur 12 heures (°C);Température maximale sur 24 heures (°C);Température minimale du sol sur 12 heures (en °C);Latitude;Longitude;Altitude;communes (name);communes (code);EPCI (name);EPCI (code);department (name);department (code);region (name);region (code);mois_de_l_annee,index
7149;2016-06-17T17:00:00+02:00;100930.0;60.0;2.0;250.0;5.1;294.35;284.95;55.0;15000.0;3.0;2.0;2.0;90.0;7.0;1250.0;39.0;;;99890.0;;;680.0;;;;;;;;8.2;8.9;-10.0;0.0;0.0;0.0;-30.0;0.0;-0.1;0.4;1.0;1.0;;;;;6.0;8.0;1400.0;3.0;9.0;1200.0;;;;;;;48.716833,2.384333;ORLY;En hausse;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;Nuages en formation ou en train de se développer;21.200000000000045;;;;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;6,"",6000
7149;2016-06-14T02:00:00+02:00;100370.0;-80.0;6.0;210.0;1.3;288.15;287.55;96.0;10000.0;2.0;2.0;2.0;100.0;7.0;450.0;35.0;;;99310.0;;;-440.0;;;;;;;;2.6;2.6;-10.0;0.0;0.0;0.0;-60.0;-0.1;-0.1;-0.1;-0.1;0.2;;;;;2.0;6.0;300.0;7.0;6.0;1600.0;7.0;6.0;1250.0;;;;48.716833,2.384333;ORLY;En baisse,puis stationnaire,6001
7149;2016-06-07T05:00:00+02:00;102020.0;10.0;0.0;260.0;1.7;287.15;286.85;98.0;320.0;40.0;0.0;0.0;10.0;0.0;8000.0;30.0;20.0;12.0;100940.0;;;100.0;;;;;;;;2.0;2.4;-10.0;1.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;0.0;;;;;1.0;0.0;8000.0;;;;;;;;;;48.716833,2.384333;ORLY;En hausse,puis en baisse la pression atmosphérique est la même ou plus haute que trois heures auparavant;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;Brouillard ou brouillard glacé à distance au moment de;14.0;;;;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;6,6002
7149;2016-06-22T08:00:00+02:00;102160.0;50.0;3.0;170.0;2.6;292.25;291.45;95.0;15000.0;1.0;2.0;2.0;90.0;7.0;800.0;35.0;;;101100.0;;;260.0;291.35;;294.85;;;;;3.8;3.8;-10.0;1.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.4;0.4;;;;;7.0;6.0;750.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,6003
7149;2016-06-27T02:00:00+02:00;102160.0;-20.0;8.0;200.0;1.1;287.75;284.85;83.0;25000.0;3.0;2.0;2.0;90.0;1.0;2250.0;35.0;23.0;;101080.0;;;140.0;;;;;;;;1.6;2.2;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;0.0;;;;;1.0;6.0;2400.0;7.0;3.0;3600.0;;;;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,6004
7149;2016-07-02T11:00:00+02:00;101820.0;110.0;1.0;260.0;5.8;290.95;281.75;55.0;30000.0;3.0;2.0;2.0;75.0;6.0;1250.0;38.0;20.0;10.0;100760.0;;;240.0;;;;;;;;8.6;9.7;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.2;0.2;;;;;5.0;8.0;1100.0;3.0;6.0;1700.0;;;;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,6005
7149;2016-07-04T11:00:00+02:00;102190.0;100.0;2.0;320.0;2.6;290.35;286.85;80.0;27360.0;1.0;2.0;2.0;100.0;7.0;450.0;38.0;;;101120.0;;;-20.0;;;;;;;;4.5;4.8;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;-0.1;0.4;0.8;;;;;7.0;6.0;390.0;;;;;;;;;;48.716833,2.384333;ORLY;En hausse;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;Dans l’ensemble,nuages se dissipant ou devenant moins épais;17.200000000000045;;;;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;7,6006
7149;2016-07-05T20:00:00+02:00;102040.0;50.0;3.0;330.0;4.7;293.85;284.45;55.0;31260.0;1.0;2.0;2.0;75.0;6.0;1750.0;35.0;20.0;10.0;100980.0;;;120.0;289.65;;295.85;;;;;6.2;8.1;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;0.0;;;;;6.0;6.0;1500.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,6007
7149;2016-07-09T23:00:00+02:00;101720.0;-70.0;6.0;170.0;1.1;295.25;289.55;70.0;14350.0;2.0;0.0;0.0;10.0;0.0;8000.0;30.0;20.0;11.0;100680.0;;;-420.0;;;;;;;;1.3;1.3;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;0.0;;;;;1.0;0.0;8000.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse,puis stationnaire,6008
7149;2016-07-12T17:00:00+02:00;101430.0;10.0;0.0;40.0;1.7;294.85;286.45;59.0;18000.0;1.0;1.0;1.0;40.0;2.0;1250.0;32.0;23.0;;100390.0;;;20.0;;;;;;;;3.0;5.5;-10.0;0.0;0.0;0.0;-30.0;0.0;1.8;1.8;1.8;1.8;;;;;2.0;8.0;1000.0;1.0;3.0;3000.0;;;;;;;48.716833,2.384333;ORLY;En hausse,puis en baisse la pression atmosphérique est la même ou plus haute que trois heures auparavant;Nuages couvrant plus de la moitié du ciel pendant une partie de la période considérée et couvrant la moitié du ciel,6009
