ID OMM station;Date;Pression au niveau mer;Variation de pression en 3 heures;Type de tendance barométrique;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Température;Point de rosée;Humidité;Visibilité horizontale;Temps présent;Temps passé 1;Temps passé 2;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Type des nuages de l'étage inférieur;Type des nuages de l'étage moyen;Type des nuages de l'étage supérieur;Pression station;Niveau barométrique;Géopotentiel;Variation de pression en 24 heures;Température minimale sur 12 heures;Température minimale sur 24 heures;Température maximale sur 12 heures;Température maximale sur 24 heures;Température minimale du sol sur 12 heures;Méthode de mesure Température du thermomètre mouillé;Température du thermomètre mouillé;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Etat du sol;Hauteur totale de la couche de neige,glace,autre au sol;Hauteur de la neige fraîche;Periode de mesure de la neige fraiche;Précipitations dans la dernière heure;Précipitations dans les 3 dernières heures;Précipitations dans les 6 dernières heures;Précipitations dans les 12 dernières heures;Précipitations dans les 24 dernières heures;Phénomène spécial 1;Phénomène spécial 2;Phénomène spécial 3;Phénomène spécial 4;Nébulosité couche nuageuse 1;Type nuage 1;Hauteur de base 1;Nébulosité couche nuageuse 2;Type nuage 2;Hauteur de base 2;Nébulosité couche nuageuse 3;Type nuage 3;Hauteur de base 3;Nébulosité couche nuageuse 4;Type nuage 4;Hauteur de base 4;Coordonnees;Nom;Type de tendance barométrique.1;Temps passé 1.1;Temps présent.1;Température (°C);Température minimale sur 12 heures (°C);Température minimale sur 24 heures (°C);Température maximale sur 12 heures (°C);Température maximale sur 24 heures (°C);Température minimale du sol sur 12 heures (en °C);Latitude;Longitude;Altitude;communes (name);communes (code);EPCI (name);EPCI (code);department (name);department (code);region (name);region (code);mois_de_l_annee,index
7149;2019-09-09T02:00:00+02:00;102050.0;-70.0;8.0;260.0;2.4;282.65;280.05;84.0;40000.0;2.0;0.0;0.0;10.0;0.0;8000.0;30.0;20.0;11.0;100950.0;;;-250.0;;;;;;;;2.8;2.8;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;0.0;;;;;1.0;0.0;8000.0;;;;;;;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,17000
7149;2019-09-09T23:00:00+02:00;101320.0;20.0;0.0;120.0;1.5;288.45;280.95;61.0;25000.0;1.0;2.0;2.0;90.0;3.0;2250.0;35.0;27.0;;100250.0;;;-770.0;;;;;;;;1.9;2.4;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;0.0;;;;;3.0;6.0;2450.0;5.0;3.0;2800.0;5.0;3.0;3800.0;;;;48.716833,2.384333;ORLY;En hausse,puis en baisse la pression atmosphérique est la même ou plus haute que trois heures auparavant;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;Dans l’ensemble,17001
7149;2019-09-11T05:00:00+02:00;102330.0;20.0;3.0;290.0;1.9;286.45;282.15;75.0;41870.0;3.0;2.0;2.0;90.0;7.0;5200.0;30.0;23.0;;101240.0;;;840.0;;;;;;;;2.5;2.5;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;0.0;;;;;7.0;3.0;5200.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,17002
7149;2019-09-11T17:00:00+02:00;102480.0;-20.0;5.0;260.0;3.4;297.25;280.85;35.0;20000.0;3.0;1.0;1.0;75.0;6.0;2250.0;35.0;20.0;10.0;101430.0;;;620.0;;;;;;;;8.9;9.3;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;0.0;;;;;6.0;6.0;2200.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse,puis en hausse,17003
7149;2019-09-15T20:00:00+02:00;102200.0;-50.0;5.0;40.0;2.8;297.25;281.65;37.0;35000.0;1.0;0.0;0.0;10.0;0.0;8000.0;30.0;20.0;11.0;101150.0;;;-480.0;286.25;;300.85;;;;;4.5;5.3;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;0.0;;;;;1.0;0.0;8000.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse,puis en hausse,17004
7149;2019-09-22T14:00:00+02:00;100880.0;120.0;3.0;250.0;6.2;289.45;287.45;88.0;4580.0;63.0;6.0;6.0;100.0;7.0;450.0;;;;99820.0;;;-400.0;;;;;;;;10.7;13.5;-10.0;2.0;0.0;;;4.9;6.7;6.7;6.7;6.7;;;;;2.0;;330.0;4.0;;990.0;7.0;;1200.0;;8.0;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,17005
7149;2019-11-08T04:00:00+01:00;100190.0;10.0;3.0;150.0;2.0;276.45;275.85;96.0;25000.0;3.0;1.0;1.0;60.0;1.0;1250.0;35.0;20.0;12.0;99090.0;;;540.0;;;;;;;;3.9;3.9;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;5.3;;;;;1.0;6.0;1050.0;5.0;0.0;6000.0;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,17006
7149;2019-11-10T01:00:00+01:00;100430.0;-60.0;6.0;50.0;1.1;278.75;278.05;95.0;4500.0;61.0;6.0;6.0;90.0;7.0;250.0;35.0;;;99330.0;;;-730.0;;;;;;;;1.6;3.2;-10.0;2.0;0.0;0.0;-60.0;0.6;2.0;2.0;2.0;2.0;;;;;1.0;7.0;250.0;5.0;6.0;800.0;7.0;6.0;1300.0;;;;48.716833,2.384333;ORLY;En baisse,puis stationnaire,17007
7149;2019-03-01T04:00:00+01:00;101840.0;-170.0;6.0;250.0;7.1;282.35;280.15;86.0;25000.0;3.0;2.0;2.0;100.0;7.0;450.0;35.0;;;100740.0;;;-280.0;;;;;;;;10.7;13.0;-10.0;1.0;0.0;0.0;-30.0;0.0;-0.1;0.2;3.8;3.8;;;;;5.0;6.0;480.0;7.0;6.0;720.0;;;;;;;48.716833,2.384333;ORLY;En baisse,puis stationnaire,17008
7149;2019-03-02T13:00:00+01:00;101740.0;70.0;3.0;270.0;4.1;284.95;280.45;74.0;30000.0;1.0;6.0;2.0;90.0;7.0;800.0;38.0;61.0;60.0;100650.0;;;;;;;;;;;;9.8;-10.0;;;;;;0.0;0.4;;;;;;;3.0;8.0;690.0;7.0;6.0;960.0;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,17009
7149;2019-03-06T16:00:00+01:00;99690.0;-160.0;6.0;200.0;5.2;284.25;282.15;87.0;13350.0;61.0;6.0;6.0;100.0;7.0;800.0;38.0;;;98620.0;;;-1330.0;;;;;;;;8.3;9.2;-10.0;2.0;0.0;0.0;-30.0;0.6;0.8;0.8;1.0;1.0;;;;;1.0;8.0;600.0;3.0;6.0;800.0;7.0;6.0;1100.0;;;;48.716833,2.384333;ORLY;En baisse,puis stationnaire,17010
7149;2019-03-07T01:00:00+01:00;99090.0;-260.0;6.0;200.0;4.5;283.35;282.45;94.0;5070.0;63.0;6.0;6.0;100.0;8.0;250.0;38.0;;;98030.0;;;-1570.0;;;;;;;;6.9;8.8;-10.0;2.0;0.0;0.0;-60.0;2.6;4.0;6.2;8.6;8.8;;;;;5.0;7.0;250.0;1.0;8.0;450.0;5.0;6.0;500.0;;;;48.716833,2.384333;ORLY;En baisse,puis stationnaire,17011
7149;2019-03-13T10:00:00+01:00;101490.0;70.0;2.0;250.0;8.2;280.25;275.75;73.0;25000.0;3.0;1.0;1.0;60.0;5.0;800.0;38.0;20.0;10.0;100390.0;;;-460.0;;;;;;;;12.6;14.5;-10.0;1.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;2.4;;;;;2.0;8.0;680.0;4.0;6.0;1500.0;;;;;;;48.716833,2.384333;ORLY;En hausse;Nuages couvrant plus de la moitié du ciel pendant une partie de la période considérée et couvrant la moitié du ciel,ou moins,17012
7149;2019-01-02T01:00:00+01:00;103720.0;140.0;3.0;30.0;6.3;280.25;276.35;76.0;18000.0;1.0;2.0;2.0;90.0;7.0;800.0;35.0;;;102590.0;;;80.0;;;;;;;;9.7;11.9;-10.0;1.0;0.0;0.0;-60.0;0.0;-0.1;0.2;0.2;0.2;;;;;1.0;6.0;720.0;3.0;6.0;1200.0;7.0;6.0;1500.0;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,17013
7149;2019-01-06T07:00:00+01:00;103670.0;-120.0;6.0;330.0;1.7;277.05;272.85;74.0;15000.0;1.0;2.0;2.0;100.0;8.0;800.0;35.0;;;102530.0;;;-120.0;276.85;;278.65;;;;;2.5;6.7;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;0.0;;;;;8.0;6.0;780.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse,puis stationnaire,17014
7149;2019-03-19T04:00:00+01:00;102690.0;30.0;1.0;260.0;1.5;274.15;273.15;93.0;10490.0;2.0;0.0;0.0;0.0;0.0;;30.0;20.0;10.0;101550.0;;;810.0;;;;;;;;1.9;2.1;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,17015
7149;2019-03-21T22:00:00+01:00;103160.0;50.0;2.0;30.0;2.9;283.55;277.25;65.0;13140.0;1.0;0.0;0.0;0.0;0.0;;30.0;20.0;10.0;102050.0;;;-310.0;;;;;;;;4.7;5.2;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;48.716833,2.384333;ORLY;En hausse;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;Dans l’ensemble,nuages se dissipant ou devenant moins épais;10.400000000000034;;;;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;3,17016
