ID OMM station;Date;Pression au niveau mer;Variation de pression en 3 heures;Type de tendance barométrique;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Température;Point de rosée;Humidité;Visibilité horizontale;Temps présent;Temps passé 1;Temps passé 2;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Type des nuages de l'étage inférieur;Type des nuages de l'étage moyen;Type des nuages de l'étage supérieur;Pression station;Niveau barométrique;Géopotentiel;Variation de pression en 24 heures;Température minimale sur 12 heures;Température minimale sur 24 heures;Température maximale sur 12 heures;Température maximale sur 24 heures;Température minimale du sol sur 12 heures;Méthode de mesure Température du thermomètre mouillé;Température du thermomètre mouillé;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Etat du sol;Hauteur totale de la couche de neige,glace,autre au sol;Hauteur de la neige fraîche;Periode de mesure de la neige fraiche;Précipitations dans la dernière heure;Précipitations dans les 3 dernières heures;Précipitations dans les 6 dernières heures;Précipitations dans les 12 dernières heures;Précipitations dans les 24 dernières heures;Phénomène spécial 1;Phénomène spécial 2;Phénomène spécial 3;Phénomène spécial 4;Nébulosité couche nuageuse 1;Type nuage 1;Hauteur de base 1;Nébulosité couche nuageuse 2;Type nuage 2;Hauteur de base 2;Nébulosité couche nuageuse 3;Type nuage 3;Hauteur de base 3;Nébulosité couche nuageuse 4;Type nuage 4;Hauteur de base 4;Coordonnees;Nom;Type de tendance barométrique.1;Temps passé 1.1;Temps présent.1;Température (°C);Température minimale sur 12 heures (°C);Température minimale sur 24 heures (°C);Température maximale sur 12 heures (°C);Température maximale sur 24 heures (°C);Température minimale du sol sur 12 heures (en °C);Latitude;Longitude;Altitude;communes (name);communes (code);EPCI (name);EPCI (code);department (name);department (code);region (name);region (code);mois_de_l_annee,index
7149;2022-11-05T19:00:00+01:00;102000.0;-10.0;5.0;200.0;4.3;282.75;280.85;88.0;21930.0;0.0;2.0;2.0;100.0;8.0;2520.0;;;;100900.0;;;400.0;277.85;;285.05;;;;;6.4;7.5;-10.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.2;;;;;8.0;;2520.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse,puis en hausse,24000
7149;2022-11-08T22:00:00+01:00;100870.0;130.0;1.0;200.0;5.0;287.35;283.75;79.0;40280.0;1.0;2.0;2.0;75.0;1.0;800.0;35.0;23.0;10.0;99800.0;;;-330.0;;;;;;;;8.4;9.7;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.2;0.2;;;;;1.0;6.0;720.0;6.0;3.0;4400.0;;;;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,24001
7149;2022-11-10T16:00:00+01:00;102910.0;60.0;3.0;190.0;3.1;283.55;283.25;98.0;10000.0;1.0;2.0;2.0;100.0;8.0;250.0;37.0;;;101810.0;;;1400.0;;;;;;;;5.1;5.9;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.2;0.4;;;;;8.0;7.0;270.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,24002
7149;2022-11-11T01:00:00+01:00;103100.0;50.0;0.0;180.0;3.0;282.75;281.35;91.0;21900.0;2.0;2.0;2.0;100.0;8.0;250.0;36.0;;;101990.0;;;880.0;;;;;;;;4.5;4.9;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;0.4;;;;;8.0;7.0;270.0;;;;;;;;;;48.716833,2.384333;ORLY;En hausse,puis en baisse la pression atmosphérique est la même ou plus haute que trois heures auparavant;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;État du ciel inchangé dans l’ensemble;9.600000000000025;;;;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;11,24003
7149;2022-03-07T19:00:00+01:00;101960.0;-30.0;5.0;90.0;4.8;277.85;268.25;50.0;20000.0;2.0;0.0;0.0;0.0;0.0;;30.0;20.0;10.0;100840.0;;;-320.0;272.25;;279.95;;;;;7.1;10.4;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;48.716833,2.384333;ORLY;En baisse,puis en hausse,24004
7149;2022-04-01T14:00:00+02:00;100870.0;200.0;1.0;10.0;6.7;275.35;272.95;84.0;7000.0;71.0;7.0;2.0;100.0;7.0;450.0;35.0;;;99750.0;;;600.0;;;;;;;;11.6;12.2;-10.0;2.0;0.0;0.0;-60.0;-0.1;0.2;1.8;1.8;2.2;;;;;7.0;6.0;500.0;;;;;;;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,24005
7149;2022-04-04T08:00:00+02:00;102250.0;-80.0;5.0;230.0;2.6;273.55;271.45;86.0;20000.0;2.0;0.0;0.0;10.0;0.0;7800.0;30.0;20.0;11.0;101110.0;;;-150.0;273.05;;280.05;;;;;3.1;3.3;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;0.0;;;;;1.0;0.0;7800.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse,puis en hausse,24006
7149;2022-04-12T17:00:00+02:00;100870.0;60.0;1.0;230.0;5.4;293.55;281.55;46.0;35000.0;1.0;2.0;2.0;90.0;1.0;4300.0;30.0;23.0;12.0;99830.0;;;70.0;;;;;;;;9.3;10.2;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;0.0;;;;;1.0;3.0;4300.0;7.0;0.0;7800.0;;;;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,24007
7149;2022-04-16T08:00:00+02:00;102760.0;70.0;3.0;30.0;3.6;283.45;280.35;81.0;10390.0;2.0;0.0;0.0;25.0;0.0;6600.0;30.0;20.0;12.0;101660.0;;;170.0;283.15;;291.65;;;;;6.0;6.0;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;0.0;;;;;2.0;0.0;6600.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,24008
7149;2022-04-21T02:00:00+02:00;101090.0;-20.0;8.0;50.0;2.3;284.25;275.05;53.0;46360.0;0.0;;;;3.0;7500.0;;;;100010.0;;;-190.0;;;;;;;;3.1;4.0;-10.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;3.0;;7500.0;;;;;;;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,24009
