ID OMM station;Date;Pression au niveau mer;Variation de pression en 3 heures;Type de tendance barométrique;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Température;Point de rosée;Humidité;Visibilité horizontale;Temps présent;Temps passé 1;Temps passé 2;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Type des nuages de l'étage inférieur;Type des nuages de l'étage moyen;Type des nuages de l'étage supérieur;Pression station;Niveau barométrique;Géopotentiel;Variation de pression en 24 heures;Température minimale sur 12 heures;Température minimale sur 24 heures;Température maximale sur 12 heures;Température maximale sur 24 heures;Température minimale du sol sur 12 heures;Méthode de mesure Température du thermomètre mouillé;Température du thermomètre mouillé;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Etat du sol;Hauteur totale de la couche de neige,glace,autre au sol;Hauteur de la neige fraîche;Periode de mesure de la neige fraiche;Précipitations dans la dernière heure;Précipitations dans les 3 dernières heures;Précipitations dans les 6 dernières heures;Précipitations dans les 12 dernières heures;Précipitations dans les 24 dernières heures;Phénomène spécial 1;Phénomène spécial 2;Phénomène spécial 3;Phénomène spécial 4;Nébulosité couche nuageuse 1;Type nuage 1;Hauteur de base 1;Nébulosité couche nuageuse 2;Type nuage 2;Hauteur de base 2;Nébulosité couche nuageuse 3;Type nuage 3;Hauteur de base 3;Nébulosité couche nuageuse 4;Type nuage 4;Hauteur de base 4;Coordonnees;Nom;Type de tendance barométrique.1;Temps passé 1.1;Temps présent.1;Température (°C);Température minimale sur 12 heures (°C);Température minimale sur 24 heures (°C);Température maximale sur 12 heures (°C);Température maximale sur 24 heures (°C);Température minimale du sol sur 12 heures (en °C);Latitude;Longitude;Altitude;communes (name);communes (code);EPCI (name);EPCI (code);department (name);department (code);region (name);region (code);mois_de_l_annee,index
7149;2016-06-20T11:00:00+02:00;102140.0;-80.0;8.0;210.0;4.2;288.85;287.55;92.0;9290.0;61.0;6.0;6.0;100.0;7.0;450.0;35.0;;;101070.0;;;-510.0;;;;;;;;6.0;7.7;-10.0;0.0;0.0;0.0;-30.0;0.4;0.4;0.6;0.6;0.6;;;;;5.0;6.0;390.0;7.0;6.0;540.0;;;;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,7000
7149;2016-09-28T05:00:00+02:00;102850.0;40.0;3.0;190.0;1.8;288.65;283.65;72.0;20000.0;1.0;2.0;2.0;90.0;7.0;1250.0;35.0;;;101770.0;;;350.0;;;;;;;;2.3;2.3;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;0.0;;;;;7.0;6.0;1270.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,7001
7149;2016-10-01T14:00:00+02:00;101070.0;0.0;0.0;220.0;4.6;289.65;284.55;72.0;31860.0;3.0;2.0;2.0;75.0;6.0;800.0;38.0;20.0;10.0;100010.0;;;-590.0;;;;;;;;6.8;9.6;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.2;3.4;;;;;5.0;8.0;600.0;4.0;6.0;1200.0;;;;;;;48.716833,2.384333;ORLY;En hausse,puis en baisse la pression atmosphérique est la même ou plus haute que trois heures auparavant;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;Nuages en formation ou en train de se développer;16.5;;;;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;10,7002
7149;2016-10-01T17:00:00+02:00;100980.0;-90.0;6.0;240.0;5.8;290.55;283.65;64.0;37820.0;0.0;2.0;2.0;90.0;7.0;1750.0;;;;99920.0;;;-540.0;;;;;;;;9.9;11.2;-10.0;0.0;0.0;;;0.0;0.2;0.2;0.2;3.6;;;;;1.0;;1740.0;7.0;;3000.0;7.0;;3660.0;;;;48.716833,2.384333;ORLY;En baisse,puis stationnaire,7003
7149;2016-09-30T05:00:00+02:00;101610.0;-70.0;8.0;280.0;1.7;287.65;284.95;84.0;29610.0;3.0;2.0;2.0;100.0;7.0;450.0;35.0;;;100540.0;;;-750.0;;;;;;;;2.5;2.9;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;0.2;;;;;3.0;6.0;500.0;7.0;6.0;1130.0;;;;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,7004
7149;2016-10-09T23:00:00+02:00;102650.0;60.0;2.0;40.0;1.4;280.75;275.45;69.0;23160.0;2.0;0.0;0.0;0.0;0.0;;30.0;20.0;10.0;101540.0;;;110.0;;;;;;;;3.1;3.2;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;48.716833,2.384333;ORLY;En hausse;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;État du ciel inchangé dans l’ensemble;7.600000000000023;;;;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;10,"",7005
7149;2016-11-28T13:00:00+01:00;102480.0;20.0;1.0;50.0;7.1;279.75;270.85;53.0;28000.0;2.0;0.0;0.0;0.0;0.0;;30.0;20.0;10.0;101360.0;;;390.0;;;;;;;;10.2;10.6;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,7006
7149;2016-12-19T10:00:00+01:00;102700.0;-110.0;6.0;50.0;3.4;277.35;277.05;98.0;6000.0;1.0;2.0;2.0;100.0;8.0;150.0;36.0;;;101570.0;;;-1200.0;;;;;;;;4.5;6.6;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;-0.1;-0.1;;;;;8.0;7.0;180.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse,puis stationnaire,7007
7149;2016-12-20T04:00:00+01:00;102160.0;20.0;0.0;100.0;3.1;276.85;274.35;84.0;8240.0;1.0;2.0;2.0;100.0;7.0;450.0;35.0;;;101040.0;;;-850.0;;;;;;;;5.3;5.3;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;-0.1;-0.1;;;;;6.0;6.0;540.0;7.0;6.0;1500.0;;;;;;;48.716833,2.384333;ORLY;En hausse,puis en baisse la pression atmosphérique est la même ou plus haute que trois heures auparavant;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;Dans l’ensemble,7008
7149;2016-12-10T19:00:00+01:00;102610.0;-80.0;8.0;200.0;3.3;277.85;277.85;100.0;110.0;47.0;4.0;4.0;101.0;9.0;;62.0;61.0;60.0;101490.0;;;-380.0;274.35;;278.15;;;;;4.6;4.8;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;0.0;;;;;9.0;59.0;;;;;;;;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,7009
