ID OMM station;Date;Pression au niveau mer;Variation de pression en 3 heures;Type de tendance barométrique;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Température;Point de rosée;Humidité;Visibilité horizontale;Temps présent;Temps passé 1;Temps passé 2;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Type des nuages de l'étage inférieur;Type des nuages de l'étage moyen;Type des nuages de l'étage supérieur;Pression station;Niveau barométrique;Géopotentiel;Variation de pression en 24 heures;Température minimale sur 12 heures;Température minimale sur 24 heures;Température maximale sur 12 heures;Température maximale sur 24 heures;Température minimale du sol sur 12 heures;Méthode de mesure Température du thermomètre mouillé;Température du thermomètre mouillé;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Etat du sol;Hauteur totale de la couche de neige,glace,autre au sol;Hauteur de la neige fraîche;Periode de mesure de la neige fraiche;Précipitations dans la dernière heure;Précipitations dans les 3 dernières heures;Précipitations dans les 6 dernières heures;Précipitations dans les 12 dernières heures;Précipitations dans les 24 dernières heures;Phénomène spécial 1;Phénomène spécial 2;Phénomène spécial 3;Phénomène spécial 4;Nébulosité couche nuageuse 1;Type nuage 1;Hauteur de base 1;Nébulosité couche nuageuse 2;Type nuage 2;Hauteur de base 2;Nébulosité couche nuageuse 3;Type nuage 3;Hauteur de base 3;Nébulosité couche nuageuse 4;Type nuage 4;Hauteur de base 4;Coordonnees;Nom;Type de tendance barométrique.1;Temps passé 1.1;Temps présent.1;Température (°C);Température minimale sur 12 heures (°C);Température minimale sur 24 heures (°C);Température maximale sur 12 heures (°C);Température maximale sur 24 heures (°C);Température minimale du sol sur 12 heures (en °C);Latitude;Longitude;Altitude;communes (name);communes (code);EPCI (name);EPCI (code);department (name);department (code);region (name);region (code);mois_de_l_annee,index
7149;2014-08-20T23:00:00+02:00;101930.0;150.0;1.0;290.0;2.1;285.55;279.35;66.0;35000.0;2.0;1.0;1.0;0.0;;;;;;100840.0;;;;;;;;;;;;8.7;-10.0;;;0.0;-30.0;0.0;0.0;;;;710.0;1109.0;3100.0;;;;;;;;;;;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,1000
7149;2014-08-29T23:00:00+02:00;101940.0;120.0;2.0;260.0;2.6;288.65;284.25;75.0;30000.0;2.0;1.0;1.0;25.0;0.0;8000.0;30.0;20.0;11.0;100870.0;;;;;;;;;;;;3.1;-10.0;;;0.0;-30.0;0.0;0.0;;;;710.0;1103.0;3100.0;;2.0;0.0;7800.0;;;;;;;;;;48.716833,2.384333;ORLY;En hausse;Nuages couvrant plus de la moitié du ciel pendant une partie de la période considérée et couvrant la moitié du ciel,ou moins,1001
7149;2014-08-05T17:00:00+02:00;101890.0;-70.0;8.0;210.0;2.6;299.35;283.05;36.0;35000.0;2.0;1.0;1.0;40.0;3.0;1750.0;32.0;20.0;11.0;100860.0;;;;;;;;;;;;6.2;-10.0;;;0.0;-30.0;0.0;0.0;;;;710.0;1106.0;3100.0;;3.0;8.0;1800.0;;;;;;;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,1002
7149;2014-08-06T05:00:00+02:00;101650.0;-120.0;6.0;190.0;1.0;289.65;286.55;82.0;35000.0;2.0;1.0;1.0;90.0;4.0;3500.0;30.0;23.0;12.0;100580.0;;;;;;;;;;;;1.5;-10.0;;;0.0;-30.0;0.0;0.0;;;;710.0;1102.0;3100.0;;4.0;3.0;5400.0;6.0;0.0;6900.0;;;;;;;48.716833,2.384333;ORLY;En baisse,puis stationnaire,1003
7149;2014-08-07T14:00:00+02:00;101470.0;-50.0;6.0;220.0;2.1;296.25;290.45;70.0;25000.0;3.0;8.0;6.0;90.0;6.0;800.0;39.0;23.0;60.0;100430.0;;;;;;;;;;;;5.1;-10.0;;;0.0;-60.0;0.0;0.0;0.0;;;710.0;1105.0;3100.0;;3.0;8.0;690.0;1.0;9.0;900.0;3.0;6.0;1500.0;;;;48.716833,2.384333;ORLY;En baisse,puis stationnaire,1004
7149;2014-08-10T14:00:00+02:00;100350.0;-200.0;7.0;190.0;5.7;295.85;292.25;80.0;30000.0;2.0;6.0;2.0;90.0;7.0;800.0;38.0;61.0;60.0;99320.0;;;;;;;;;;;;10.8;-10.0;;;0.0;-60.0;0.0;0.6;2.0;;;710.0;1111.0;3100.0;;3.0;8.0;750.0;7.0;6.0;2100.0;;;;;;;48.716833,2.384333;ORLY;En baisse;Pluie;État du ciel inchangé dans l’ensemble;22.700000000000045;;;;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;8,"",1005
7149;2014-09-01T02:00:00+02:00;102180.0;70.0;2.0;340.0;1.5;283.95;281.85;87.0;30000.0;2.0;1.0;1.0;0.0;;;;;;101090.0;;;;;;;;;;;;2.1;-10.0;;;0.0;-60.0;0.0;0.0;0.0;;;710.0;1102.0;3100.0;;;;;;;;;;;;;;48.716833,2.384333;ORLY;En hausse;Nuages couvrant plus de la moitié du ciel pendant une partie de la période considérée et couvrant la moitié du ciel,ou moins,1006
7149;2014-03-18T13:00:00+01:00;101970.0;-30.0;8.0;260.0;4.6;285.85;279.65;66.0;15000.0;2.0;1.0;1.0;90.0;2.0;800.0;35.0;23.0;60.0;100880.0;;;;;;;;;;;;7.7;-10.0;;;0.0;-60.0;0.0;0.0;0.0;;;710.0;1108.0;3100.0;;2.0;6.0;630.0;7.0;3.0;3600.0;;;;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,1007
7149;2014-03-17T07:00:00+01:00;102420.0;20.0;3.0;310.0;3.1;279.65;278.95;95.0;3500.0;10.0;1.0;1.0;90.0;7.0;150.0;36.0;61.0;60.0;101310.0;;;;277.55;;287.55;;272.15;;;;5.1;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;;0.0;0.0;710.0;1105.0;3100.0;;7.0;7.0;120.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,1008
7149;2014-02-26T16:00:00+01:00;101910.0;40.0;3.0;280.0;2.6;282.55;277.35;70.0;30000.0;2.0;1.0;1.0;75.0;6.0;1250.0;38.0;20.0;10.0;100810.0;;;;;;;;;;;;5.7;-10.0;;;0.0;-30.0;0.0;0.0;;;;710.0;1106.0;3100.0;;2.0;8.0;1200.0;5.0;6.0;1800.0;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,1009
7149;2014-03-01T22:00:00+01:00;100420.0;90.0;3.0;270.0;2.6;274.35;272.75;89.0;10000.0;2.0;1.0;1.0;0.0;;;;;;99310.0;;;;;;;;;;;;2.6;-10.0;;;0.0;-30.0;0.0;0.0;;;;710.0;1103.0;3100.0;;;;;;;;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,1010
7149;2014-03-04T10:00:00+01:00;100510.0;280.0;2.0;290.0;3.6;279.25;277.45;88.0;15000.0;2.0;1.0;1.0;75.0;6.0;800.0;35.0;20.0;10.0;99410.0;;;;;;;;;;;;6.2;-10.0;;;0.0;-30.0;0.0;0.0;;;;710.0;1106.0;3100.0;;1.0;6.0;600.0;6.0;6.0;1470.0;;;;;;;48.716833,2.384333;ORLY;En hausse;Nuages couvrant plus de la moitié du ciel pendant une partie de la période considérée et couvrant la moitié du ciel,ou moins,1011
7149;2014-04-28T14:00:00+02:00;101010.0;80.0;1.0;190.0;3.6;286.55;280.95;69.0;30000.0;1.0;8.0;6.0;90.0;7.0;800.0;38.0;61.0;60.0;99940.0;;;;;;;;;;;;6.2;-10.0;;;0.0;-60.0;0.0;0.0;0.2;;;710.0;1106.0;3100.0;;3.0;8.0;690.0;7.0;6.0;1800.0;;;;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,1012
7149;2014-05-03T23:00:00+02:00;102510.0;100.0;3.0;30.0;3.6;282.55;274.25;56.0;30000.0;2.0;1.0;1.0;0.0;;;;;;101410.0;;;;;;;;;;;;6.2;-10.0;;;0.0;-30.0;0.0;0.0;;;;710.0;1106.0;3100.0;;;;;;;;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,1013
7149;2014-05-02T20:00:00+02:00;102090.0;180.0;3.0;10.0;8.2;286.45;279.05;61.0;25000.0;2.0;8.0;6.0;60.0;5.0;800.0;38.0;20.0;10.0;101010.0;;;;283.65;;289.25;;;;;;12.9;-10.0;;;0.0;-60.0;0.0;0.0;;0.8;;710.0;1113.0;3100.0;;2.0;8.0;930.0;5.0;6.0;1200.0;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,1014
